,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,trending,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Webpack,webpack/webpack,webpack,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-05-06 16:05:58.000,2021-05-01 13:42:02.000,7677,285.0,7974.0,58146,13598.0,2021-04-30 11:48:53.000,5.36.2,744.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,8138607.0,6850943.0,749.0,43,https://www.npmjs.com/package/webpack,2021-04-30 11:48:41.431,1287664.0,69501518.0,69501518.0,True,1,,,,,,,,,,
1,Material-UI,mui-org/material-ui,@material-ui/core,ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-05-06 17:58:02.000,2021-05-06 17:39:57.000,21621,493.0,12469.0,68035,12037.0,2021-04-27 15:53:12.000,4.11.4,145.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30067.0,555.0,2412.0,41,https://www.npmjs.com/package/@material-ui/core,2021-04-27 12:59:26.877,29512.0,8365873.0,8365873.0,True,1,['material-ui'],,,,,,,,,
2,Gatsby,gatsbyjs/gatsby,gatsby,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-05-06 17:57:30.000,2021-05-06 17:47:24.000,9509,563.0,12228.0,50156,18368.0,2021-05-04 17:16:58.962,3.4.1,2161.0,"Build blazing fast, modern apps and websites with React.",358121.0,333761.0,4000.0,41,https://www.npmjs.com/package/gatsby,2021-05-05 06:39:35.466,24360.0,1997894.0,1997894.0,True,1,,https://www.gatsbyjs.com/showcase/,1.0,,,,,,,
3,Storybook,storybookjs/storybook,@storybook/react,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-05-06 16:52:40.000,2021-05-06 16:52:39.000,6042,1175.0,6393.0,61273,33449.0,2021-04-23 03:46:10.000,6.2.9,802.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",24667.0,10089.0,1494.0,40,https://www.npmjs.com/package/@storybook/react,2021-05-06 13:54:37.010,14578.0,9147493.0,9147493.0,True,2,,,,,,,,,,
4,Next.js,vercel/next.js,next,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-05-06 17:11:44.000,2021-05-06 17:04:22.000,12349,951.0,8420.0,66639,7917.0,2021-04-28 14:41:25.000,10.2.0,1141.0,The React Framework.,15622.0,190.0,1645.0,39,https://www.npmjs.com/package/next,2021-04-30 01:00:25.098,15432.0,6029516.0,6029516.0,True,3,,https://nextjs.org/showcase,,,,,,,,
5,Bootstrap React,react-bootstrap/react-bootstrap,react-bootstrap,ui-frameworks,https://github.com/react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,MIT,2013-12-27 19:06:07.000,2021-05-06 00:38:26.000,2021-05-03 19:57:04.000,3088,148.0,2884.0,19353,3977.0,2021-03-11 18:36:27.000,1.5.2,164.0,Bootstrap components built with React.,508945.0,450103.0,428.0,39,https://www.npmjs.com/package/react-bootstrap,2021-04-13 05:20:19.505,58842.0,3808552.0,3809165.0,True,2,"['bootstrap""']",,,50284.0,,,,,,
6,Ant Design,ant-design/ant-design,antd,ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-05-06 14:40:32.000,2021-05-06 10:41:29.000,27791,639.0,20349.0,6404,20668.0,2021-04-30 16:58:15.000,4.15.4,588.0,A UI Design Language and React UI library.,239762.0,212560.0,1598.0,39,https://www.npmjs.com/package/antd,2021-04-30 16:57:24.347,27202.0,2960602.0,2960602.0,True,2,['ant-design'],,,16.0,,,,,,
7,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2021-05-06 17:54:25.331,2021-05-06 17:52:26.000,1859,115.0,1342.0,41140,3709.0,2021-04-23 18:29:58.000,2.1.2,157.0,A utility-first CSS framework for rapid UI development.,203807.0,198419.0,180.0,38,https://www.npmjs.com/package/tailwindcss,2021-05-06 17:54:25.331,5388.0,3380647.0,3380647.0,True,1,,,1.0,,,,,,,
8,Semantic UI React,Semantic-Org/Semantic-UI-React,semantic-ui-react,ui-frameworks,https://github.com/Semantic-Org/Semantic-UI-React,https://github.com/Semantic-Org/Semantic-UI-React,MIT,2015-06-19 16:47:19.000,2021-05-03 22:34:15.000,2021-01-25 15:14:50.000,3578,138.0,2255.0,12235,3064.0,2021-01-25 15:14:00.000,2.0.3,148.0,The official Semantic-UI-React integration.,131987.0,115057.0,307.0,37,https://www.npmjs.com/package/semantic-ui-react,2021-01-20 19:57:11.349,16930.0,923420.0,923420.0,True,2,,https://react.semantic-ui.com/elements/button/,,,,,,,,
9,Styled Components,styled-components/styled-components,styled-components,styling,https://github.com/styled-components/styled-components,https://github.com/styled-components/styled-components,MIT,2016-08-16 06:41:32.000,2021-05-05 23:52:54.000,2021-05-05 23:51:05.000,2039,249.0,2119.0,33502,,2021-05-05 02:17:54.000,5.3.0,287.0,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress.,688130.0,633818.0,311.0,36,https://www.npmjs.com/package/styled-components,2021-05-05 02:17:02.605,54312.0,11922354.0,11922354.0,True,3,,,,,,,,,,
10,Draft JS,facebook/draft-js,draft-js,editors,https://github.com/facebook/draft-js,https://github.com/facebook/draft-js,MIT,2016-02-19 20:18:26.000,2021-05-06 18:07:25.000,2021-04-28 17:41:07.000,2334,839.0,945.0,20237,1109.0,2020-08-17 16:40:16.000,0.11.7,32.0,A React framework for building text editors.,105736.0,87318.0,305.0,36,https://www.npmjs.com/package/draft-js,2020-08-17 16:36:23.849,18418.0,2908556.0,2908556.0,True,1,,,,,,,,,,
11,Recharts,recharts/recharts,recharts,data-viz,https://github.com/recharts/recharts,https://github.com/recharts/recharts,MIT,2015-08-07 06:50:27.000,2021-04-20 02:31:57.000,2021-04-20 02:31:57.000,1230,157.0,1957.0,16277,1850.0,2021-03-24 03:50:34.413,2.0.9,178.0,Redefined chart library built with React and D3.,53683.0,46679.0,212.0,36,https://www.npmjs.com/package/recharts,2021-03-24 03:50:34.413,7004.0,2629194.0,2629194.0,True,1,,http://recharts.org/en-US/examples,,,,,,,,
12,Electron,electron/electron,electron,desktop-apps,https://github.com/electron/electron,https://github.com/electron/electron,MIT,2013-04-12 01:47:36.000,2021-05-05 21:03:50.337,,12290,1149.0,,91544,,2021-04-30 22:59:08.705,12.0.6,516.0,"Build cross-platform desktop apps with JavaScript, HTML, and CSS.",46992.0,,647.0,35,https://www.npmjs.com/package/electron,2021-05-05 21:03:50.337,46992.0,1990665.0,1990665.0,True,1,,,,,,,,,,
13,lerna,lerna/lerna,lerna,dev-tools,https://github.com/lerna/lerna,https://github.com/lerna/lerna,MIT,2015-12-04 09:36:55.000,2021-05-05 18:40:16.000,2021-02-10 23:24:50.000,1769,596.0,1455.0,28025,,2021-02-10 22:42:55.000,4.0.0,184.0,A tool for managing JavaScript projects with multiple packages.,107266.0,79104.0,271.0,35,https://www.npmjs.com/package/lerna,2021-02-10 22:42:31.218,28162.0,4999653.0,4999653.0,True,2,,,,,,,,,,
14,React Admin,marmelab/react-admin,react-admin,admin-dashboards,https://github.com/marmelab/react-admin,https://github.com/marmelab/react-admin,MIT,2016-07-13 07:58:54.000,2021-05-06 17:11:30.000,2021-05-06 13:15:04.000,3632,135.0,2965.0,16733,10221.0,2021-05-02 13:48:33.000,3.15.0,166.0,"A frontend Framework for building B2B applications running in the browser on top of REST/GraphQL APIs, using ES6,..",6381.0,5885.0,463.0,35,https://www.npmjs.com/package/react-admin,2021-05-02 13:47:04.355,496.0,204843.0,204843.0,True,1,['material-ui'],https://marmelab.com/react-admin-demo/,,,,,,,,
15,React Dropzone,react-dropzone/react-dropzone,react-dropzone,file-handling,https://github.com/react-dropzone/react-dropzone,https://github.com/react-dropzone/react-dropzone,MIT,2014-09-27 11:57:09.000,2021-04-22 19:57:31.000,2021-03-26 07:58:15.000,687,12.0,635.0,8111,547.0,2021-03-26 08:00:38.000,11.3.2,145.0,Simple HTML5 drag-drop zone with React.js.,76213.0,65897.0,159.0,35,https://www.npmjs.com/package/react-dropzone,2021-03-26 08:00:32.355,10316.0,5969293.0,5969293.0,True,1,,https://react-dropzone.js.org/#section-basic-example,1.0,,,,,,,
16,SheetJS,SheetJS/sheetjs,xlsx,file-handling,https://github.com/SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,Apache-2.0,2012-12-03 19:25:52.000,2021-05-04 03:18:49.000,2021-05-04 03:10:16.000,6577,477.0,1522.0,25423,499.0,2020-11-20 07:22:22.859,0.16.9,159.0,SheetJS Community Edition -- Spreadsheet Data Toolkit.,10603.0,1845.0,130.0,33,https://www.npmjs.com/package/xlsx,2020-11-20 07:22:22.859,8758.0,4628044.0,4628044.0,True,2,,,-1.0,,,,,,,
17,ag-Grid,ag-grid/ag-grid,ag-grid-community,data-tables,https://github.com/ag-grid/ag-grid,https://github.com/ag-grid/ag-grid,MIT,2014-12-23 16:20:14.000,2021-05-06 15:05:13.000,2021-05-06 15:04:58.000,1273,21.0,3965.0,7179,21403.0,2021-05-04 14:40:21.814,25.2.1,100.0,The best JavaScript Data Table for building Enterprise Applications. Supports React / Angular / Vue / Plain JavaScript.,1439.0,793.0,115.0,33,https://www.npmjs.com/package/ag-grid-community,2021-05-04 14:40:21.814,646.0,928768.0,928768.0,True,1,,,,,,,,,,
