,name,github_id,npm_id,category,maven_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,trending,labels,demo_url,pypi_id,pypi_url,pypi_latest_release_published_at,nuget_id,github_release_downloads,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,brew_id,conda_id,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads
42,swr,vercel/swr,swr,data-fetching,org.webjars.npm:swr,https://github.com/vercel/swr,https://github.com/vercel/swr,MIT,2019-10-28 18:16:01.000,2022-01-10 22:39:08.000,2022-01-08 17:00:09.000,569.0,64.0,764,157.0,594.0,56.0,498.0,20629,2021-12-26 20:32:43.977,1.1.2,110.0,React Hooks for data fetching.,41558.0,41348.0,129,38,https://www.npmjs.com/package/swr,2021-12-28 22:53:17.458,210.0,1623524.0,1623524.0,https://search.maven.org/artifact/org.webjars.npm/swr,2020-09-06 12:44:57.000,,True,3,,,,,,,,,,,,,,,,,,,,,,,,,
43,Handsontable,handsontable/handsontable,handsontable,data-tables,org.webjars.npm:handsontable,https://github.com/handsontable/handsontable,https://github.com/handsontable/handsontable,ICU,2011-05-23 22:38:58.000,2022-01-10 17:27:49.000,2021-11-17 15:15:23.000,7299.0,50.0,2695,465.0,1578.0,833.0,6347.0,16123,2021-11-17 15:19:55.000,11.0.1,100.0,"JavaScript data grid with a spreadsheet look & feel. Works with React, Angular, and Vue. Supported by the Handsontable..",4615.0,4111.0,120,38,https://www.npmjs.com/package/handsontable,2021-11-17 15:17:10.950,504.0,260594.0,260594.0,https://search.maven.org/artifact/org.webjars.npm/handsontable,2018-11-25 00:00:00.000,,False,1,,,https://handsontable.com/examples,,,,Handsontable,,,,,,,,,,,,,,,,,,
44,react-table,tannerlinsley/react-table,react-table,data-tables,org.webjars.npm:react-table,https://github.com/tannerlinsley/react-table,https://github.com/tannerlinsley/react-table,MIT,2016-10-20 17:25:08.000,2021-12-30 16:18:01.000,2021-11-28 16:20:53.000,1392.0,2.0,2162,150.0,649.0,224.0,1776.0,15983,2021-04-25 22:58:23.000,7.7.0,216.0,Hooks for building fast and extendable tables and datagrids for React.,46317.0,43769.0,267,38,https://www.npmjs.com/package/react-table,2021-04-25 22:58:20.146,2548.0,2829924.0,2829924.0,https://search.maven.org/artifact/org.webjars.npm/react-table,2020-10-29 16:35:58.000,,True,1,,,,,,,,,,,,,,,,,,,,,,,,,
45,react-testing-library,testing-library/react-testing-library,react-testing-library,testing,,https://github.com/testing-library/react-testing-library,https://github.com/testing-library/react-testing-library,MIT,2018-03-19 13:39:49.000,2021-12-06 13:40:37.000,2021-10-07 12:12:08.000,465.0,,892,144.0,410.0,26.0,535.0,15733,2021-10-03 13:19:49.000,12.1.2,100.0,Simple and complete React DOM testing utilities that encourage good testing practices.,3580859.0,3576600.0,166,38,https://www.npmjs.com/package/react-testing-library,2019-05-30 18:10:43.138,4259.0,279159.0,279159.0,,,,True,3,,,,,,,,,,,,,,,,,,,,,,,,,
46,nivo,plouc/nivo,@nivo/core,data-viz,,https://github.com/plouc/nivo,https://github.com/plouc/nivo,MIT,2016-04-16 03:27:56.000,2022-01-10 22:06:12.000,2022-01-07 20:24:04.000,1690.0,121.0,776,83.0,627.0,86.0,1117.0,9633,2022-01-02 17:25:34.739,0.78.0,62.0,"nivo provides a rich set of dataviz components, built on top of the awesome d3 and React libraries.",1524.0,1274.0,165,38,https://www.npmjs.com/package/@nivo/core,2022-01-02 17:25:34.739,250.0,757711.0,757711.0,,,,True,2,,,https://nivo.rocks/components/,,,,,,,,,,,,,,,,,,,,,,
47,React Dropzone,react-dropzone/react-dropzone,react-dropzone,file-handling,org.webjars.npm:react-dropzone,https://github.com/react-dropzone/react-dropzone,https://github.com/react-dropzone/react-dropzone,MIT,2014-09-27 11:57:09.000,2022-01-10 09:11:55.000,2022-01-10 02:55:35.000,565.0,5.0,730,71.0,434.0,20.0,663.0,8674,2022-01-10 02:57:10.000,11.5.1,152.0,Simple HTML5 drag-drop zone with React.js.,89245.0,82629.0,175,38,https://www.npmjs.com/package/react-dropzone,2022-01-10 02:57:06.324,6611.0,5545222.0,5545222.0,https://search.maven.org/artifact/org.webjars.npm/react-dropzone,2020-08-24 00:00:00.000,5.0,True,2,,,https://react-dropzone.js.org/#section-basic-example,,,,,,,,,,,,,,,,,,,,,,
48,redux-toolkit,reduxjs/redux-toolkit,redux-toolkit,state-management,org.webjars.npm:reduxjs__toolkit,https://github.com/reduxjs/redux-toolkit,https://github.com/reduxjs/redux-toolkit,MIT,2018-03-03 21:21:53.000,2022-01-09 23:08:53.000,2022-01-09 23:08:53.000,1435.0,255.0,568,64.0,680.0,100.0,947.0,6983,2021-12-16 03:52:22.000,1.7.1,65.0,"The official, opinionated, batteries-included toolset for efficient Redux development.",157331.0,157325.0,200,38,https://www.npmjs.com/package/redux-toolkit,2015-10-21 03:50:29.233,6.0,19055.0,19055.0,https://search.maven.org/artifact/org.webjars.npm/reduxjs__toolkit,2020-02-13 00:00:00.000,,True,2,,,,,,,,,,,,,,,,,,,,,,,,,
49,loglevel,pimterry/loglevel,loglevel,utils,,https://github.com/pimterry/loglevel,https://github.com/pimterry/loglevel,MIT,2013-03-23 20:35:58.000,2021-11-18 12:58:28.369,2021-11-18 12:51:09.000,289.0,3.0,160,36.0,54.0,16.0,103.0,2151,2021-11-18 12:58:28.369,1.8.0,27.0,"Minimal lightweight logging for JavaScript, adding reliable log level methods to wrap any available console.log methods.",6037078.0,5746120.0,30,38,https://www.npmjs.com/package/loglevel,2021-11-18 12:58:28.369,290958.0,34497096.0,34497096.0,,,,True,3,,,,,,,,,,,,,,,,,,,,,,,,,
50,Semantic-UI,Semantic-Org/Semantic-UI,semantic-ui,ui-frameworks,org.webjars.bower:github-com-Semantic-Org-Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,MIT,2013-04-08 23:32:04.000,2021-12-22 11:19:19.000,2018-10-21 20:59:02.000,6684.0,,5139,1342.0,875.0,1055.0,5234.0,49789,2018-10-21 21:03:55.194,2.4.2,100.0,Semantic is a UI component framework based around useful principles from natural language.,15316.0,12939.0,225,37,https://www.npmjs.com/package/semantic-ui,2018-10-21 21:03:55.194,2377.0,28530.0,28572.0,https://search.maven.org/artifact/org.webjars.bower/github-com-Semantic-Org-Semantic-UI,2018-03-08 00:00:00.000,,False,2,,,,,,,,4036.0,,,,,,,,,,,,,,,,,
51,Ant Design Pro,ant-design/ant-design-pro,ant-design-pro,admin-dashboards,,https://github.com/ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,MIT,2017-08-25 10:40:44.000,2022-01-11 02:43:07.000,2022-01-11 02:32:25.000,2363.0,19.0,7135,773.0,1323.0,151.0,7902.0,31089,2021-12-22 08:23:22.000,5.2.0,47.0,Use Ant Design like a Pro!.,2552.0,2344.0,295,37,https://www.npmjs.com/package/ant-design-pro,2019-05-08 08:43:17.468,208.0,20219.0,20219.0,,,,True,2,,['ant-design'],https://preview.pro.ant.design/,,,,,,,,,,,,,,,,,,,,,,
