,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,trending,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Webpack,webpack/webpack,webpack,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-04-15 18:08:09.000,2021-04-15 15:44:41.000,7677,285.0,7940.0,57975,13467.0,2021-04-14 18:32:55.000,5.33.2,738.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,8040407.0,6752743.0,746.0,43,https://www.npmjs.com/package/webpack,2021-04-14 18:31:34.553,1287664.0,68899517.0,68899517.0,True,1,,,,,,,,,,
1,Material-UI,mui-org/material-ui,@material-ui/core,ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-04-15 17:33:36.000,2021-04-15 17:33:00.000,21263,503.0,12352.0,67559,12030.0,2021-01-24 12:54:25.000,4.11.3,142.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30052.0,540.0,2395.0,41,https://www.npmjs.com/package/@material-ui/core,2021-04-12 09:46:17.961,29512.0,7974971.0,7974971.0,True,1,['material-ui'],,,,,,,,,
2,Storybook,storybookjs/storybook,@storybook/react,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-04-15 14:50:14.000,2021-04-15 14:34:53.000,5969,1101.0,6320.0,60454,33433.0,2021-04-14 03:01:32.000,6.2.8,789.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",24127.0,9549.0,1474.0,40,https://www.npmjs.com/package/@storybook/react,2021-04-15 14:29:13.253,14578.0,8852946.0,8852946.0,True,2,,,,,,,,,,
3,Gatsby,gatsbyjs/gatsby,gatsby,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-04-15 18:10:29.000,2021-04-15 18:10:28.000,9461,631.0,12071.0,49800,18214.0,2021-04-13 20:21:32.000,gatsby@3.3.0,2134.0,"Build blazing fast, modern apps and websites with React.",351345.0,326985.0,3971.0,40,https://www.npmjs.com/package/gatsby,2021-04-10 17:58:38.938,24360.0,2043853.0,2043853.0,True,1,,https://www.gatsbyjs.com/showcase/,-1.0,,,,,,,
4,Next.js,vercel/next.js,next,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-04-15 16:34:52.000,2021-04-15 16:34:52.000,12033,978.0,8233.0,65751,7917.0,2021-04-02 10:32:09.242,10.1.3,1127.0,The React Framework.,15615.0,183.0,1611.0,39,https://www.npmjs.com/package/next,2021-04-13 16:44:02.692,15432.0,5891455.0,5891455.0,True,3,,https://nextjs.org/showcase,,,,,,,,
5,Styled Components,styled-components/styled-components,styled-components,styling,https://github.com/styled-components/styled-components,https://github.com/styled-components/styled-components,MIT,2016-08-16 06:41:32.000,2021-04-14 10:33:39.000,2021-03-31 14:17:41.000,2028,240.0,2116.0,33269,3208.0,2021-03-31 14:16:12.000,5.2.3,285.0,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress.,667101.0,612789.0,311.0,39,https://www.npmjs.com/package/styled-components,2021-03-30 15:40:59.368,54312.0,11483688.0,11483688.0,True,1,,,,,,,,,,
6,Bootstrap React,react-bootstrap/react-bootstrap,react-bootstrap,ui-frameworks,https://github.com/react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,MIT,2013-12-27 19:06:07.000,2021-04-15 16:34:20.000,2021-04-15 16:34:20.000,3064,124.0,2874.0,19245,3974.0,2021-03-11 18:36:27.000,1.5.2,163.0,Bootstrap components built with React.,490701.0,431859.0,428.0,39,https://www.npmjs.com/package/react-bootstrap,2021-03-13 06:41:50.291,58842.0,3765069.0,3765689.0,True,2,"['bootstrap""']",,,50262.0,,,,,,
7,Ant Design,ant-design/ant-design,antd,ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-04-15 13:09:12.000,2021-04-15 03:55:35.000,27470,619.0,20209.0,5821,20606.0,2021-04-10 10:51:07.000,4.15.1,583.0,A UI Design Language and React UI library.,234436.0,207234.0,1584.0,39,https://www.npmjs.com/package/antd,2021-03-29 08:22:20.154,27202.0,2698550.0,2698551.0,True,2,['ant-design'],,,16.0,,,,,,
8,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2021-04-15 12:08:46.000,2021-04-10 13:24:58.000,1797,103.0,1287.0,40160,3674.0,2021-04-05 22:15:22.201,2.1.1,153.0,A utility-first CSS framework for rapid UI development.,188011.0,182623.0,174.0,37,https://www.npmjs.com/package/tailwindcss,2021-04-05 22:15:22.201,5388.0,3092877.0,3092877.0,True,3,,,,,,,,,,
9,Semantic UI React,Semantic-Org/Semantic-UI-React,semantic-ui-react,ui-frameworks,https://github.com/Semantic-Org/Semantic-UI-React,https://github.com/Semantic-Org/Semantic-UI-React,MIT,2015-06-19 16:47:19.000,2021-04-15 11:25:51.000,2021-01-25 15:14:50.000,3578,138.0,2253.0,12191,3064.0,2021-01-25 15:14:00.000,2.0.3,148.0,The official Semantic-UI-React integration.,129925.0,112995.0,307.0,37,https://www.npmjs.com/package/semantic-ui-react,2021-01-20 19:57:11.349,16930.0,914662.0,914662.0,True,2,,https://react.semantic-ui.com/elements/button/,,,,,,,,
10,Draft JS,facebook/draft-js,draft-js,editors,https://github.com/facebook/draft-js,https://github.com/facebook/draft-js,MIT,2016-02-19 20:18:26.000,2021-04-12 18:25:49.000,2021-04-12 18:25:38.000,2331,828.0,944.0,20116,1103.0,2020-08-17 16:40:16.000,0.11.7,32.0,A React framework for building text editors.,104599.0,86181.0,305.0,36,https://www.npmjs.com/package/draft-js,2020-08-17 16:36:23.849,18418.0,2771457.0,2771457.0,True,1,,,,,,,,,,
11,Recharts,recharts/recharts,recharts,data-viz,https://github.com/recharts/recharts,https://github.com/recharts/recharts,MIT,2015-08-07 06:50:27.000,2021-04-06 06:19:07.000,2021-04-06 06:19:06.000,1230,154.0,1954.0,16178,1846.0,2021-03-24 03:50:34.413,2.0.9,178.0,Redefined chart library built with React and D3.,52330.0,45326.0,210.0,36,https://www.npmjs.com/package/recharts,2021-03-24 03:50:34.413,7004.0,2515463.0,2515463.0,True,1,,http://recharts.org/en-US/examples,,,,,,,,
12,Electron,electron/electron,electron,desktop-apps,https://github.com/electron/electron,https://github.com/electron/electron,MIT,2013-04-12 01:47:36.000,2021-04-14 00:18:01.848,,12218,1108.0,,91189,,2021-04-13 22:59:17.486,12.0.4,506.0,"Build cross-platform desktop apps with JavaScript, HTML, and CSS.",46992.0,,647.0,35,https://www.npmjs.com/package/electron,2021-04-14 00:18:01.848,46992.0,1960146.0,1960146.0,True,1,,,,,,,,,,
13,lerna,lerna/lerna,lerna,dev-tools,https://github.com/lerna/lerna,https://github.com/lerna/lerna,MIT,2015-12-04 09:36:55.000,2021-04-14 12:46:50.000,2021-02-10 23:24:50.000,1769,596.0,1451.0,27695,,2021-02-10 22:42:55.000,4.0.0,184.0,A tool for managing JavaScript projects with multiple packages.,104709.0,76547.0,271.0,35,https://www.npmjs.com/package/lerna,2021-02-10 22:42:31.218,28162.0,4914468.0,4914468.0,True,2,,,,,,,,,,
14,React Admin,marmelab/react-admin,react-admin,admin-dashboards,https://github.com/marmelab/react-admin,https://github.com/marmelab/react-admin,MIT,2016-07-13 07:58:54.000,2021-04-15 16:06:27.000,2021-04-15 14:18:22.000,3593,141.0,2936.0,16564,10046.0,2021-04-12 12:00:59.000,3.14.3,162.0,"A frontend Framework for building B2B applications running in the browser on top of REST/GraphQL APIs, using ES6,..",6177.0,5681.0,459.0,35,https://www.npmjs.com/package/react-admin,2021-04-02 14:00:11.153,496.0,179541.0,179541.0,True,1,['material-ui'],https://marmelab.com/react-admin-demo/,,,,,,,,
15,SheetJS,SheetJS/sheetjs,xlsx,file-handling,https://github.com/SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,Apache-2.0,2012-12-03 19:25:52.000,2021-04-13 20:06:28.000,2021-04-13 20:06:18.000,6577,477.0,1512.0,25215,496.0,2020-11-20 07:22:22.859,0.16.9,159.0,SheetJS Community Edition -- Spreadsheet Data Toolkit.,10577.0,1819.0,127.0,34,https://www.npmjs.com/package/xlsx,2020-11-20 07:22:22.859,8758.0,4594418.0,4594418.0,True,1,,,,,,,,,,
16,React Dropzone,react-dropzone/react-dropzone,react-dropzone,file-handling,https://github.com/react-dropzone/react-dropzone,https://github.com/react-dropzone/react-dropzone,MIT,2014-09-27 11:57:09.000,2021-04-05 10:13:10.000,2021-03-26 07:58:15.000,687,12.0,635.0,8057,547.0,2021-03-26 08:00:38.000,11.3.2,145.0,Simple HTML5 drag-drop zone with React.js.,74874.0,64558.0,159.0,34,https://www.npmjs.com/package/react-dropzone,2021-03-26 08:00:32.355,10316.0,5724015.0,5724015.0,True,1,,https://react-dropzone.js.org/#section-basic-example,,,,,,,,
