,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,license,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,github_release_downloads,trending,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
10,Bootstrap React,react-bootstrap/react-bootstrap,ui-frameworks,react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,2013-12-27 19:06:07.000,2021-07-29 16:00:42.000,2021-07-26 23:56:29.000,3127,141.0,2968.0,19720,4144.0,2021-06-04 00:04:42.000,1.6.1,172.0,Bootstrap components built with React.,573637.0,514795.0,446,39,https://www.npmjs.com/package/react-bootstrap,MIT,2021-07-20 00:16:22.891,58842.0,3747290.0,3747889.0,True,1,"['bootstrap""']",,50341.0,,,,,,,
11,winston,winstonjs/winston,utils,winston,https://github.com/winstonjs/winston,https://github.com/winstonjs/winston,2010-12-29 18:49:51.000,2021-07-12 05:53:04.000,2020-08-29 06:01:13.000,1489,355.0,896.0,17575,1356.0,2020-06-23 22:31:38.000,3.3.3,83.0,A logger for just about everything.,515649.0,396667.0,344,39,https://www.npmjs.com/package/winston,MIT,2020-06-23 22:31:24.942,118982.0,25626532.0,25626532.0,True,2,,,,,,,,,,
12,Tailewind CSS,tailwindlabs/tailwindcss,styling,tailwindcss,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,2017-10-06 14:59:14.000,2021-07-29 11:31:07.000,2021-07-29 11:31:06.000,2094,88.0,1570.0,45059,4040.0,2021-07-21 19:47:17.000,2.2.6,195.0,A utility-first CSS framework for rapid UI development.,267264.0,261876.0,191,38,https://www.npmjs.com/package/tailwindcss,MIT,2021-07-23 11:49:51.462,5388.0,3758071.0,3758071.0,True,1,,,,,,,,,,
13,enzyme,enzymejs/enzyme,testing,enzyme,https://github.com/enzymejs/enzyme,https://github.com/enzymejs/enzyme,2015-11-10 21:45:38.000,2021-07-17 20:34:59.000,2021-06-15 18:14:30.000,2082,281.0,1477.0,19647,1961.0,2019-12-20 00:08:40.725,3.11.0,54.0,JavaScript Testing utilities for React.,491646.0,388776.0,396,38,https://www.npmjs.com/package/enzyme,MIT,2019-12-20 00:08:40.725,102870.0,9813698.0,9813698.0,True,3,,,,,,,,,,
14,bulma,jgthms/bulma,ui-frameworks,bulma,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,2016-01-23 23:48:34.000,2021-07-29 17:01:09.000,2021-07-20 09:10:12.000,3766,316.0,2146.0,43964,1629.0,2021-06-18 17:45:30.000,0.9.3,59.0,Modern CSS framework based on Flexbox.,181236.0,160492.0,372,37,https://www.npmjs.com/package/bulma,MIT,2021-06-18 17:42:02.342,20744.0,1035174.0,1046944.0,True,2,,,529661.0,,,,,,,
15,Styled Components,styled-components/styled-components,styling,styled-components,https://github.com/styled-components/styled-components,https://github.com/styled-components/styled-components,2016-08-16 06:41:32.000,2021-07-20 10:50:26.000,2021-07-09 21:34:03.000,2107,266.0,2147.0,34281,,2021-05-05 02:17:54.000,5.3.0,287.0,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress.,778521.0,724209.0,315,36,https://www.npmjs.com/package/styled-components,MIT,2021-05-05 02:17:02.605,54312.0,11846966.0,11846966.0,True,2,,,,,,,,,,
16,preact,preactjs/preact,others,preact,https://github.com/preactjs/preact,https://github.com/preactjs/preact,2015-09-11 02:40:18.000,2021-07-23 15:00:36.000,2021-07-14 15:53:53.000,1618,217.0,1265.0,29555,4892.0,2021-07-01 16:57:57.000,10.5.14,182.0,Fast 3kB React alternative with the same modern API. Components & Virtual DOM.,61493.0,49971.0,282,36,https://www.npmjs.com/package/preact,MIT,2021-07-01 16:55:57.821,11522.0,3040338.0,3040338.0,True,1,,,,,,,,,,
17,react-hook-form,react-hook-form/react-hook-form,others,react-hook-form,https://github.com/react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,2019-03-05 23:47:10.000,2021-07-28 10:57:22.000,2021-07-28 07:20:06.000,1027,12.0,2478.0,22247,2762.0,2021-07-27 08:18:49.000,7.12.1,854.0,React Hooks for forms validation (Web + React Native).,73563.0,73309.0,167,36,https://www.npmjs.com/package/react-hook-form,MIT,2021-07-27 08:19:29.007,254.0,3945512.0,3945512.0,True,1,,,,,,,,,,
18,react-virtualized,bvaughn/react-virtualized,data-tables,react-virtualized,https://github.com/bvaughn/react-virtualized,https://github.com/bvaughn/react-virtualized,2015-11-03 00:48:07.000,2021-07-19 11:44:53.000,2021-05-17 21:35:30.000,2752,404.0,705.0,22156,1984.0,2020-12-18 22:18:53.000,9.22.3,294.0,React components for efficiently rendering large lists and tabular data.,39322.0,33866.0,214,36,https://www.npmjs.com/package/react-virtualized,MIT,2018-06-01 16:00:52.806,5456.0,3293877.0,3293877.0,True,1,,https://bvaughn.github.io/react-virtualized/#/components/List,,,,,,,,
19,Draft JS,facebook/draft-js,editors,draft-js,https://github.com/facebook/draft-js,https://github.com/facebook/draft-js,2016-02-19 20:18:26.000,2021-07-26 17:55:40.000,2021-07-26 17:55:35.000,2393,883.0,949.0,20612,1122.0,2020-08-17 16:40:16.000,0.11.7,32.0,A React framework for building text editors.,110171.0,91753.0,308,36,https://www.npmjs.com/package/draft-js,MIT,2020-08-17 16:36:23.849,18418.0,2975393.0,2975393.0,True,1,,,,,,,,,,
