,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,license,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,trending,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
51,emotion,emotion-js/emotion,styling,@emotion/react,https://github.com/emotion-js/emotion,https://github.com/emotion-js/emotion,2017-05-27 04:23:45.000,2021-07-14 15:49:04.000,2021-06-06 23:38:08.000,851,126.0,1188.0,13327,,2021-05-07 00:52:02.000,@emotion/cache@11.4.0,100.0,CSS-in-JS library designed for high performance style composition.,17866.0,17866.0,260,32,https://www.npmjs.com/package/@emotion/react,MIT,2021-05-07 00:51:52.620,0.0,4425375.0,4425375.0,True,3,,,,,,,,,,
52,nivo,plouc/nivo,data-viz,@nivo/core,https://github.com/plouc/nivo,https://github.com/plouc/nivo,2016-04-16 03:27:56.000,2021-07-15 00:01:38.000,2021-07-14 23:57:07.000,709,86.0,1008.0,8975,1459.0,2021-07-14 23:58:35.000,0.73.1,57.0,"nivo provides a rich set of dataviz components, built on top of the awesome d3 and Reactjs libraries.",1442.0,1140.0,147,32,https://www.npmjs.com/package/@nivo/core,MIT,2021-07-14 20:37:35.672,302.0,878851.0,878851.0,True,2,,https://nivo.rocks/components/,,,,,,,,
53,Grommet,grommet/grommet,ui-frameworks,grommet,https://github.com/grommet/grommet,https://github.com/grommet/grommet,2015-03-24 08:54:10.000,2021-07-14 21:54:54.000,2021-07-14 19:11:51.000,888,210.0,2451.0,7370,5928.0,2021-06-08 23:27:20.000,2.17.3,133.0,"a react-based framework that provides accessibility, modularity, responsiveness, and theming in a tidy package.",7919.0,6687.0,300,32,https://www.npmjs.com/package/grommet,Apache-2.0,2021-06-08 23:16:44.648,1232.0,93232.0,93259.0,True,2,,https://v2.grommet.io/components,,1791.0,,,,,,
54,react-json-view,mac-s-g/react-json-view,file-handling,react-json-view,https://github.com/mac-s-g/react-json-view,https://github.com/mac-s-g/react-json-view,2017-03-26 06:01:36.000,2021-07-13 07:27:21.000,2021-03-09 03:27:31.000,292,108.0,88.0,2139,732.0,2021-03-09 03:08:46.252,1.21.3,111.0,JSON viewer for react.,18030.0,17036.0,33,32,https://www.npmjs.com/package/react-json-view,MIT,2021-03-09 03:08:46.252,994.0,1105750.0,1105750.0,True,2,,https://mac-s-g.github.io/react-json-view/demo/dist/,,,,,,,,
55,editor.js,codex-team/editor.js,editors,@editorjs/editorjs,https://github.com/codex-team/editor.js,https://github.com/codex-team/editor.js,2015-11-28 20:56:35.000,2021-07-13 17:10:35.000,2021-06-28 10:06:35.000,1213,389.0,595.0,15884,523.0,2021-06-28 10:33:10.798,2.22.1,38.0,A block-styled editor with clean JSON output.,2090.0,2016.0,36,31,https://www.npmjs.com/package/@editorjs/editorjs,Apache-2.0,2021-06-28 10:33:10.798,74.0,65949.0,65972.0,True,2,,,,1283.0,,,,,,
56,zustand,pmndrs/zustand,state-management,zustand,https://github.com/pmndrs/zustand,https://github.com/pmndrs/zustand,2019-04-09 09:10:06.000,2021-07-13 23:43:36.000,2021-07-13 23:43:24.000,242,28.0,209.0,9475,506.0,2021-07-13 23:49:05.000,3.5.7,59.0,Bear necessities for state management in React.,4615.0,4595.0,69,31,https://www.npmjs.com/package/zustand,MIT,2021-06-09 00:28:50.157,20.0,421081.0,421081.0,True,2,,,,,,,,,,
57,Victory,FormidableLabs/victory,data-viz,victory,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50.000,2021-07-14 17:31:24.000,2021-07-14 17:31:07.000,440,155.0,1230.0,8965,,2021-07-14 17:31:18.286,35.9.1,202.0,A collection of composable React components for building interactive data visualizations.,10809.0,9437.0,234,31,https://www.npmjs.com/package/victory,MIT,2021-07-14 17:31:18.286,1372.0,575967.0,575967.0,True,2,,https://formidable.com/open-source/victory/gallery/,,,,,,,,
58,sql.js,sql-js/sql.js,others,sql.js,https://github.com/sql-js/sql.js,https://github.com/sql-js/sql.js,2012-02-27 03:05:49.000,2021-07-07 07:19:12.000,2021-07-07 07:13:41.000,859,97.0,251.0,8890,467.0,2021-03-15 10:04:56.737,1.5.0,30.0,A javascript library to run SQLite on the web.,3949.0,3151.0,40,31,https://www.npmjs.com/package/sql.js,MIT,2021-03-15 10:04:56.737,798.0,253664.0,254254.0,True,2,,,,11800.0,,,,,,
59,baseweb,uber/baseweb,ui-frameworks,baseui,https://github.com/uber/baseweb,https://github.com/uber/baseweb,2018-03-09 01:32:10.000,2021-07-15 18:12:08.000,2021-07-09 18:36:25.000,581,115.0,707.0,6556,2831.0,2021-07-06 22:50:22.749,9.116.3,544.0,A React Component library implementing the Base design language.,2017.0,1973.0,202,31,https://www.npmjs.com/package/baseui,MIT,2021-07-06 22:50:22.749,44.0,121560.0,121560.0,True,2,,,,,,,,,,
60,react-draft-wysiwyg,jpuri/react-draft-wysiwyg,editors,react-draft-wysiwyg,https://github.com/jpuri/react-draft-wysiwyg,https://github.com/jpuri/react-draft-wysiwyg,2016-09-04 18:33:34.000,2021-07-12 06:06:04.000,2021-05-05 01:18:14.000,910,528.0,357.0,5161,826.0,2021-05-05 01:18:31.148,1.14.7,130.0,A Wysiwyg editor build on top of ReactJS and DraftJS. https://jpuri.github.io/react-draft-wysiwyg.,15499.0,13927.0,83,31,https://www.npmjs.com/package/react-draft-wysiwyg,MIT,2021-05-05 01:18:31.148,1572.0,807589.0,807589.0,True,2,,,,,,,,,,
