,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,trending,demo_url,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
29,esbuild,evanw/esbuild,dev-tools,esbuild,https://github.com/evanw/esbuild,https://github.com/evanw/esbuild,MIT,2016-06-14 16:08:50.000,2021-08-10 12:51:40.000,2021-08-10 12:50:16.000,611,196.0,1113.0,26458,2439.0,2021-08-07 21:29:04.000,0.12.19,271.0,An extremely fast JavaScript bundler and minifier.,58849.0,58849.0,58,35,https://www.npmjs.com/package/esbuild,2021-08-07 21:28:40.925,0.0,3883804.0,3883804.0,True,2,,1.0,,,,,,,,
30,react-use,streamich/react-use,others,react-use,https://github.com/streamich/react-use,https://github.com/streamich/react-use,Unlicense,2018-10-27 10:16:05.000,2021-08-12 13:00:51.000,2021-05-14 11:29:10.000,1790,379.0,204.0,24502,2748.0,2021-04-23 14:17:08.000,17.2.4,260.0,React Hooks.,15284.0,14776.0,177,35,https://www.npmjs.com/package/react-use,2021-04-23 14:17:04.023,508.0,2103225.0,2103225.0,True,2,,,,,,,,,,
31,react-beautiful-dnd,atlassian/react-beautiful-dnd,other-components,react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,Apache-2.0,2017-08-09 03:37:15.000,2021-08-12 12:15:10.000,2021-06-17 02:58:48.000,1808,448.0,985.0,24489,785.0,2021-03-21 23:46:09.000,13.1.0,93.0,Beautiful and accessible drag and drop for lists with React.,30540.0,28556.0,123,35,https://www.npmjs.com/package/react-beautiful-dnd,2021-03-21 23:24:40.308,1984.0,3760658.0,3760658.0,True,2,,,,,,,,,,
32,react-query,tannerlinsley/react-query,data-fetching,react-query,https://github.com/tannerlinsley/react-query,https://github.com/tannerlinsley/react-query,MIT,2019-09-10 19:23:58.000,2021-08-12 11:03:30.000,2021-08-12 11:03:30.000,1040,31.0,701.0,21957,1313.0,2021-08-12 07:55:27.000,3.19.6,378.0,"Hooks for fetching, caching and updating asynchronous data in React.",19537.0,19527.0,328,35,https://www.npmjs.com/package/react-query,2021-08-12 07:55:23.507,10.0,2421554.0,2421554.0,True,1,,,,,,,,,,
33,localForage,localForage/localForage,state-management,localforage,https://github.com/localForage/localForage,https://github.com/localForage/localForage,Apache-2.0,2013-10-31 00:10:06.000,2021-04-07 03:28:45.000,2020-07-31 18:35:14.000,1110,203.0,485.0,19334,1118.0,2020-08-01 10:10:21.654,1.9.0,61.0,"Offline storage, improved. Wraps IndexedDB, WebSQL, or localStorage using a simple but powerful API.",205566.0,177106.0,110,35,https://www.npmjs.com/package/localforage,2020-08-01 10:10:21.654,28460.0,4590556.0,4590778.0,False,1,,,,19811.0,,,,,,
34,React Admin,marmelab/react-admin,admin-dashboards,react-admin,https://github.com/marmelab/react-admin,https://github.com/marmelab/react-admin,MIT,2016-07-13 07:58:54.000,2021-08-12 12:45:29.000,2021-08-12 07:26:28.000,3818,143.0,3090.0,17564,10604.0,2021-08-02 10:47:43.000,3.17.1,177.0,"A frontend Framework for building B2B applications running in the browser on top of REST/GraphQL APIs, using ES6,..",7316.0,6820.0,478,35,https://www.npmjs.com/package/react-admin,2021-08-02 10:46:40.571,496.0,172356.0,172356.0,True,1,['material-ui'],,https://marmelab.com/react-admin-demo/,,,,,,,
35,umi,umijs/umi,cms-frameworks,umi,https://github.com/umijs/umi,https://github.com/umijs/umi,MIT,2017-11-22 10:09:36.000,2021-08-12 08:57:16.000,2021-08-12 08:57:14.000,1768,224.0,4070.0,11002,4479.0,2021-08-11 05:28:45.000,3.5.17,512.0,Pluggable enterprise-level react application framework.,21087.0,19873.0,312,35,https://www.npmjs.com/package/umi,2021-08-11 04:05:19.351,1214.0,114449.0,114449.0,True,3,,,,,,,,,,
36,i18next,i18next/i18next,utils,i18next,https://github.com/i18next/i18next,https://github.com/i18next/i18next,MIT,2011-12-16 12:37:42.000,2021-08-10 09:16:12.564,2021-08-10 09:15:49.000,544,3.0,1080.0,5753,1660.0,2021-07-25 09:41:44.630,20.3.5,318.0,i18next: learn once - translate everywhere.,68367.0,58977.0,200,35,https://www.npmjs.com/package/i18next,2021-08-10 09:16:12.564,9390.0,7134541.0,7134541.0,True,3,,,,,,,,,,
37,lerna,lerna/lerna,dev-tools,lerna,https://github.com/lerna/lerna,https://github.com/lerna/lerna,MIT,2015-12-04 09:36:55.000,2021-08-03 19:28:13.000,2021-06-02 22:46:25.000,1879,654.0,1468.0,29415,,2021-02-10 22:42:55.000,4.0.0,184.0,A tool for managing JavaScript projects with multiple packages.,118096.0,89934.0,271,34,https://www.npmjs.com/package/lerna,2021-02-10 22:42:31.218,28162.0,4797521.0,4797521.0,True,2,,-1.0,,,,,,,,
38,SheetJS,SheetJS/sheetjs,file-handling,xlsx,https://github.com/SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,Apache-2.0,2012-12-03 19:25:52.000,2021-08-11 09:08:04.000,2021-08-11 09:05:36.000,6914,514.0,1545.0,26964,502.0,2021-05-13 19:13:41.651,0.17.0,160.0,SheetJS Community Edition -- Spreadsheet Data Toolkit.,10749.0,1991.0,132,34,https://www.npmjs.com/package/xlsx,2021-05-13 19:13:41.651,8758.0,5139503.0,5139503.0,True,2,,,,,,,,,,
39,react-testing-library,testing-library/react-testing-library,testing,react-testing-library,https://github.com/testing-library/react-testing-library,https://github.com/testing-library/react-testing-library,MIT,2018-03-19 13:39:49.000,2021-07-24 13:02:07.000,2021-07-15 01:45:28.000,846,17.0,509.0,14990,,2021-06-23 06:36:03.000,12.0.0,100.0,Simple and complete React DOM testing utilities that encourage good testing practices.,2688171.0,2683539.0,161,34,https://www.npmjs.com/package/react-testing-library,2019-05-30 18:10:43.138,4632.0,381642.0,381642.0,True,3,,,,,,,,,,
40,tinymce,tinymce/tinymce,editors,tinymce,https://github.com/tinymce/tinymce,https://github.com/tinymce/tinymce,LGPL-2.1,2010-01-11 14:46:42.000,2021-08-12 14:01:02.000,2021-08-12 01:44:30.000,1814,757.0,4617.0,9683,24460.0,2021-06-23 06:52:34.480,5.8.2,136.0,"The world's #1 JavaScript library for rich text editing. Available for React, Vue and Angular.",3377.0,369.0,296,34,https://www.npmjs.com/package/tinymce,2021-06-23 06:52:34.480,3008.0,952487.0,952487.0,False,1,,,,,,,,,,
41,swr,vercel/swr,data-fetching,swr,https://github.com/vercel/swr,https://github.com/vercel/swr,MIT,2019-10-28 18:16:01.000,2021-08-12 16:52:09.000,2021-08-11 16:32:55.000,630,75.0,383.0,18278,398.0,2021-05-03 16:57:23.630,0.5.6,82.0,React Hooks for remote data fetching.,29287.0,29261.0,111,33,https://www.npmjs.com/package/swr,2021-07-27 12:35:49.528,26.0,1443686.0,1443686.0,True,2,,,,,,,,,,
42,Handsontable,handsontable/handsontable,data-tables,handsontable,https://github.com/handsontable/handsontable,https://github.com/handsontable/handsontable,ICU,2011-05-23 22:38:58.000,2021-08-12 14:31:45.000,2021-07-28 10:23:21.000,2617,757.0,6189.0,15527,7155.0,2021-07-28 10:31:46.000,9.0.2,100.0,"JavaScript data grid with a spreadsheet look & feel. Works for React, Angular, and Vue. Supported by the Handsontable..",4541.0,3817.0,119,33,https://www.npmjs.com/package/handsontable,2021-07-28 10:27:18.095,724.0,462053.0,462053.0,False,2,,,https://handsontable.com/examples,,,,,,,
43,nivo,plouc/nivo,data-viz,@nivo/core,https://github.com/plouc/nivo,https://github.com/plouc/nivo,MIT,2016-04-16 03:27:56.000,2021-08-11 04:01:42.000,2021-08-10 21:05:15.000,714,89.0,1023.0,9066,1464.0,2021-07-14 23:58:35.000,0.73.1,57.0,"nivo provides a rich set of dataviz components, built on top of the awesome d3 and Reactjs libraries.",1462.0,1160.0,152,33,https://www.npmjs.com/package/@nivo/core,2021-07-14 20:37:35.672,302.0,904894.0,904894.0,True,1,,1.0,https://nivo.rocks/components/,,,,,,,
44,ag-Grid,ag-grid/ag-grid,data-tables,ag-grid-community,https://github.com/ag-grid/ag-grid,https://github.com/ag-grid/ag-grid,MIT,2014-12-23 16:20:14.000,2021-08-12 14:34:40.000,2021-08-12 14:34:38.000,1311,35.0,4092.0,7427,21404.0,2021-06-14 15:11:55.000,25.3.0,100.0,The best JavaScript Data Table for building Enterprise Applications. Supports React / Angular / Vue / Plain JavaScript.,1515.0,869.0,120,33,https://www.npmjs.com/package/ag-grid-community,2021-05-27 07:29:42.415,646.0,1053293.0,1053293.0,True,2,,,,,,,,,,
45,React-Toastify,fkhadra/react-toastify,notifications,react-toastify,https://github.com/fkhadra/react-toastify,https://github.com/fkhadra/react-toastify,MIT,2016-11-08 12:32:52.000,2021-08-12 10:22:53.000,2021-04-23 12:34:23.000,381,26.0,423.0,7115,1039.0,2021-04-23 12:38:06.000,7.0.4,116.0,React notification made easy !.,110980.0,105044.0,69,33,https://www.npmjs.com/package/react-toastify,2021-04-23 12:37:40.399,5936.0,2798305.0,2798305.0,True,1,,,https://fkhadra.github.io/react-toastify/introduction/,,,,,,,
46,React Chartjs 2,reactchartjs/react-chartjs-2,data-viz,react-chartjs-2,https://github.com/reactchartjs/react-chartjs-2,https://github.com/reactchartjs/react-chartjs-2,MIT,2016-05-06 22:01:08.000,2021-07-20 11:05:44.000,2021-07-20 11:05:44.000,798,174.0,392.0,4274,284.0,2021-07-20 10:59:16.182,3.0.4,69.0,"React wrapper for Chart.js 2.0 and 3.0, the most popular charting library.",94237.0,87513.0,62,33,https://www.npmjs.com/package/react-chartjs-2,2021-07-20 10:59:16.182,6724.0,1612049.0,1612049.0,True,1,,,https://reactchartjs.github.io/react-chartjs-2/,,,,,,,
47,material-table,mbrn/material-table,data-tables,material-table,https://github.com/mbrn/material-table,https://github.com/mbrn/material-table,MIT,2018-08-06 13:15:08.000,2021-08-07 12:13:29.000,2021-04-21 11:22:33.000,955,146.0,2249.0,3089,1576.0,2021-04-21 11:24:11.402,1.69.3,187.0,Datatable for React based on material-ui's table with additional features.,16278.0,15750.0,198,33,https://www.npmjs.com/package/material-table,2021-04-21 11:24:11.402,528.0,565554.0,565554.0,True,2,['material-ui'],,,,,,,,,
48,Semantic-UI,Semantic-Org/Semantic-UI,ui-frameworks,semantic-ui,https://github.com/Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,MIT,2013-04-08 23:32:04.000,2021-04-18 15:16:46.000,2018-10-21 20:59:02.000,5131,1045.0,5230.0,49479,6684.0,2018-10-21 21:03:55.194,2.4.2,100.0,Semantic is a UI component framework based around useful principles from natural language.,17179.0,12807.0,225,32,https://www.npmjs.com/package/semantic-ui,2018-10-21 21:03:55.194,4372.0,36029.0,36074.0,False,2,,,,4033.0,,,,,,
