,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,trending,demo_url,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Webpack,webpack/webpack,webpack,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-06-03 02:02:12.000,2021-06-01 02:11:56.000,7677,285.0,8058.0,58370,13787.0,2021-05-27 21:13:28.000,5.38.1,748.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,8274051.0,6986387.0,757.0,43,https://www.npmjs.com/package/webpack,2021-05-27 21:12:50.612,1287664.0,66696200.0,66696200.0,True,1,,,,,,,,,,
1,Ant Design,ant-design/ant-design,antd,ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-06-03 15:17:24.000,2021-06-03 06:57:45.000,28275,639.0,20600.0,72028,20788.0,2021-05-31 04:16:58.000,4.16.1,595.0,A UI Design Language and React UI library.,247165.0,219963.0,1618.0,41,https://www.npmjs.com/package/antd,2021-05-31 04:15:18.887,27202.0,2957227.0,2957227.0,True,1,['ant-design'],2.0,,,,,,,,
2,Material-UI,mui-org/material-ui,@material-ui/core,ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-06-03 19:35:03.000,2021-06-03 16:02:33.000,22157,521.0,12609.0,68662,12043.0,2021-04-27 15:53:12.000,4.11.4,148.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30092.0,580.0,2434.0,41,https://www.npmjs.com/package/@material-ui/core,2021-05-31 20:34:30.596,29512.0,8533624.0,8533624.0,True,1,['material-ui'],,,,,,,,,
3,Gatsby,gatsbyjs/gatsby,gatsby,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-06-03 19:47:26.000,2021-06-03 18:50:20.000,9615,528.0,12388.0,50419,18487.0,2021-06-02 06:44:15.982,3.6.2,2187.0,"Build blazing fast, modern apps and websites with React.",366786.0,342426.0,4018.0,41,https://www.npmjs.com/package/gatsby,2021-06-03 19:08:50.526,24360.0,1888657.0,1888657.0,True,1,,1.0,https://www.gatsbyjs.com/showcase/,,,,,,,
4,Next.js,vercel/next.js,next,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-06-03 19:45:13.000,2021-06-03 12:54:11.000,12778,1056.0,8573.0,68228,8325.0,2021-05-24 19:29:12.000,10.2.3,1163.0,The React Framework.,15642.0,210.0,1676.0,40,https://www.npmjs.com/package/next,2021-06-03 12:29:33.600,15432.0,5998354.0,5998354.0,True,3,,1.0,https://nextjs.org/showcase,,,,,,,
5,Storybook,storybookjs/storybook,@storybook/react,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-06-03 17:50:57.000,2021-06-03 09:43:01.000,6163,1180.0,6481.0,62243,33488.0,2021-04-23 03:46:10.000,6.2.9,834.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",25508.0,10930.0,1509.0,40,https://www.npmjs.com/package/@storybook/react,2021-06-03 09:32:31.323,14578.0,8536727.0,8536727.0,True,2,,,,,,,,,,
6,Bootstrap React,react-bootstrap/react-bootstrap,react-bootstrap,ui-frameworks,https://github.com/react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,MIT,2013-12-27 19:06:07.000,2021-06-03 15:59:11.000,2021-06-03 00:17:18.000,3106,134.0,2914.0,19471,4118.0,2021-05-11 00:15:14.000,1.6.0,167.0,Bootstrap components built with React.,531117.0,472275.0,439.0,39,https://www.npmjs.com/package/react-bootstrap,2021-06-03 00:17:42.936,58842.0,3619660.0,3620266.0,True,2,"['bootstrap""']",,,50306.0,,,,,,
7,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2021-06-03 19:47:31.000,2021-06-03 15:08:04.000,1941,58.0,1442.0,42415,3937.0,2021-06-02 12:57:33.000,2.1.4,167.0,A utility-first CSS framework for rapid UI development.,224715.0,219327.0,184.0,38,https://www.npmjs.com/package/tailwindcss,2021-05-29 18:51:32.769,5388.0,3412938.0,3412938.0,True,1,,,,,,,,,,
8,Semantic UI React,Semantic-Org/Semantic-UI-React,semantic-ui-react,ui-frameworks,https://github.com/Semantic-Org/Semantic-UI-React,https://github.com/Semantic-Org/Semantic-UI-React,MIT,2015-06-19 16:47:19.000,2021-05-16 10:00:34.000,2021-01-25 15:14:50.000,3638,147.0,2258.0,12275,3064.0,2021-01-25 15:14:00.000,2.0.3,148.0,The official Semantic-UI-React integration.,134747.0,117817.0,307.0,37,https://www.npmjs.com/package/semantic-ui-react,2021-01-20 19:57:11.349,16930.0,890383.0,890383.0,True,2,,,https://react.semantic-ui.com/elements/button/,,,,,,,
9,Styled Components,styled-components/styled-components,styled-components,styling,https://github.com/styled-components/styled-components,https://github.com/styled-components/styled-components,MIT,2016-08-16 06:41:32.000,2021-05-27 19:43:58.000,2021-05-12 13:46:41.000,2064,258.0,2127.0,33757,,2021-05-05 02:17:54.000,5.3.0,287.0,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress.,717765.0,663453.0,312.0,36,https://www.npmjs.com/package/styled-components,2021-05-05 02:17:02.605,54312.0,11492658.0,11492658.0,True,3,,,,,,,,,,
