,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,trending,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Webpack,webpack/webpack,webpack,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-06-24 15:08:10.000,2021-06-23 13:33:00.000,7677,285.0,8101.0,58546,13893.0,2021-06-21 16:26:01.000,5.40.0,751.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,8372947.0,7085283.0,763.0,43,https://www.npmjs.com/package/webpack,2021-06-21 16:25:49.624,1287664.0,70784965.0,70784965.0,True,1,,,,,,,,,,
1,Ant Design,ant-design/ant-design,antd,ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-06-24 16:33:18.000,2021-06-23 16:17:22.000,28473,647.0,20749.0,72642,20841.0,2021-06-23 16:42:14.000,4.16.5,598.0,A UI Design Language and React UI library.,252511.0,225309.0,1628.0,41,https://www.npmjs.com/package/antd,2021-06-23 16:41:19.906,27202.0,3116968.0,3116968.0,True,1,['ant-design'],,,,,,,,,
2,Material-UI,mui-org/material-ui,@material-ui/core,ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-06-24 17:58:17.000,2021-06-24 13:36:11.000,22562,551.0,12724.0,68988,12048.0,2021-04-27 15:53:12.000,4.11.4,151.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30110.0,598.0,2448.0,41,https://www.npmjs.com/package/@material-ui/core,2021-06-24 03:44:41.824,29512.0,8999866.0,8999866.0,True,1,['material-ui'],,,,,,,,,
3,Next.js,vercel/next.js,next,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-06-24 18:11:31.000,2021-06-24 18:11:09.000,13152,1126.0,8781.0,69782,8505.0,2021-06-22 20:05:28.000,11.0.1,1190.0,The React Framework.,15650.0,218.0,1719.0,40,https://www.npmjs.com/package/next,2021-06-24 00:43:26.831,15432.0,6320157.0,6320157.0,True,1,,https://nextjs.org/showcase,,,,,,,,
4,Storybook,storybookjs/storybook,@storybook/react,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-06-24 14:25:37.000,2021-06-24 06:56:06.000,6240,1220.0,6532.0,62884,33498.0,2021-06-23 09:12:30.000,6.3.0,856.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",26100.0,11522.0,1517.0,40,https://www.npmjs.com/package/@storybook/react,2021-06-24 06:47:48.432,14578.0,8995715.0,8995715.0,True,2,,,,,,,,,,
5,Gatsby,gatsbyjs/gatsby,gatsby,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-06-24 17:35:05.000,2021-06-24 14:10:58.000,9657,463.0,12505.0,50610,18596.0,2021-06-22 21:19:39.000,gatsby@3.8.0,2196.0,"Build blazing fast, modern apps and websites with React.",372928.0,348568.0,4029.0,40,https://www.npmjs.com/package/gatsby,2021-06-18 07:43:29.380,24360.0,1793091.0,1793091.0,True,1,,https://www.gatsbyjs.com/showcase/,-1.0,,,,,,,
6,Bootstrap React,react-bootstrap/react-bootstrap,react-bootstrap,ui-frameworks,https://github.com/react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,MIT,2013-12-27 19:06:07.000,2021-06-22 22:30:50.000,2021-06-21 06:23:27.000,3115,131.0,2936.0,19563,4130.0,2021-06-04 00:04:42.000,1.6.1,170.0,Bootstrap components built with React.,547545.0,488703.0,442.0,39,https://www.npmjs.com/package/react-bootstrap,2021-06-19 00:11:46.250,58842.0,3638014.0,3638620.0,True,2,"['bootstrap""']",,,50316.0,,,,,,
7,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2021-06-24 14:49:57.000,2021-06-24 14:49:57.000,1998,69.0,1507.0,43747,4004.0,2021-06-23 19:30:20.000,2.2.4,182.0,A utility-first CSS framework for rapid UI development.,240821.0,235433.0,188.0,38,https://www.npmjs.com/package/tailwindcss,2021-06-23 19:29:55.806,5388.0,3730106.0,3730106.0,True,1,,,,,,,,,,
8,Semantic UI React,Semantic-Org/Semantic-UI-React,semantic-ui-react,ui-frameworks,https://github.com/Semantic-Org/Semantic-UI-React,https://github.com/Semantic-Org/Semantic-UI-React,MIT,2015-06-19 16:47:19.000,2021-06-22 18:21:56.000,2021-01-25 15:14:50.000,3638,147.0,2259.0,12330,3064.0,2021-01-25 15:14:00.000,2.0.3,148.0,The official Semantic-UI-React integration.,137514.0,120584.0,307.0,37,https://www.npmjs.com/package/semantic-ui-react,2021-01-20 19:57:11.349,16930.0,932513.0,932513.0,True,2,,https://react.semantic-ui.com/elements/button/,,,,,,,,
9,Styled Components,styled-components/styled-components,styled-components,styling,https://github.com/styled-components/styled-components,https://github.com/styled-components/styled-components,MIT,2016-08-16 06:41:32.000,2021-06-16 19:12:26.000,2021-06-15 15:34:55.000,2066,260.0,2128.0,33964,,2021-05-05 02:17:54.000,5.3.0,287.0,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress.,739408.0,685096.0,312.0,36,https://www.npmjs.com/package/styled-components,2021-05-05 02:17:02.605,54312.0,11954714.0,11954714.0,True,3,,,,,,,,,,
