,name,github_id,npm_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,trending,demo_url,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Material-UI,mui-org/material-ui,@material-ui/core,['material-ui'],ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-12-02 14:53:22.000,2021-12-02 13:46:40.000,25022,836.0,13725.0,73363,18609.0,2021-11-29 16:55:52.000,5.2.2,161.0,"MUI (formerly Material-UI) is the React UI library you always wanted. Follow your own design system, or start with..",790306.0,760794.0,2622,43,https://www.npmjs.com/package/@material-ui/core,2021-08-25 07:29:18.576,29512.0,9378429.0,9378429.0,True,1,,,,,,,,,
1,axios,axios/axios,axios,,utils,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27.000,2021-11-30 20:34:07.000,2021-11-16 15:06:21.000,8924,305.0,3152.0,89562,1051.0,2021-10-25 17:51:25.987,0.24.0,52.0,Promise based HTTP client for the browser and node.js.,5871328.0,5322440.0,303,42,https://www.npmjs.com/package/axios,2021-10-25 17:51:25.987,548888.0,94624676.0,94624676.0,True,1,,,,,,,,,
2,Ant Design,ant-design/ant-design,antd,['ant-design'],ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-12-02 12:44:51.000,2021-12-02 06:40:03.000,31325,729.0,21849.0,76002,21305.0,2021-11-26 10:13:45.000,4.17.2,622.0,An enterprise-class UI design language and React UI library.,294762.0,267560.0,1725,41,https://www.npmjs.com/package/antd,2021-11-26 10:13:18.885,27202.0,3096579.0,3096579.0,True,1,,,,,,,,,
3,lodash,lodash/lodash,lodash,,utils,https://github.com/lodash/lodash,https://github.com/lodash/lodash,MIT,2012-04-07 04:11:46.000,2021-11-24 05:48:00.000,2021-04-23 17:25:37.000,6112,314.0,3732.0,51467,8005.0,2021-02-20 15:42:16.891,4.17.21,114.0,"A modern JavaScript utility library delivering modularity, performance, & extras.",14835093.0,12852627.0,327,41,https://www.npmjs.com/package/lodash,2021-02-20 15:42:16.891,1982466.0,176789875.0,176789875.0,True,2,-1.0,,,,,,,,
4,Next.js,vercel/next.js,next,,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-12-02 15:16:25.000,2021-12-02 12:40:38.000,15360,1390.0,10114.0,77614,8577.0,2021-11-15 21:03:01.000,12.0.4,1357.0,The React Framework.,15760.0,328.0,1953,40,https://www.npmjs.com/package/next,2021-12-01 16:56:39.482,15432.0,8799346.0,8799346.0,True,1,,https://nextjs.org/showcase,,,,,,,
5,Storybook,storybookjs/storybook,@storybook/react,,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-12-02 15:11:49.000,2021-12-02 14:02:07.000,6817,1570.0,6922.0,66862,33500.0,2021-12-01 23:36:31.000,6.4.4,953.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",29750.0,15172.0,1642,40,https://www.npmjs.com/package/@storybook/react,2021-12-01 23:32:40.676,14578.0,10655230.0,10655230.0,True,1,,,,,,,,,
6,Webpack,webpack/webpack,webpack,,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-12-02 08:09:04.000,2021-12-02 08:09:02.000,8085,276.0,8525.0,59900,,2021-11-25 15:49:36.000,5.64.4,791.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,9372907.0,8085243.0,787,40,https://www.npmjs.com/package/webpack,2021-11-25 15:49:27.093,1287664.0,80477126.0,80477126.0,True,1,1.0,,,,,,,,
7,Gatsby,gatsbyjs/gatsby,gatsby,,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-12-02 15:14:04.000,2021-12-02 14:53:45.000,9981,382.0,12944.0,51822,19519.0,2021-12-01 21:00:44.000,gatsby@4.3.0,2387.0,"Build blazing fast, modern apps and websites with React.",412693.0,388333.0,4133,40,https://www.npmjs.com/package/gatsby,2021-11-30 12:58:56.684,24360.0,1600812.0,1600812.0,True,1,,https://www.gatsbyjs.com/showcase/,,,,,,,
8,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2021-12-02 14:32:24.000,2021-12-02 14:23:35.000,2351,64.0,1807.0,49645,4313.0,2021-10-29 16:24:34.000,2.2.19,371.0,A utility-first CSS framework for rapid UI development.,383578.0,378190.0,203,39,https://www.npmjs.com/package/tailwindcss,2021-11-08 17:02:33.787,5388.0,5195095.0,5195095.0,True,1,,,,,,,,,
9,jest,facebook/jest,jest,,testing,https://github.com/facebook/jest,https://github.com/facebook/jest,MIT,2013-12-10 00:18:04.000,2021-12-02 08:10:24.000,2021-12-02 08:10:24.000,5477,1655.0,5080.0,37243,,2021-12-01 14:01:19.000,27.4.3,289.0,Delightful JavaScript Testing.,4596337.0,4055679.0,1375,39,https://www.npmjs.com/package/jest,2021-12-01 14:00:38.290,540658.0,62311485.0,62311485.0,True,1,,,,,,,,,
