,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,trending,demo_url,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Webpack,webpack/webpack,webpack,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-05-27 12:42:09.670,2021-05-27 12:41:50.000,7677,285.0,8032.0,58301,13773.0,2021-05-27 12:42:32.000,5.38.0,747.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,8240430.0,6952766.0,757.0,43,https://www.npmjs.com/package/webpack,2021-05-27 12:42:09.670,1287664.0,66880934.0,66880934.0,True,1,,,,,,,,,,
1,Ant Design,ant-design/ant-design,antd,ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-05-27 15:12:52.000,2021-05-27 07:31:02.000,28171,661.0,20521.0,71762,20762.0,2021-05-25 00:14:41.000,4.16.0,594.0,A UI Design Language and React UI library.,245290.0,218088.0,1611.0,41,https://www.npmjs.com/package/antd,2021-05-25 00:13:56.434,27202.0,2926828.0,2926828.0,True,1,['ant-design'],2.0,,,,,,,,
2,Material-UI,mui-org/material-ui,@material-ui/core,ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-05-27 14:51:39.000,2021-05-27 10:00:21.000,21929,488.0,12584.0,68493,12041.0,2021-04-27 15:53:12.000,4.11.4,147.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30088.0,576.0,2429.0,41,https://www.npmjs.com/package/@material-ui/core,2021-05-18 10:44:30.420,29512.0,8561223.0,8561223.0,True,1,['material-ui'],,,,,,,,,
3,Next.js,vercel/next.js,next,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-05-27 18:44:17.000,2021-05-26 19:06:47.000,12660,1031.0,8530.0,67979,8325.0,2021-05-24 19:29:12.000,10.2.3,1159.0,The React Framework.,15635.0,203.0,1670.0,40,https://www.npmjs.com/package/next,2021-05-24 19:28:11.806,15432.0,6034167.0,6034167.0,True,1,,1.0,https://nextjs.org/showcase,,,,,,,
4,Storybook,storybookjs/storybook,@storybook/react,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-05-27 17:53:45.000,2021-05-27 12:41:02.000,6150,1181.0,6460.0,62061,33481.0,2021-04-23 03:46:10.000,6.2.9,827.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",25306.0,10728.0,1504.0,40,https://www.npmjs.com/package/@storybook/react,2021-05-27 12:20:24.706,14578.0,8748040.0,8748040.0,True,2,,,,,,,,,,
5,Gatsby,gatsbyjs/gatsby,gatsby,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-05-27 17:27:59.000,2021-05-27 17:27:58.000,9595,490.0,12361.0,50359,18454.0,2021-05-25 17:00:27.000,gatsby@3.6.0,2179.0,"Build blazing fast, modern apps and websites with React.",364592.0,340232.0,4011.0,40,https://www.npmjs.com/package/gatsby,2021-05-21 08:05:07.498,24360.0,1925536.0,1925536.0,True,1,,,https://www.gatsbyjs.com/showcase/,,,,,,,
6,Bootstrap React,react-bootstrap/react-bootstrap,react-bootstrap,ui-frameworks,https://github.com/react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,MIT,2013-12-27 19:06:07.000,2021-05-27 13:17:03.000,2021-05-27 00:19:49.000,3088,148.0,2898.0,19440,4110.0,2021-05-11 00:15:14.000,1.6.0,166.0,Bootstrap components built with React.,525555.0,466713.0,437.0,39,https://www.npmjs.com/package/react-bootstrap,2021-05-17 05:32:34.911,58842.0,3733726.0,3734339.0,True,2,"['bootstrap""']",,,50299.0,,,,,,
7,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2021-05-27 16:37:23.000,2021-05-27 16:37:20.000,1902,85.0,1429.0,42153,3912.0,2021-04-23 18:29:58.000,2.1.2,163.0,A utility-first CSS framework for rapid UI development.,219570.0,214182.0,184.0,38,https://www.npmjs.com/package/tailwindcss,2021-05-20 17:50:17.700,5388.0,3394564.0,3394564.0,True,1,,,,,,,,,,
8,Semantic UI React,Semantic-Org/Semantic-UI-React,semantic-ui-react,ui-frameworks,https://github.com/Semantic-Org/Semantic-UI-React,https://github.com/Semantic-Org/Semantic-UI-React,MIT,2015-06-19 16:47:19.000,2021-05-16 10:00:34.000,2021-01-25 15:14:50.000,3620,145.0,2257.0,12267,3064.0,2021-01-25 15:14:00.000,2.0.3,148.0,The official Semantic-UI-React integration.,134032.0,117102.0,307.0,37,https://www.npmjs.com/package/semantic-ui-react,2021-01-20 19:57:11.349,16930.0,900510.0,900510.0,True,2,,,https://react.semantic-ui.com/elements/button/,,,,,,,
9,Styled Components,styled-components/styled-components,styled-components,styling,https://github.com/styled-components/styled-components,https://github.com/styled-components/styled-components,MIT,2016-08-16 06:41:32.000,2021-05-27 14:46:16.000,2021-05-12 13:46:41.000,2039,249.0,2126.0,33695,,2021-05-05 02:17:54.000,5.3.0,287.0,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress.,710515.0,656203.0,312.0,36,https://www.npmjs.com/package/styled-components,2021-05-05 02:17:02.605,54312.0,11566703.0,11566703.0,True,3,,,,,,,,,,
