,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,license,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,github_release_downloads,trending,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,lodash,lodash/lodash,utils,lodash,https://github.com/lodash/lodash,https://github.com/lodash/lodash,2012-04-07 04:11:46.000,2021-07-20 05:34:32.000,2021-04-23 17:25:37.000,5837,255.0,3807.0,50124,8005.0,2021-02-20 15:42:16.891,4.17.21,114.0,"A modern JavaScript utility library delivering modularity, performance, & extras.",13408413.0,11425947.0,327,42,https://www.npmjs.com/package/lodash,MIT,2021-02-20 15:42:16.891,1982466.0,172946441.0,172946441.0,True,1,,,,,,,,,,
1,jest,facebook/jest,testing,jest,https://github.com/facebook/jest,https://github.com/facebook/jest,2013-12-10 00:18:04.000,2021-07-22 08:25:36.000,2021-07-13 07:29:32.000,5174,1513.0,4949.0,35793,5521.0,2021-06-28 17:08:31.000,27.0.6,281.0,Delightful JavaScript Testing.,4026158.0,3485500.0,1322,42,https://www.npmjs.com/package/jest,MIT,2021-06-28 17:06:18.626,540658.0,52780061.0,52780061.0,True,1,,,,,,,,,,
2,axios,axios/axios,utils,axios,https://github.com/axios/axios,https://github.com/axios/axios,2014-08-18 22:30:27.000,2021-07-21 14:00:24.000,2021-05-27 05:44:43.000,8321,231.0,2891.0,86005,1005.0,2021-01-04 15:04:38.000,0.21.1,46.0,Promise based HTTP client for the browser and node.js.,5181435.0,4632547.0,279,41,https://www.npmjs.com/package/axios,MIT,2020-12-22 04:20:06.101,548888.0,74673568.0,74673568.0,True,2,,,,,,,,,,
3,Ant Design,ant-design/ant-design,ui-frameworks,antd,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,2015-04-24 15:37:24.000,2021-07-22 16:53:43.000,2021-07-22 15:24:29.000,29194,666.0,20976.0,73294,20921.0,2021-07-19 08:15:52.000,4.16.8,601.0,An enterprise-class UI design language and React UI library.,259472.0,232270.0,1644,41,https://www.npmjs.com/package/antd,MIT,2021-07-19 08:15:24.118,27202.0,3166918.0,3166918.0,True,1,['ant-design'],,,,,,,,,
4,Material-UI,mui-org/material-ui,ui-frameworks,@material-ui/core,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,2014-08-18 19:11:54.000,2021-07-22 15:15:54.000,2021-07-22 11:46:21.000,23035,552.0,12923.0,69841,12106.0,2021-07-19 16:43:49.000,4.12.2,156.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30125.0,613.0,2466,41,https://www.npmjs.com/package/@material-ui/core,MIT,2021-07-14 16:27:07.119,29512.0,8970880.0,8970880.0,True,1,['material-ui'],,,,,,,,,
5,Gatsby,gatsbyjs/gatsby,cms-frameworks,gatsby,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,2015-05-21 22:43:05.000,2021-07-22 16:16:39.000,2021-07-22 14:58:38.000,9720,442.0,12614.0,50879,18757.0,2021-07-21 13:39:15.404,3.10.1,2241.0,"Build blazing fast, modern apps and websites with React.",380723.0,356363.0,4047,41,https://www.npmjs.com/package/gatsby,MIT,2021-07-22 13:02:17.983,24360.0,1720752.0,1720752.0,True,1,,https://www.gatsbyjs.com/showcase/,,,,,,,,
6,Next.js,vercel/next.js,cms-frameworks,next,https://github.com/vercel/next.js,https://github.com/vercel/next.js,2016-10-05 23:32:51.000,2021-07-22 18:13:33.000,2021-07-22 17:49:58.000,13527,1146.0,8966.0,70820,8577.0,2021-06-22 20:05:28.000,11.0.1,1206.0,The React Framework.,15665.0,233.0,1766,40,https://www.npmjs.com/package/next,MIT,2021-07-21 19:05:10.308,15432.0,6751680.0,6751680.0,True,2,,https://nextjs.org/showcase,,,,,,,,
7,Storybook,storybookjs/storybook,dev-tools,@storybook/react,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,2016-03-18 04:23:44.000,2021-07-22 14:01:02.000,2021-07-22 14:00:54.000,6374,1311.0,6605.0,63512,33498.0,2021-07-22 13:58:10.000,6.3.5,882.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",26903.0,12325.0,1548,40,https://www.npmjs.com/package/@storybook/react,MIT,2021-07-22 13:23:53.583,14578.0,8987450.0,8987450.0,True,1,,,,,,,,,,
8,Webpack,webpack/webpack,dev-tools,webpack,https://github.com/webpack/webpack,https://github.com/webpack/webpack,2012-03-10 10:08:14.000,2021-07-22 14:12:09.000,2021-07-22 10:14:33.000,7677,285.0,8175.0,58735,,2021-07-22 10:15:10.000,5.46.0,760.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,8509778.0,7222114.0,767,39,https://www.npmjs.com/package/webpack,MIT,2021-07-22 10:14:50.690,1287664.0,69590427.0,69590427.0,True,1,,,,,,,,,,
9,cypress,cypress-io/cypress,testing,cypress,https://github.com/cypress-io/cypress,https://github.com/cypress-io/cypress,2015-03-04 00:46:28.000,2021-07-22 18:17:13.000,2021-07-22 17:04:24.000,1884,1542.0,6832.0,32256,15720.0,2021-07-20 00:31:33.000,8.0.0,139.0,"Fast, easy and reliable testing for anything that runs in a browser.",246581.0,238575.0,291,39,https://www.npmjs.com/package/cypress,MIT,2021-07-20 00:26:37.831,8006.0,10430468.0,10430468.0,True,2,,,,,,,,,,
