,name,github_id,npm_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,demo_url,github_release_downloads,trending,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Material-UI,mui-org/material-ui,@material-ui/core,['material-ui'],ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-12-09 14:27:21.000,2021-12-09 14:27:20.000,25135,841.0,13765.0,73521,18652.0,2021-12-06 16:15:04.000,5.2.3,161.0,"MUI (formerly Material-UI) is the React UI library you always wanted. Follow your own design system, or start with..",795190.0,765678.0,2625,43,https://www.npmjs.com/package/@material-ui/core,2021-08-25 07:29:18.576,29512.0,9314603.0,9314603.0,True,1,,,,,,,,,
1,axios,axios/axios,axios,,utils,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27.000,2021-12-07 08:52:33.000,2021-11-16 15:06:21.000,8924,305.0,3159.0,89690,1051.0,2021-10-25 17:51:25.987,0.24.0,52.0,Promise based HTTP client for the browser and node.js.,5912615.0,5363727.0,303,42,https://www.npmjs.com/package/axios,2021-10-25 17:51:25.987,548888.0,94663357.0,94663357.0,True,1,,,,,,,,,
2,Ant Design,ant-design/ant-design,antd,['ant-design'],ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-12-09 13:46:31.000,2021-12-09 02:44:32.000,31514,749.0,21903.0,76238,21328.0,2021-12-08 11:37:57.000,4.17.3,623.0,An enterprise-class UI design language and React UI library.,296701.0,269499.0,1729,41,https://www.npmjs.com/package/antd,2021-12-08 11:36:49.877,27202.0,3138755.0,3138755.0,True,1,,,,,,,,,
3,lodash,lodash/lodash,lodash,,utils,https://github.com/lodash/lodash,https://github.com/lodash/lodash,MIT,2012-04-07 04:11:46.000,2021-12-09 12:06:31.000,2021-04-23 17:25:37.000,6112,314.0,3733.0,51547,8005.0,2021-02-20 15:42:16.891,4.17.21,114.0,"A modern JavaScript utility library delivering modularity, performance, & extras.",14944416.0,12961950.0,327,41,https://www.npmjs.com/package/lodash,2021-02-20 15:42:16.891,1982466.0,177752902.0,177752902.0,True,2,,,,,,,,,
4,Next.js,vercel/next.js,next,,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-12-09 15:12:23.000,2021-12-09 13:45:22.000,15556,1405.0,10216.0,77952,8577.0,2021-12-05 01:08:57.000,12.0.7,1370.0,The React Framework.,15771.0,339.0,1961,40,https://www.npmjs.com/package/next,2021-12-09 00:56:26.894,15432.0,8848180.0,8848180.0,True,1,https://nextjs.org/showcase,,,,,,,,
5,Storybook,storybookjs/storybook,@storybook/react,,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-12-09 15:09:27.000,2021-12-09 06:39:05.000,6863,1589.0,6954.0,67115,33500.0,2021-12-09 02:24:30.000,6.4.9,960.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",29908.0,15330.0,1649,40,https://www.npmjs.com/package/@storybook/react,2021-12-09 06:34:58.613,14578.0,10810902.0,10810902.0,True,1,,,,,,,,,
6,Webpack,webpack/webpack,webpack,,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-12-09 03:03:07.000,2021-12-06 17:43:53.000,8085,276.0,8535.0,59944,,2021-12-06 13:57:50.000,5.65.0,792.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,9453180.0,8165516.0,788,40,https://www.npmjs.com/package/webpack,2021-12-06 13:57:39.615,1287664.0,81440461.0,81440461.0,True,1,,,,,,,,,
7,Gatsby,gatsbyjs/gatsby,gatsby,,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-12-09 15:11:41.000,2021-12-09 13:04:40.000,9981,382.0,12958.0,51881,19582.0,2021-12-01 21:00:44.000,gatsby@4.3.0,2388.0,"Build blazing fast, modern apps and websites with React.",414299.0,389939.0,4138,40,https://www.npmjs.com/package/gatsby,2021-12-09 13:21:18.362,24360.0,1583338.0,1583338.0,True,1,https://www.gatsbyjs.com/showcase/,,,,,,,,
8,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2021-12-09 09:14:35.000,2021-12-09 07:54:35.000,2351,64.0,1815.0,49861,4329.0,2021-10-29 16:24:34.000,2.2.19,387.0,A utility-first CSS framework for rapid UI development.,390884.0,385496.0,203,39,https://www.npmjs.com/package/tailwindcss,2021-11-08 17:02:33.787,5388.0,5203029.0,5203029.0,True,1,,,,,,,,,
9,jest,facebook/jest,jest,,testing,https://github.com/facebook/jest,https://github.com/facebook/jest,MIT,2013-12-10 00:18:04.000,2021-12-09 10:37:46.000,2021-12-09 10:37:46.000,5477,1655.0,5084.0,37308,,2021-12-01 14:01:19.000,27.4.3,289.0,Delightful JavaScript Testing.,4654175.0,4113517.0,1377,39,https://www.npmjs.com/package/jest,2021-12-01 14:00:38.290,540658.0,62833472.0,62833472.0,True,1,,,,,,,,,
