,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,github_release_downloads,trending,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
10,Slate,ianstormtaylor/slate,slate,editors,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,MIT,2016-06-18 01:52:42.000,2021-02-23 07:37:35.000,2021-02-18 19:32:32.000,2184,450.0,2125.0,19893,3206.0,2021-02-17 03:49:45.728,0.60.4,415.0,A completely customizable framework for building rich text editors. (Currently in beta.).,61485.0,54487.0,363.0,36,https://www.npmjs.com/package/slate,2021-02-19 23:14:17.550,6998.0,908435.0,908435.0,True,1,,https://www.slatejs.org/examples/richtext,,,,,,,
11,Recharts,recharts/recharts,recharts,data-viz,https://github.com/recharts/recharts,https://github.com/recharts/recharts,MIT,2015-08-07 06:50:27.000,2021-02-25 17:17:24.000,2021-02-24 08:22:00.000,1209,141.0,1941.0,15864,1827.0,2021-02-18 09:52:07.018,2.0.7,176.0,Redefined chart library built with React and D3.,49570.0,42566.0,206.0,36,https://www.npmjs.com/package/recharts,2021-02-18 09:52:07.018,7004.0,2405375.0,2405375.0,True,1,,http://recharts.org/en-US/examples,,,,,,,
12,Electron,electron/electron,electron,desktop-apps,https://github.com/electron/electron,https://github.com/electron/electron,MIT,2013-04-12 01:47:36.000,2021-02-24 21:57:42.000,,12038,1607.0,,90404,,2021-02-20 00:00:31.230,11.3.0,480.0,"Build cross-platform desktop apps with JavaScript, HTML, and CSS.",46992.0,,647.0,35,https://www.npmjs.com/package/electron,2021-02-23 21:18:42.819,46992.0,1948217.0,1948217.0,True,1,,,,,,,,,
13,lerna,lerna/lerna,lerna,dev-tools,https://github.com/lerna/lerna,https://github.com/lerna/lerna,MIT,2015-12-04 09:36:55.000,2021-02-25 16:05:32.000,2021-02-10 23:24:50.000,1695,552.0,1446.0,26890,,2021-02-10 22:42:55.000,4.0.0,184.0,A tool for managing JavaScript projects with multiple packages.,99239.0,71077.0,271.0,35,https://www.npmjs.com/package/lerna,2021-02-10 22:42:31.218,28162.0,4927121.0,4927121.0,True,2,,,,,,,,,
14,Draft JS,facebook/draft-js,draft-js,editors,https://github.com/facebook/draft-js,https://github.com/facebook/draft-js,MIT,2016-02-19 20:18:26.000,2021-02-22 13:33:40.000,2021-02-18 19:09:40.000,2299,800.0,940.0,19833,1089.0,2020-08-17 16:40:16.000,0.11.7,32.0,A React framework for building text editors.,102239.0,83821.0,304.0,35,https://www.npmjs.com/package/draft-js,2020-08-17 16:36:23.849,18418.0,2700386.0,2700386.0,True,2,,,,,,,,,
15,React Admin,marmelab/react-admin,react-admin,admin-dashboards,https://github.com/marmelab/react-admin,https://github.com/marmelab/react-admin,MIT,2016-07-13 07:58:54.000,2021-02-25 17:28:45.000,2021-02-25 17:02:22.000,3487,140.0,2847.0,16105,9636.0,2021-02-23 08:06:32.000,3.12.5,152.0,"A frontend Framework for building B2B applications running in the browser on top of REST/GraphQL APIs, using ES6,..",5794.0,5298.0,444.0,35,https://www.npmjs.com/package/react-admin,2021-02-16 18:07:40.759,496.0,155457.0,155457.0,True,1,['material-ui'],https://marmelab.com/react-admin-demo/,,,,,,,
16,SheetJS,SheetJS/sheetjs,xlsx,file-handling,https://github.com/SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,Apache-2.0,2012-12-03 19:25:52.000,2021-01-28 03:18:36.000,2020-12-15 09:24:35.000,6362,440.0,1508.0,24688,493.0,2020-11-20 07:22:22.859,0.16.9,159.0,SheetJS Community Edition -- Spreadsheet Data Toolkit.,10509.0,1751.0,125.0,34,https://www.npmjs.com/package/xlsx,2020-11-20 07:22:22.859,8758.0,4278769.0,4278769.0,True,1,,,,,,,,,
17,React Dropzone,react-dropzone/react-dropzone,react-dropzone,file-handling,https://github.com/react-dropzone/react-dropzone,https://github.com/react-dropzone/react-dropzone,MIT,2014-09-27 11:57:09.000,2021-02-08 06:36:21.000,2021-02-08 06:34:31.000,674,12.0,626.0,7936,546.0,2021-02-08 06:36:35.000,11.3.1,143.0,Simple HTML5 drag-drop zone with React.js.,71875.0,61559.0,158.0,34,https://www.npmjs.com/package/react-dropzone,2021-02-03 01:26:02.791,10316.0,5339500.0,5339500.0,True,1,,https://react-dropzone.js.org/#section-basic-example,,,,,,,
18,emotion,emotion-js/emotion,@emotion/react,styling,https://github.com/emotion-js/emotion,https://github.com/emotion-js/emotion,MIT,2017-05-27 04:23:45.000,2021-02-25 15:31:03.000,2021-02-22 20:02:24.000,789,77.0,1143.0,12556,1593.0,2021-02-09 22:46:41.000,babel-plugin-emotion@10.2.2,100.0,CSS-in-JS library designed for high performance style composition.,5554.0,5554.0,251.0,33,https://www.npmjs.com/package/@emotion/react,2020-12-22 07:48:03.779,0.0,1720786.0,1720786.0,True,3,,,,,,,,,
19,ag-Grid,ag-grid/ag-grid,ag-grid-community,data-tables,https://github.com/ag-grid/ag-grid,https://github.com/ag-grid/ag-grid,MIT,2014-12-23 16:20:14.000,2021-02-25 17:43:48.000,2021-02-25 17:39:31.000,1246,21.0,3871.0,6949,21397.0,2021-01-15 08:29:09.000,25.0.1,100.0,Advanced Data Grid / Data Table supporting Javascript / React / AngularJS / Web Components.,1379.0,733.0,113.0,33,https://www.npmjs.com/package/ag-grid-community,2021-01-15 08:21:29.989,646.0,902874.0,902874.0,True,1,,,,,,,,,
