,name,github_id,npm_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,demo_url,trending,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Material-UI,mui-org/material-ui,@material-ui/core,['material-ui'],ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-12-30 15:03:08.000,2021-12-30 10:05:08.000,25392,843.0,13954.0,73976,18758.0,2021-12-27 14:28:01.000,5.2.6,161.0,"MUI (formerly Material-UI) is the React UI library you always wanted. Follow your own design system, or start with..",808412.0,778900.0,2645,43,https://www.npmjs.com/package/@material-ui/core,2021-08-25 07:29:18.576,29512.0,8260974.0,8260974.0,True,1,,,,,,,,,
1,axios,axios/axios,axios,,utils,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27.000,2021-12-30 08:23:03.000,2021-12-29 05:30:54.000,9028,315.0,3187.0,90167,1069.0,2021-10-25 17:51:25.987,0.24.0,52.0,Promise based HTTP client for the browser and node.js.,6024022.0,5475134.0,319,42,https://www.npmjs.com/package/axios,2021-10-25 17:51:25.987,548888.0,87078560.0,87078560.0,True,1,,,,,,,,,
2,Next.js,vercel/next.js,next,,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-12-30 09:52:44.000,2021-12-29 18:15:23.000,15841,1255.0,10489.0,78851,8577.0,2021-12-05 01:08:57.000,12.0.7,1410.0,The React Framework.,31902.0,16470.0,1991,41,https://www.npmjs.com/package/next,2021-12-22 19:51:55.496,15432.0,8285263.0,8285263.0,True,1,https://nextjs.org/showcase,,,,,,,,
3,Ant Design,ant-design/ant-design,antd,['ant-design'],ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-12-30 12:13:21.000,2021-12-30 07:20:15.000,31873,784.0,22030.0,76710,21424.0,2021-12-30 07:52:20.000,4.18.2,627.0,An enterprise-class UI design language and React UI library.,302218.0,275016.0,1746,41,https://www.npmjs.com/package/antd,2021-12-30 07:47:56.816,27202.0,2975218.0,2975218.0,True,1,,,,,,,,,
4,lodash,lodash/lodash,lodash,,utils,https://github.com/lodash/lodash,https://github.com/lodash/lodash,MIT,2012-04-07 04:11:46.000,2021-12-29 22:09:55.000,2021-04-23 17:25:37.000,6191,327.0,3733.0,51763,8005.0,2021-02-20 15:42:16.891,4.17.21,114.0,"A modern JavaScript utility library delivering modularity, performance, & extras.",15226159.0,13243693.0,327,41,https://www.npmjs.com/package/lodash,2021-02-20 15:42:16.891,1982466.0,173091160.0,173091160.0,True,2,,-1.0,,,,,,,
5,Storybook,storybookjs/storybook,@storybook/react,,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-12-30 13:58:51.000,2021-12-27 20:30:53.000,6907,1639.0,6975.0,67731,33500.0,2021-12-09 02:24:30.000,6.4.9,962.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",30279.0,15701.0,1656,40,https://www.npmjs.com/package/@storybook/react,2021-12-23 08:59:42.584,14578.0,9612461.0,9612461.0,True,1,,,,,,,,,
6,Webpack,webpack/webpack,webpack,,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-12-29 12:41:40.000,2021-12-17 22:43:51.000,8085,276.0,8567.0,60128,,2021-12-06 13:57:50.000,5.65.0,795.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,9662244.0,8374580.0,788,40,https://www.npmjs.com/package/webpack,2021-12-06 13:57:39.615,1287664.0,74271476.0,74271476.0,True,1,,,,,,,,,
7,Gatsby,gatsbyjs/gatsby,gatsby,,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-12-30 10:36:49.000,2021-12-30 10:36:48.000,10046,364.0,12982.0,51988,19619.0,2021-12-15 07:19:23.000,gatsby@4.4.0,2392.0,"Build blazing fast, modern apps and websites with React.",418898.0,394538.0,4140,40,https://www.npmjs.com/package/gatsby,2021-12-22 15:39:30.541,24360.0,1441945.0,1441945.0,True,2,https://www.gatsbyjs.com/showcase/,,,,,,,,
8,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2021-12-29 22:51:31.000,2021-12-29 22:51:30.000,2432,64.0,1927.0,51535,4401.0,2021-12-28 21:18:26.541,3.0.8,444.0,A utility-first CSS framework for rapid UI development.,460855.0,455467.0,207,39,https://www.npmjs.com/package/tailwindcss,2021-12-28 21:18:26.541,5388.0,5866974.0,5867191.0,True,1,,,3693.0,,,,,,
9,jest,facebook/jest,jest,,testing,https://github.com/facebook/jest,https://github.com/facebook/jest,MIT,2013-12-10 00:18:04.000,2021-12-30 15:13:36.000,2021-12-30 09:35:18.000,5502,1670.0,5101.0,37484,,2021-12-13 19:38:44.000,27.4.5,289.0,Delightful JavaScript Testing.,4804464.0,4263806.0,1381,39,https://www.npmjs.com/package/jest,2021-12-01 14:00:38.290,540658.0,56390450.0,56390450.0,True,1,,,,,,,,,
10,cypress,cypress-io/cypress,cypress,,testing,https://github.com/cypress-io/cypress,https://github.com/cypress-io/cypress,MIT,2015-03-04 00:46:28.000,2021-12-30 04:15:41.000,2021-12-22 20:08:18.000,2108,1967.0,7266.0,35312,16155.0,2021-12-21 16:41:21.000,9.2.0,150.0,"Fast, easy and reliable testing for anything that runs in a browser.",338004.0,329998.0,326,39,https://www.npmjs.com/package/cypress,2021-12-21 16:13:41.383,8006.0,12097892.0,12097892.0,True,1,,,,,,,,,
