,name,github_id,npm_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,demo_url,github_release_downloads,trending,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
81,theme-ui,system-ui/theme-ui,theme-ui,,ui-frameworks,https://github.com/system-ui/theme-ui,https://github.com/system-ui/theme-ui,MIT,2019-04-03 22:10:49.000,2022-01-05 10:05:23.000,2022-01-04 21:45:37.000,545,73.0,526.0,4192,,2022-01-05 10:05:26.000,0.13.1,356.0,"Build consistent, themeable React apps based on constraint-based design principles.",19147.0,18485.0,137,29,https://www.npmjs.com/package/theme-ui,2021-05-19 08:13:11.218,662.0,375272.0,375272.0,True,3,,,,,,,,,
82,react-rte,sstur/react-rte,react-rte,,editors,https://github.com/sstur/react-rte,https://github.com/sstur/react-rte,ISC,2016-02-25 02:36:56.000,2022-01-05 17:00:36.000,2021-11-30 15:51:07.000,423,180.0,149.0,2683,316.0,2021-12-01 15:05:41.000,0.16.4,39.0,Pure React rich text WYSIWYG editor based on draft-js.,3003.0,2529.0,46,29,https://www.npmjs.com/package/react-rte,2016-02-24 23:30:39.985,474.0,105426.0,105426.0,True,2,,,,,,,,,
83,react-copy-to-clipboard,nkbt/react-copy-to-clipboard,react-copy-to-clipboard,,other-components,https://github.com/nkbt/react-copy-to-clipboard,https://github.com/nkbt/react-copy-to-clipboard,MIT,2015-07-04 09:10:02.000,2021-08-17 15:55:10.000,2021-08-17 15:55:09.000,113,18.0,68.0,1901,515.0,2021-08-17 13:21:12.109,5.0.4,28.0,Copy-to-clipboard React component.,65330.0,59414.0,18,29,https://www.npmjs.com/package/react-copy-to-clipboard,2021-08-17 13:21:12.109,5916.0,2719601.0,2719601.0,True,2,,,,,,,,,
84,react-avatar-editor,mosch/react-avatar-editor,react-avatar-editor,,other-components,https://github.com/mosch/react-avatar-editor,https://github.com/mosch/react-avatar-editor,MIT,2014-12-12 01:22:23.000,2021-12-07 13:01:05.000,2021-09-03 07:54:44.000,331,5.0,209.0,1853,529.0,2021-07-23 09:01:09.370,12.0.0,67.0,Small avatar & profile picture component. Resize and crop uploaded images using a intuitive user interface.,4883.0,4469.0,62,29,https://www.npmjs.com/package/react-avatar-editor,2021-07-23 09:01:09.370,414.0,317464.0,317464.0,True,2,,,,,,,,,
85,Monaco React,suren-atoyan/monaco-react,@monaco-editor/react,,editors,https://github.com/suren-atoyan/monaco-react,https://github.com/suren-atoyan/monaco-react,MIT,2019-06-16 07:46:31.000,2021-12-26 15:50:23.000,2021-11-24 09:16:14.000,127,42.0,199.0,1457,382.0,2021-10-03 14:26:32.000,4.3.1,88.0,Monaco Editor for React - use the monaco-editor in any React application without needing to use webpack (or..,3838.0,3816.0,31,29,https://www.npmjs.com/package/@monaco-editor/react,2021-10-03 14:25:47.775,22.0,403230.0,403230.0,True,2,https://monaco-react.surenatoyan.com/,,1.0,,,,,,
86,Ant Design Pro,ant-design/ant-design-pro,,['ant-design'],admin-dashboards,https://github.com/ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,MIT,2017-08-25 10:40:44.000,2022-01-03 06:03:18.000,2022-01-03 05:56:19.000,7127,151.0,7887.0,31056,2361.0,2021-12-22 08:23:22.000,5.2.0,25.0,Use Ant Design like a Pro!.,2342.0,2342.0,295,28,,,,,,True,2,https://preview.pro.ant.design/,,,,,,,,
87,React Suite,rsuite/rsuite,rsuite,,ui-frameworks,https://github.com/rsuite/rsuite,https://github.com/rsuite/rsuite,MIT,2016-06-06 02:27:46.000,2022-01-06 10:39:08.000,2022-01-06 10:18:43.000,704,116.0,601.0,6400,,2022-01-06 10:51:18.000,5.4.4,250.0,A suite of React components .,5250.0,5118.0,66,28,https://www.npmjs.com/package/rsuite,2022-01-06 10:17:04.865,132.0,150466.0,150466.0,True,3,https://rsuitejs.com/components/overview/,,,,,,,,
88,carbon,carbon-design-system/carbon,carbon-components-react,,ui-frameworks,https://github.com/carbon-design-system/carbon,https://github.com/carbon-design-system/carbon,Apache-2.0,2017-03-13 14:23:59.000,2022-01-06 15:21:55.000,2022-01-05 22:37:53.000,1196,521.0,4812.0,5050,,2021-12-10 17:25:18.000,10.50.0,958.0,A design system built by IBM.,360.0,40.0,361,28,https://www.npmjs.com/package/carbon-components-react,2021-12-10 17:24:55.772,320.0,142885.0,142947.0,True,3,,1179.0,,,,,,,
89,react-data-grid,adazzle/react-data-grid,react-data-grid,,data-tables,https://github.com/adazzle/react-data-grid,https://github.com/adazzle/react-data-grid,MIT,2015-03-06 10:15:04.000,2022-01-06 12:16:52.000,2021-12-09 14:29:05.000,1892,70.0,1228.0,5041,,2019-04-03 17:25:26.810,6.1.0,1006.0,Feature-rich and customizable data grid React component.,5882.0,5000.0,125,28,https://www.npmjs.com/package/react-data-grid,2021-05-26 14:56:53.386,882.0,238638.0,238638.0,True,3,,,,,,,,,
90,Reactive Search,appbaseio/reactivesearch,@appbaseio/reactivesearch,,other-components,https://github.com/appbaseio/reactivesearch,https://github.com/appbaseio/reactivesearch,Apache-2.0,2017-02-15 15:21:24.000,2022-01-06 12:00:37.000,2022-01-06 12:00:30.000,457,171.0,887.0,4538,2378.0,2021-12-31 13:44:59.000,3.27.0,294.0,Search UI components for React and Vue: powered by appbase.io / Elasticsearch.,306.0,122.0,64,28,https://www.npmjs.com/package/@appbaseio/reactivesearch,2021-12-31 13:26:43.532,184.0,17569.0,17569.0,True,2,https://opensource.appbase.io/reactivesearch/#examples,,,,,,,,
91,polaris-react,Shopify/polaris-react,@shopify/polaris,,ui-frameworks,https://github.com/Shopify/polaris-react,https://github.com/Shopify/polaris-react,MIT,2017-04-20 18:26:34.000,2022-01-06 13:14:59.000,2022-01-05 17:15:51.000,868,380.0,1752.0,4441,,2021-12-16 16:37:58.000,7.5.0,413.0,Shopifys admin product component library.,3798.0,3540.0,300,28,https://www.npmjs.com/package/@shopify/polaris,2021-12-17 20:10:35.439,258.0,236796.0,237323.0,True,3,,18447.0,,,,,,,
92,Perspective,finos/perspective,@finos/perspective,,data-tables,https://github.com/finos/perspective,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000,2022-01-06 01:42:23.000,2022-01-05 23:50:41.000,428,70.0,419.0,4019,4987.0,2022-01-06 01:42:23.000,1.1.0,60.0,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",233.0,219.0,65,28,https://www.npmjs.com/package/@finos/perspective,2022-01-05 23:51:03.528,6.0,8112.0,11453.0,True,3,https://perspective.finos.org/,,,,perspective-python,https://pypi.org/project/perspective-python,2022-01-06 01:42:23.000,8.0,3341.0
93,fullcalendar-react,fullcalendar/fullcalendar-react,@fullcalendar/react,,other-components,https://github.com/fullcalendar/fullcalendar-react,https://github.com/fullcalendar/fullcalendar-react,MIT,2018-12-03 21:32:44.000,2021-11-03 04:11:23.000,2021-11-03 03:48:13.000,63,23.0,130.0,1107,184.0,2021-11-03 04:09:30.051,5.10.1,26.0,An official React component for FullCalendar.,7777.0,7657.0,3,28,https://www.npmjs.com/package/@fullcalendar/react,2021-11-03 04:09:30.051,120.0,358621.0,358621.0,True,2,,,,,,,,,
94,ant-design-charts,ant-design/ant-design-charts,@ant-design/charts,['ant-design'],data-viz,https://github.com/ant-design/ant-design-charts,https://github.com/ant-design/ant-design-charts,MIT,2020-03-09 09:08:31.000,2021-12-31 07:36:28.000,2021-12-29 09:34:21.000,259,146.0,580.0,960,738.0,2021-12-24 09:19:16.000,1.3.3,97.0,A React Chart Library.,2345.0,2345.0,34,28,https://www.npmjs.com/package/@ant-design/charts,2021-12-24 05:39:26.482,0.0,119953.0,119953.0,True,2,,,,,,,,,
95,React ApexCharts,apexcharts/react-apexcharts,react-apexcharts,,data-viz,https://github.com/apexcharts/react-apexcharts,https://github.com/apexcharts/react-apexcharts,MIT,2018-08-20 13:36:46.000,2022-01-06 08:11:46.000,2021-11-18 20:14:17.000,85,137.0,145.0,863,179.0,2021-04-12 12:08:42.212,1.3.9,24.0,React Component for ApexCharts.,22393.0,22105.0,20,28,https://www.npmjs.com/package/react-apexcharts,2021-04-12 12:08:42.212,288.0,455137.0,455137.0,True,2,https://apexcharts.com/react-chart-demos/,,,,,,,,
96,material-ui-dropzone,Yuvaleros/material-ui-dropzone,material-ui-dropzone,['material-ui'],file-handling,https://github.com/Yuvaleros/material-ui-dropzone,https://github.com/Yuvaleros/material-ui-dropzone,MIT,2017-10-16 11:50:16.000,2021-12-16 21:55:16.000,2020-10-01 14:00:45.000,201,97.0,128.0,415,427.0,2020-09-20 20:21:49.283,3.5.0,32.0,A Material-UI file upload dropzone.,4219.0,4107.0,48,28,https://www.npmjs.com/package/material-ui-dropzone,2020-09-20 20:21:49.283,112.0,179123.0,179123.0,False,3,https://yuvaleros.github.io/material-ui-dropzone/,,,,,,,,
97,Bit,teambit/bit,bit-bin,,dev-tools,https://github.com/teambit/bit,https://github.com/teambit/bit,Apache-2.0,2017-01-22 14:51:43.000,2022-01-06 15:06:45.000,2022-01-06 13:15:05.000,794,215.0,1215.0,14516,9104.0,2020-07-13 09:59:04.000,14.8.8,757.0,"Build, distribute, and collaborate on components.",19.0,9.0,63,27,https://www.npmjs.com/package/bit-bin,2021-07-05 14:30:42.755,10.0,11011.0,11120.0,True,3,,5999.0,,,,,,,
98,muuri,haltu/muuri,muuri,,other-components,https://github.com/haltu/muuri,https://github.com/haltu/muuri,MIT,2015-12-21 07:00:44.000,2021-12-11 05:10:49.000,2021-07-09 19:05:04.000,597,80.0,400.0,9808,516.0,2021-07-09 19:14:08.022,0.9.5,22.0,"Infinite responsive, sortable, filterable and draggable layouts.",862.0,818.0,14,27,https://www.npmjs.com/package/muuri,2021-07-09 19:14:08.022,44.0,53873.0,53873.0,True,3,,,-2.0,,,,,,
99,ReactPage,react-page/react-page,@react-page/editor,,editors,https://github.com/react-page/react-page,https://github.com/react-page/react-page,MIT,2015-05-29 12:19:44.000,2021-12-30 14:18:08.786,2021-12-30 14:09:49.000,583,8.0,647.0,8718,1210.0,2021-12-30 14:18:26.000,4.4.1,271.0,"Next-gen, highly customizable content editor for the browser - based on React and written in TypeScript. WYSIWYG on..",83.0,83.0,52,27,https://www.npmjs.com/package/@react-page/editor,2021-12-30 14:18:08.786,0.0,4710.0,4710.0,True,3,,,,,,,,,
100,react-vis,uber/react-vis,react-vis,,data-viz,https://github.com/uber/react-vis,https://github.com/uber/react-vis,MIT,2016-02-22 20:45:50.000,2021-09-03 11:19:49.000,2020-07-13 14:33:01.000,820,327.0,507.0,8103,876.0,2019-04-19 03:58:15.000,1.11.7,99.0,Data Visualization Components.,1048.0,,122,27,https://www.npmjs.com/package/react-vis,2017-04-22 00:52:57.632,1048.0,291404.0,291404.0,False,3,http://uber.github.io/react-vis/examples/showcases/,,,,,,,,
101,react-diagrams,projectstorm/react-diagrams,@projectstorm/react-diagrams,,data-viz,https://github.com/projectstorm/react-diagrams,https://github.com/projectstorm/react-diagrams,MIT,2016-06-03 09:10:01.000,2022-01-05 16:30:56.000,2021-11-12 17:17:34.000,953,252.0,470.0,6632,842.0,2021-08-10 00:10:06.057,6.6.1,29.0,"a super simple, no-nonsense diagramming library written in react that just works.",218.0,204.0,82,27,https://www.npmjs.com/package/@projectstorm/react-diagrams,2021-08-10 00:10:06.057,14.0,33805.0,33805.0,True,3,,,,,,,,,
102,React-Move,sghall/react-move,react-move,,animations,https://github.com/sghall/react-move,https://github.com/sghall/react-move,MIT,2017-03-20 15:38:13.000,2021-09-20 20:55:33.000,2021-06-13 06:33:28.000,204,2.0,39.0,6399,524.0,2021-06-13 05:41:59.344,6.5.0,60.0,"React Move | Beautiful, data-driven animations for React.",4980.0,4334.0,13,27,https://www.npmjs.com/package/react-move,2021-06-13 05:41:59.344,646.0,349425.0,349425.0,True,1,https://react-move-docs.netlify.app/#/demos/node-group,,,,,,,,
103,React Hot Toast,timolins/react-hot-toast,react-hot-toast,,notifications,https://github.com/timolins/react-hot-toast,https://github.com/timolins/react-hot-toast,MIT,2020-12-07 22:05:40.000,2022-01-04 14:35:50.000,2022-01-04 14:35:08.000,133,38.0,59.0,4362,,2022-01-04 14:37:11.000,2.2.0,13.0,Smoking hot React Notifications.,7648.0,7648.0,19,27,https://www.npmjs.com/package/react-hot-toast,2022-01-04 14:35:47.019,0.0,444572.0,444572.0,True,3,https://react-hot-toast.com/,,,,,,,,
104,react-sortable-tree,frontend-collective/react-sortable-tree,react-sortable-tree,,other-components,https://github.com/frontend-collective/react-sortable-tree,https://github.com/frontend-collective/react-sortable-tree,MIT,2016-07-22 08:36:25.000,2021-08-03 20:06:48.000,2021-06-11 13:41:37.000,809,321.0,297.0,4357,553.0,2020-08-10 08:00:07.000,2.8.0,65.0,Drag-and-drop sortable component for nested data and hierarchies.,3467.0,3119.0,38,27,https://www.npmjs.com/package/react-sortable-tree,2020-08-10 07:56:50.631,348.0,299599.0,299599.0,True,3,https://frontend-collective.github.io/react-sortable-tree/?path=/story/basics--minimal-implementation,,,,,,,,
