,name,github_id,npm_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,trending,demo_url,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Ant Design,ant-design/ant-design,antd,['ant-design'],ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-08-26 17:18:25.000,2021-08-26 12:37:42.000,29832,697.0,21215.0,74012,21000.0,2021-08-23 08:12:48.000,4.16.13,606.0,An enterprise-class UI design language and React UI library.,268123.0,240921.0,1666,42,https://www.npmjs.com/package/antd,2021-08-23 08:11:57.992,27202.0,3271203.0,3271203.0,True,1,1.0,,,,,,,,
1,jest,facebook/jest,jest,,testing,https://github.com/facebook/jest,https://github.com/facebook/jest,MIT,2013-12-10 00:18:04.000,2021-08-26 15:23:05.000,2021-08-24 11:25:29.000,5174,1513.0,4978.0,36196,5538.0,2021-06-28 17:08:31.000,27.0.6,281.0,Delightful JavaScript Testing.,4132728.0,3592070.0,1331,42,https://www.npmjs.com/package/jest,2021-06-28 17:06:18.626,540658.0,53095608.0,53095608.0,True,1,,,,,,,,,
2,axios,axios/axios,axios,,utils,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27.000,2021-08-26 17:45:15.000,2021-08-13 13:00:27.000,8539,273.0,2923.0,87330,1012.0,2021-01-04 15:04:38.000,0.21.1,46.0,Promise based HTTP client for the browser and node.js.,5349023.0,4800135.0,284,41,https://www.npmjs.com/package/axios,2020-12-22 04:20:06.101,548888.0,76941928.0,76941928.0,True,1,,,,,,,,,
3,Material-UI,mui-org/material-ui,@material-ui/core,['material-ui'],ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-08-26 16:49:18.000,2021-08-26 13:34:58.000,23589,552.0,13120.0,70590,12119.0,2021-07-30 10:07:38.000,4.12.3,161.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30160.0,648.0,2506,41,https://www.npmjs.com/package/@material-ui/core,2021-08-25 07:29:18.576,29512.0,9334324.0,9334324.0,True,1,,,,,,,,,
4,lodash,lodash/lodash,lodash,,utils,https://github.com/lodash/lodash,https://github.com/lodash/lodash,MIT,2012-04-07 04:11:46.000,2021-08-26 09:26:20.000,2021-04-23 17:25:37.000,5837,255.0,3811.0,50508,8005.0,2021-02-20 15:42:16.891,4.17.21,114.0,"A modern JavaScript utility library delivering modularity, performance, & extras.",13722989.0,11740523.0,327,41,https://www.npmjs.com/package/lodash,2021-02-20 15:42:16.891,1982466.0,172433878.0,172433878.0,True,1,-1.0,,,,,,,,
5,Next.js,vercel/next.js,next,,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-08-26 16:25:37.000,2021-08-26 16:18:22.000,14000,1186.0,9220.0,72442,8577.0,2021-08-11 16:01:43.160,11.1.0,1232.0,The React Framework.,15695.0,263.0,1816,40,https://www.npmjs.com/package/next,2021-08-25 17:03:36.864,15432.0,7233084.0,7233084.0,True,1,,https://nextjs.org/showcase,,,,,,,
6,Storybook,storybookjs/storybook,@storybook/react,,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-08-26 12:16:09.000,2021-08-26 09:26:35.000,6374,1311.0,6670.0,64288,33498.0,2021-08-09 17:42:22.000,6.3.7,895.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",27668.0,13090.0,1574,40,https://www.npmjs.com/package/@storybook/react,2021-08-24 01:01:19.177,14578.0,9199145.0,9199145.0,True,1,,,,,,,,,
7,Gatsby,gatsbyjs/gatsby,gatsby,,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-08-26 18:16:04.000,2021-08-26 18:16:03.000,9720,442.0,12712.0,51156,18958.0,2021-08-18 09:22:34.000,gatsby@3.12.0,2278.0,"Build blazing fast, modern apps and websites with React.",389596.0,365236.0,4078,40,https://www.npmjs.com/package/gatsby,2021-08-18 12:46:45.226,24360.0,1577765.0,1577765.0,True,1,-1.0,https://www.gatsbyjs.com/showcase/,,,,,,,
8,Webpack,webpack/webpack,webpack,,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-08-26 14:12:41.000,2021-08-26 14:12:41.000,7954,300.0,8265.0,59109,,2021-08-19 14:16:41.000,5.51.1,767.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,8675797.0,7388133.0,772,39,https://www.npmjs.com/package/webpack,2021-08-19 14:16:21.534,1287664.0,70564890.0,70564890.0,True,1,,,,,,,,,
9,cypress,cypress-io/cypress,cypress,,testing,https://github.com/cypress-io/cypress,https://github.com/cypress-io/cypress,MIT,2015-03-04 00:46:28.000,2021-08-26 17:24:23.000,2021-08-26 15:57:26.000,1917,1605.0,6948.0,32829,15802.0,2021-08-16 18:41:16.000,8.3.0,142.0,"Fast, easy and reliable testing for anything that runs in a browser.",267103.0,259097.0,294,39,https://www.npmjs.com/package/cypress,2021-08-16 18:28:44.564,8006.0,10850848.0,10850848.0,True,2,,,,,,,,,
