,name,github_id,npm_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,demo_url,trending,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
10,Recharts,recharts/recharts,recharts,,data-viz,https://github.com/recharts/recharts,https://github.com/recharts/recharts,MIT,2015-08-07 06:50:27.000,2021-06-30 21:47:53.000,2021-04-20 02:31:57.000,1258,198.0,1964.0,16576,1850.0,2021-03-24 03:50:34.413,2.0.9,178.0,Redefined chart library built with React and D3.,57221.0,50217.0,212.0,36,https://www.npmjs.com/package/recharts,2021-03-24 03:50:34.413,7004.0,2677840.0,2677840.0,True,1,http://recharts.org/en-US/examples,,,,,,,,
11,Semantic UI React,Semantic-Org/Semantic-UI-React,semantic-ui-react,,ui-frameworks,https://github.com/Semantic-Org/Semantic-UI-React,https://github.com/Semantic-Org/Semantic-UI-React,MIT,2015-06-19 16:47:19.000,2021-07-01 11:15:52.000,2021-07-01 11:15:51.000,3638,147.0,2262.0,12336,3068.0,2021-01-25 15:14:00.000,2.0.3,148.0,The official Semantic-UI-React integration.,138196.0,121266.0,309.0,36,https://www.npmjs.com/package/semantic-ui-react,2021-01-20 19:57:11.349,16930.0,941537.0,941537.0,True,2,https://react.semantic-ui.com/elements/button/,-1.0,,,,,,,
12,React Dropzone,react-dropzone/react-dropzone,react-dropzone,,file-handling,https://github.com/react-dropzone/react-dropzone,https://github.com/react-dropzone/react-dropzone,MIT,2014-09-27 11:57:09.000,2021-06-25 04:12:15.000,2021-06-25 04:12:04.000,703,13.0,647.0,8259,551.0,2021-06-25 04:04:03.000,11.3.4,147.0,Simple HTML5 drag-drop zone with React.js.,79781.0,69465.0,163.0,36,https://www.npmjs.com/package/react-dropzone,2021-06-25 04:04:00.853,10316.0,5997432.0,5997432.0,True,1,https://react-dropzone.js.org/#section-basic-example,,,,,,,,
13,Electron,electron/electron,electron,,desktop-apps,https://github.com/electron/electron,https://github.com/electron/electron,MIT,2013-04-12 01:47:36.000,2021-07-01 17:18:17.380,,12463,1227.0,,94166,,2021-06-22 21:51:20.629,13.1.4,553.0,"Build cross-platform desktop apps with JavaScript, HTML, and CSS.",46992.0,,647.0,35,https://www.npmjs.com/package/electron,2021-07-01 17:18:17.380,46992.0,1988683.0,1988683.0,True,1,,,,,,,,,
14,lerna,lerna/lerna,lerna,,dev-tools,https://github.com/lerna/lerna,https://github.com/lerna/lerna,MIT,2015-12-04 09:36:55.000,2021-06-20 10:07:38.000,2021-06-02 22:46:25.000,1879,654.0,1461.0,28834,,2021-02-10 22:42:55.000,4.0.0,184.0,A tool for managing JavaScript projects with multiple packages.,113579.0,85417.0,271.0,35,https://www.npmjs.com/package/lerna,2021-02-10 22:42:31.218,28162.0,5042109.0,5042109.0,True,2,,,,,,,,,
15,React Admin,marmelab/react-admin,react-admin,['material-ui'],admin-dashboards,https://github.com/marmelab/react-admin,https://github.com/marmelab/react-admin,MIT,2016-07-13 07:58:54.000,2021-07-01 12:16:48.000,2021-07-01 12:16:47.000,3743,129.0,3042.0,17200,10465.0,2021-06-28 09:31:39.000,3.16.4,173.0,"A frontend Framework for building B2B applications running in the browser on top of REST/GraphQL APIs, using ES6,..",6934.0,6438.0,472.0,35,https://www.npmjs.com/package/react-admin,2021-06-28 09:30:19.388,496.0,177801.0,177801.0,True,1,https://marmelab.com/react-admin-demo/,,,,,,,,
16,SheetJS,SheetJS/sheetjs,xlsx,,file-handling,https://github.com/SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,Apache-2.0,2012-12-03 19:25:52.000,2021-06-24 06:38:03.000,2021-05-13 19:07:05.000,6765,502.0,1533.0,26023,500.0,2021-05-13 19:13:41.651,0.17.0,160.0,SheetJS Community Edition -- Spreadsheet Data Toolkit.,10694.0,1936.0,131.0,34,https://www.npmjs.com/package/xlsx,2021-05-13 19:13:41.651,8758.0,5027049.0,5027049.0,True,2,,,,,,,,,
17,ag-Grid,ag-grid/ag-grid,ag-grid-community,,data-tables,https://github.com/ag-grid/ag-grid,https://github.com/ag-grid/ag-grid,MIT,2014-12-23 16:20:14.000,2021-07-01 17:35:36.000,2021-07-01 17:35:31.000,1295,27.0,4039.0,7321,21404.0,2021-06-14 15:11:55.000,25.3.0,100.0,The best JavaScript Data Table for building Enterprise Applications. Supports React / Angular / Vue / Plain JavaScript.,1487.0,841.0,116.0,33,https://www.npmjs.com/package/ag-grid-community,2021-05-27 07:29:42.415,646.0,1059872.0,1059872.0,True,1,,,,,,,,,
18,React-Toastify,fkhadra/react-toastify,react-toastify,,notifications,https://github.com/fkhadra/react-toastify,https://github.com/fkhadra/react-toastify,MIT,2016-11-08 12:32:52.000,2021-06-15 20:40:06.000,2021-04-23 12:34:23.000,373,23.0,422.0,6957,1039.0,2021-04-23 12:38:06.000,7.0.4,116.0,React notification made easy !.,102860.0,96924.0,68.0,33,https://www.npmjs.com/package/react-toastify,2021-04-23 12:37:40.399,5936.0,2893944.0,2893944.0,True,1,https://fkhadra.github.io/react-toastify/introduction/,,,,,,,,
19,React Chartjs 2,reactchartjs/react-chartjs-2,react-chartjs-2,,data-viz,https://github.com/reactchartjs/react-chartjs-2,https://github.com/reactchartjs/react-chartjs-2,MIT,2016-05-06 22:01:08.000,2021-06-29 10:03:30.000,2021-05-03 16:33:04.000,764,169.0,388.0,4145,279.0,2021-04-27 14:58:12.459,3.0.3,68.0,"React wrapper for Chart.js 2.0 and 3.0, the most popular charting library.",89270.0,82546.0,60.0,33,https://www.npmjs.com/package/react-chartjs-2,2021-04-27 14:58:12.459,6724.0,1654575.0,1654575.0,True,1,https://reactchartjs.github.io/react-chartjs-2/,,,,,,,,
