,name,github_id,npm_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,trending,demo_url,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
33,Electron,electron/electron,electron,,desktop-apps,https://github.com/electron/electron,https://github.com/electron/electron,MIT,2013-04-12 01:47:36.000,2021-11-17 13:51:10.000,,12914,1370.0,,98900,,2021-11-16 01:17:55.600,16.0.0,642.0,"Build cross-platform desktop apps with JavaScript, HTML, and CSS.",46992.0,,777,35,https://www.npmjs.com/package/electron,2021-11-16 01:17:55.600,46992.0,2259891.0,2259891.0,True,1,,,,,,,,,
34,React Admin,marmelab/react-admin,react-admin,['material-ui'],admin-dashboards,https://github.com/marmelab/react-admin,https://github.com/marmelab/react-admin,MIT,2016-07-13 07:58:54.000,2021-11-17 17:27:15.000,2021-11-17 16:43:22.000,4015,154.0,3198.0,18282,11042.0,2021-11-17 14:00:13.000,3.19.1,185.0,"A frontend Framework for building B2B applications running in the browser on top of REST/GraphQL APIs, using ES6,..",8226.0,7730.0,492,35,https://www.npmjs.com/package/react-admin,2021-11-17 13:58:41.981,496.0,209655.0,209655.0,True,1,,https://marmelab.com/react-admin-demo/,,,,,,,
35,lerna,lerna/lerna,lerna,,dev-tools,https://github.com/lerna/lerna,https://github.com/lerna/lerna,MIT,2015-12-04 09:36:55.000,2021-11-11 19:35:14.000,2021-06-02 22:46:25.000,1992,719.0,1474.0,30615,,2021-02-10 22:42:55.000,4.0.0,184.0,A tool for managing JavaScript projects with multiple packages.,129208.0,101046.0,280,34,https://www.npmjs.com/package/lerna,2021-02-10 22:42:31.218,28162.0,5244048.0,5244048.0,True,2,,,,,,,,,
36,react-beautiful-dnd,atlassian/react-beautiful-dnd,react-beautiful-dnd,,other-components,https://github.com/atlassian/react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,Apache-2.0,2017-08-09 03:37:15.000,2021-11-17 13:56:45.000,2021-10-15 06:06:19.000,1918,476.0,992.0,25524,793.0,2021-03-21 23:46:09.000,13.1.0,93.0,Beautiful and accessible drag and drop for lists with React.,35053.0,33069.0,126,34,https://www.npmjs.com/package/react-beautiful-dnd,2021-03-21 23:24:40.308,1984.0,4361855.0,4361855.0,True,2,,,,,,,,,
37,react-testing-library,testing-library/react-testing-library,react-testing-library,,testing,https://github.com/testing-library/react-testing-library,https://github.com/testing-library/react-testing-library,MIT,2018-03-19 13:39:49.000,2021-11-16 10:58:41.000,2021-10-07 12:12:08.000,884,21.0,529.0,15480,,2021-10-03 13:19:49.000,12.1.2,100.0,Simple and complete React DOM testing utilities that encourage good testing practices.,3265552.0,3260920.0,166,34,https://www.npmjs.com/package/react-testing-library,2019-05-30 18:10:43.138,4632.0,371416.0,371416.0,True,3,,,,,,,,,
38,tinymce,tinymce/tinymce,tinymce,,editors,https://github.com/tinymce/tinymce,https://github.com/tinymce/tinymce,LGPL-2.1,2010-01-11 14:46:42.000,2021-11-17 12:06:56.000,2021-11-17 02:59:39.000,1852,848.0,4650.0,10029,24802.0,2021-11-17 04:34:14.764,5.10.2,142.0,"The world's #1 JavaScript library for rich text editing. Available for React, Vue and Angular.",3383.0,375.0,298,34,https://www.npmjs.com/package/tinymce,2021-11-17 04:34:14.764,3008.0,1033922.0,1033922.0,False,1,,,,,,,,,
39,React-Toastify,fkhadra/react-toastify,react-toastify,,notifications,https://github.com/fkhadra/react-toastify,https://github.com/fkhadra/react-toastify,MIT,2016-11-08 12:32:52.000,2021-11-03 18:52:26.000,2021-11-03 18:51:28.000,410,36.0,447.0,7978,1090.0,2021-11-03 18:53:43.000,8.1.0,123.0,React notification made easy !.,132177.0,126241.0,71,34,https://www.npmjs.com/package/react-toastify,2021-11-03 18:52:17.547,5936.0,3424393.0,3424393.0,True,1,,https://fkhadra.github.io/react-toastify/introduction/,,,,,,,
40,Semantic-UI,Semantic-Org/Semantic-UI,semantic-ui,,ui-frameworks,https://github.com/Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,MIT,2013-04-08 23:32:04.000,2021-09-05 13:15:39.000,2018-10-21 20:59:02.000,5139,1055.0,5232.0,49681,6684.0,2018-10-21 21:03:55.194,2.4.2,100.0,Semantic is a UI component framework based around useful principles from natural language.,17266.0,12894.0,225,33,https://www.npmjs.com/package/semantic-ui,2018-10-21 21:03:55.194,4372.0,38523.0,38566.0,False,2,,,4036.0,,,,,,
41,Draft JS,facebook/draft-js,draft-js,,editors,https://github.com/facebook/draft-js,https://github.com/facebook/draft-js,MIT,2016-02-19 20:18:26.000,2021-11-09 19:40:21.000,2021-11-09 19:40:18.000,2469,905.0,955.0,21042,,2020-08-17 16:40:16.000,0.11.7,32.0,A React framework for building text editors.,116229.0,97811.0,315,33,https://www.npmjs.com/package/draft-js,2020-08-17 16:36:23.849,18418.0,3129013.0,3129013.0,True,1,-3.0,,,,,,,,
42,swr,vercel/swr,swr,,data-fetching,https://github.com/vercel/swr,https://github.com/vercel/swr,MIT,2019-10-28 18:16:01.000,2021-11-16 12:05:47.000,2021-11-11 10:33:06.000,729,60.0,463.0,19878,522.0,2021-09-12 21:38:50.997,1.0.1,101.0,React Hooks for data fetching.,36592.0,36566.0,121,33,https://www.npmjs.com/package/swr,2021-11-11 10:42:28.959,26.0,1946596.0,1946596.0,True,2,,,,,,,,,
