,name,github_id,npm_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,demo_url,github_release_downloads,trending,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Material-UI,mui-org/material-ui,@material-ui/core,['material-ui'],ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-11-18 15:05:25.000,2021-11-18 15:05:25.000,24877,797.0,13642.0,73030,18489.0,2021-11-16 15:21:17.000,5.1.1,161.0,"MUI (formerly Material-UI) is the React UI library you always wanted. Follow your own design system, or start with..",780102.0,750590.0,2602,43,https://www.npmjs.com/package/@material-ui/core,2021-08-25 07:29:18.576,29512.0,9761398.0,9761398.0,True,1,,,,,,,,,
1,axios,axios/axios,axios,,utils,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27.000,2021-11-17 17:35:25.000,2021-11-16 15:06:21.000,8911,301.0,3123.0,89298,1051.0,2021-10-25 17:51:25.987,0.24.0,52.0,Promise based HTTP client for the browser and node.js.,5788285.0,5239397.0,304,42,https://www.npmjs.com/package/axios,2021-10-25 17:51:25.987,548888.0,98711343.0,98711343.0,True,1,,,,,,,,,
2,lodash,lodash/lodash,lodash,,utils,https://github.com/lodash/lodash,https://github.com/lodash/lodash,MIT,2012-04-07 04:11:46.000,2021-11-18 12:28:24.000,2021-04-23 17:25:37.000,6067,310.0,3729.0,51324,8005.0,2021-02-20 15:42:16.891,4.17.21,114.0,"A modern JavaScript utility library delivering modularity, performance, & extras.",14615136.0,12632670.0,327,42,https://www.npmjs.com/package/lodash,2021-02-20 15:42:16.891,1982466.0,179492642.0,179492642.0,True,1,,,,,,,,,
3,Ant Design,ant-design/ant-design,antd,['ant-design'],ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-11-18 12:36:10.000,2021-11-18 12:17:22.000,31146,724.0,21730.0,75690,21268.0,2021-11-15 11:58:12.000,4.17.0,620.0,An enterprise-class UI design language and React UI library.,290906.0,263704.0,1718,41,https://www.npmjs.com/package/antd,2021-11-17 15:18:47.119,27202.0,3050671.0,3050671.0,True,1,,,,,,,,,
4,Next.js,vercel/next.js,next,,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-11-18 14:12:02.000,2021-11-18 14:12:02.000,15268,1349.0,10001.0,76733,8577.0,2021-11-15 21:03:01.000,12.0.4,1347.0,The React Framework.,15748.0,316.0,1934,40,https://www.npmjs.com/package/next,2021-11-16 23:32:08.082,15432.0,8724766.0,8724766.0,True,1,https://nextjs.org/showcase,,,,,,,,
5,Storybook,storybookjs/storybook,@storybook/react,,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-11-18 14:39:47.000,2021-11-18 09:02:01.000,6730,1540.0,6881.0,66295,33500.0,2021-10-14 07:13:56.000,6.3.12,940.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",29435.0,14857.0,1635,40,https://www.npmjs.com/package/@storybook/react,2021-11-16 14:14:19.827,14578.0,10804343.0,10804343.0,True,1,,,,,,,,,
6,Gatsby,gatsbyjs/gatsby,gatsby,,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-11-18 14:26:52.000,2021-11-17 12:04:38.000,9981,382.0,12921.0,51747,19474.0,2021-11-16 17:09:35.000,gatsby@4.2.0,2379.0,"Build blazing fast, modern apps and websites with React.",409770.0,385410.0,4128,40,https://www.npmjs.com/package/gatsby,2021-11-15 09:49:19.956,24360.0,1637066.0,1637066.0,True,1,https://www.gatsbyjs.com/showcase/,,,,,,,,
7,Webpack,webpack/webpack,webpack,,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-11-18 03:03:46.000,2021-11-16 15:03:22.000,8085,276.0,8484.0,59806,,2021-11-15 17:16:59.000,5.64.1,788.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,9211230.0,7923566.0,785,39,https://www.npmjs.com/package/webpack,2021-11-15 17:16:47.179,1287664.0,80724971.0,80724971.0,True,1,,,,,,,,,
8,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2021-11-18 13:25:20.000,2021-11-18 13:25:19.000,2315,60.0,1780.0,49219,4295.0,2021-10-29 16:24:34.000,2.2.19,357.0,A utility-first CSS framework for rapid UI development.,368889.0,363501.0,203,39,https://www.npmjs.com/package/tailwindcss,2021-11-08 17:02:33.787,5388.0,5163213.0,5163213.0,True,1,,,,,,,,,
9,jest,facebook/jest,jest,,testing,https://github.com/facebook/jest,https://github.com/facebook/jest,MIT,2013-12-10 00:18:04.000,2021-11-18 15:12:30.000,2021-11-18 15:10:35.000,5444,1664.0,5064.0,37123,,2021-10-19 06:58:50.000,27.3.1,288.0,Delightful JavaScript Testing.,4478775.0,3938117.0,1361,39,https://www.npmjs.com/package/jest,2021-10-17 18:34:59.202,540658.0,62204595.0,62204595.0,True,1,,,,,,,,,
10,cypress,cypress-io/cypress,cypress,,testing,https://github.com/cypress-io/cypress,https://github.com/cypress-io/cypress,MIT,2015-03-04 00:46:28.000,2021-11-18 15:13:23.000,2021-11-17 16:34:58.000,2055,1857.0,7155.0,34643,16077.0,2021-11-10 21:49:17.000,9.0.0,147.0,"Fast, easy and reliable testing for anything that runs in a browser.",314673.0,306667.0,316,39,https://www.npmjs.com/package/cypress,2021-11-10 21:34:55.923,8006.0,13600884.0,13600884.0,True,1,,,,,,,,,
11,Bootstrap React,react-bootstrap/react-bootstrap,react-bootstrap,"['bootstrap""']",ui-frameworks,https://github.com/react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,MIT,2013-12-27 19:06:07.000,2021-11-18 02:37:12.000,2021-11-13 21:11:04.000,3215,163.0,3064.0,20175,4217.0,2021-11-04 19:05:14.000,2.0.2,182.0,Bootstrap components built with React.,660017.0,601175.0,459,39,https://www.npmjs.com/package/react-bootstrap,2021-11-04 19:00:33.111,58842.0,3992605.0,3993178.0,True,1,,50425.0,,,,,,,
12,winston,winstonjs/winston,winston,,utils,https://github.com/winstonjs/winston,https://github.com/winstonjs/winston,MIT,2010-12-29 18:49:51.000,2021-11-13 06:22:26.000,2021-09-22 05:16:48.000,1520,373.0,899.0,18048,1357.0,2020-06-23 22:31:38.000,3.3.3,83.0,A logger for just about everything.,545113.0,426131.0,344,39,https://www.npmjs.com/package/winston,2020-06-23 22:31:24.942,118982.0,29121235.0,29121235.0,True,2,,,,,,,,,
13,react-hook-form,react-hook-form/react-hook-form,react-hook-form,,others,https://github.com/react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,MIT,2019-03-05 23:47:10.000,2021-11-18 02:34:10.000,2021-11-18 01:05:51.000,1147,9.0,2760.0,24114,2970.0,2021-11-12 01:35:43.637,7.19.5,890.0,React Hooks for forms validation (Web + React Native).,101630.0,101376.0,189,38,https://www.npmjs.com/package/react-hook-form,2021-11-12 01:35:43.637,254.0,5479444.0,5479444.0,True,1,,,,,,,,,
14,enzyme,enzymejs/enzyme,enzyme,,testing,https://github.com/enzymejs/enzyme,https://github.com/enzymejs/enzyme,MIT,2015-11-10 21:45:38.000,2021-10-13 19:02:18.000,2021-09-17 06:34:12.000,2083,282.0,1486.0,19769,1971.0,2019-12-20 00:08:40.725,3.11.0,54.0,JavaScript Testing utilities for React.,509051.0,406181.0,396,38,https://www.npmjs.com/package/enzyme,2019-12-20 00:08:40.725,102870.0,10047177.0,10047177.0,True,3,,,,,,,,,
15,bulma,jgthms/bulma,bulma,,ui-frameworks,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,MIT,2016-01-23 23:48:34.000,2021-11-12 22:59:10.000,2021-11-09 10:22:17.000,3821,351.0,2162.0,44622,1647.0,2021-06-18 17:45:30.000,0.9.3,59.0,Modern CSS framework based on Flexbox.,191978.0,171234.0,377,37,https://www.npmjs.com/package/bulma,2021-06-18 17:42:02.342,20744.0,844032.0,855486.0,True,2,,561257.0,,,,,,,
16,preact,preactjs/preact,preact,,others,https://github.com/preactjs/preact,https://github.com/preactjs/preact,MIT,2015-09-11 02:40:18.000,2021-11-17 20:03:11.000,2021-11-17 17:48:44.000,1679,243.0,1296.0,30357,4922.0,2021-10-12 05:55:26.000,10.5.15,183.0,Fast 3kB React alternative with the same modern API. Components & Virtual DOM.,73722.0,62200.0,287,37,https://www.npmjs.com/package/preact,2021-10-12 05:54:49.664,11522.0,3828870.0,3828870.0,True,2,,,,,,,,,
17,SheetJS,SheetJS/sheetjs,xlsx,,file-handling,https://github.com/SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,Apache-2.0,2012-12-03 19:25:52.000,2021-11-14 05:16:28.581,2021-11-14 04:49:38.000,7171,85.0,2014.0,28125,576.0,2021-11-14 05:16:28.581,0.17.4,163.0,SheetJS Community Edition -- Spreadsheet Data Toolkit.,92675.0,83917.0,170,37,https://www.npmjs.com/package/xlsx,2021-11-14 05:16:28.581,8758.0,6287528.0,6287528.0,True,1,,,,,,,,,
18,react-query,tannerlinsley/react-query,react-query,,data-fetching,https://github.com/tannerlinsley/react-query,https://github.com/tannerlinsley/react-query,MIT,2019-09-10 19:23:58.000,2021-11-18 14:43:26.000,2021-11-17 20:13:39.000,1222,40.0,785.0,23806,1393.0,2021-11-17 17:20:23.000,3.33.1,402.0,"Hooks for fetching, caching and updating asynchronous data in React.",29480.0,29470.0,386,37,https://www.npmjs.com/package/react-query,2021-11-17 17:20:20.172,10.0,3548005.0,3548005.0,True,1,,,,,,,,,
19,localForage,localForage/localForage,localforage,,state-management,https://github.com/localForage/localForage,https://github.com/localForage/localForage,Apache-2.0,2013-10-31 00:10:06.000,2021-10-19 17:13:48.000,2021-10-03 10:15:28.000,1139,211.0,488.0,19719,1122.0,2021-08-18 21:22:59.000,1.10.0,62.0,"Offline storage, improved. Wraps IndexedDB, WebSQL, or localStorage using a simple but powerful API.",211332.0,182872.0,111,37,https://www.npmjs.com/package/localforage,2021-08-18 21:22:08.980,28460.0,5861250.0,5861469.0,True,1,,20188.0,,,,,,,
20,Semantic UI React,Semantic-Org/Semantic-UI-React,semantic-ui-react,,ui-frameworks,https://github.com/Semantic-Org/Semantic-UI-React,https://github.com/Semantic-Org/Semantic-UI-React,MIT,2015-06-19 16:47:19.000,2021-10-28 11:26:01.000,2021-10-15 11:28:36.000,3789,148.0,2294.0,12531,3076.0,2021-09-24 10:35:28.000,2.0.4,148.0,The official Semantic-UI-React integration.,150179.0,133249.0,313,37,https://www.npmjs.com/package/semantic-ui-react,2021-01-20 19:57:11.349,16930.0,1102264.0,1102264.0,True,2,https://react.semantic-ui.com/elements/button/,,,,,,,,
21,loglevel,pimterry/loglevel,loglevel,,utils,https://github.com/pimterry/loglevel,https://github.com/pimterry/loglevel,MIT,2013-03-23 20:35:58.000,2021-11-18 12:58:28.369,2021-11-18 12:51:09.000,160,16.0,103.0,2116,289.0,2021-11-18 12:58:28.369,1.8.0,27.0,"Minimal lightweight logging for JavaScript, adding reliable log level methods to wrap any available console.log methods.",5971809.0,5392505.0,30,37,https://www.npmjs.com/package/loglevel,2021-11-18 12:58:28.369,579304.0,45514019.0,45514019.0,True,3,,,1.0,,,,,,
22,Styled Components,styled-components/styled-components,styled-components,,styling,https://github.com/styled-components/styled-components,https://github.com/styled-components/styled-components,MIT,2016-08-16 06:41:32.000,2021-11-10 13:38:12.000,2021-10-19 13:38:49.000,2172,40.0,2407.0,35233,,2021-10-19 13:37:20.000,5.3.3,291.0,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress.,903297.0,848985.0,316,36,https://www.npmjs.com/package/styled-components,2021-10-19 13:31:04.868,54312.0,14013599.0,14013599.0,True,2,,,,,,,,,
23,esbuild,evanw/esbuild,esbuild,,dev-tools,https://github.com/evanw/esbuild,https://github.com/evanw/esbuild,MIT,2016-06-14 16:08:50.000,2021-11-16 22:56:18.000,2021-11-16 22:54:16.000,682,226.0,1317.0,28768,2606.0,2021-11-16 07:28:09.000,0.13.14,292.0,An extremely fast JavaScript and CSS bundler and minifier.,121661.0,121661.0,69,36,https://www.npmjs.com/package/esbuild,2021-11-16 07:27:48.632,0.0,7950153.0,7950153.0,True,2,,,,,,,,,
24,react-use,streamich/react-use,react-use,,others,https://github.com/streamich/react-use,https://github.com/streamich/react-use,Unlicense,2018-10-27 10:16:05.000,2021-11-18 11:43:48.000,2021-11-18 11:37:06.000,1988,410.0,207.0,26415,2882.0,2021-08-31 22:31:47.000,17.3.1,262.0,React Hooks.,18975.0,18467.0,183,36,https://www.npmjs.com/package/react-use,2021-08-31 22:31:44.123,508.0,3033859.0,3033859.0,True,2,,,,,,,,,
25,react-virtualized,bvaughn/react-virtualized,react-virtualized,,data-tables,https://github.com/bvaughn/react-virtualized,https://github.com/bvaughn/react-virtualized,MIT,2015-11-03 00:48:07.000,2021-11-12 12:54:08.000,2021-05-17 21:35:30.000,2840,433.0,707.0,22779,1984.0,2020-12-18 22:18:53.000,9.22.3,294.0,React components for efficiently rendering large lists and tabular data.,44762.0,39306.0,214,36,https://www.npmjs.com/package/react-virtualized,2018-06-01 16:00:52.806,5456.0,3820833.0,3820833.0,True,1,https://bvaughn.github.io/react-virtualized/#/components/List,,,,,,,,
26,Recharts,recharts/recharts,recharts,,data-viz,https://github.com/recharts/recharts,https://github.com/recharts/recharts,MIT,2015-08-07 06:50:27.000,2021-11-18 02:59:06.000,2021-11-04 12:07:39.000,1311,282.0,1987.0,17306,1883.0,2021-10-26 07:55:07.326,2.1.6,184.0,Redefined chart library built with React and D3.,67245.0,60241.0,226,36,https://www.npmjs.com/package/recharts,2021-10-26 07:55:07.326,7004.0,3159815.0,3159815.0,True,1,http://recharts.org/en-US/examples,,,,,,,,
