,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,trending,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
10,Draft JS,facebook/draft-js,draft-js,editors,https://github.com/facebook/draft-js,https://github.com/facebook/draft-js,MIT,2016-02-19 20:18:26.000,2021-06-10 01:53:33.000,2021-06-10 01:53:26.000,2365,868.0,947.0,20397,1115.0,2020-08-17 16:40:16.000,0.11.7,32.0,A React framework for building text editors.,107613.0,89195.0,305.0,36,https://www.npmjs.com/package/draft-js,2020-08-17 16:36:23.849,18418.0,2725371.0,2725371.0,True,1,,,,,,,,,,
11,Recharts,recharts/recharts,recharts,data-viz,https://github.com/recharts/recharts,https://github.com/recharts/recharts,MIT,2015-08-07 06:50:27.000,2021-05-23 02:17:12.000,2021-04-20 02:31:57.000,1248,183.0,1964.0,16450,1850.0,2021-03-24 03:50:34.413,2.0.9,178.0,Redefined chart library built with React and D3.,55860.0,48856.0,212.0,36,https://www.npmjs.com/package/recharts,2021-03-24 03:50:34.413,7004.0,2477006.0,2477006.0,True,1,,http://recharts.org/en-US/examples,,,,,,,,
12,React Dropzone,react-dropzone/react-dropzone,react-dropzone,file-handling,https://github.com/react-dropzone/react-dropzone,https://github.com/react-dropzone/react-dropzone,MIT,2014-09-27 11:57:09.000,2021-05-31 23:44:42.000,2021-03-26 07:58:15.000,701,22.0,635.0,8199,547.0,2021-03-26 08:00:38.000,11.3.2,145.0,Simple HTML5 drag-drop zone with React.js.,78533.0,68217.0,159.0,36,https://www.npmjs.com/package/react-dropzone,2021-03-26 08:00:32.355,10316.0,5552932.0,5552932.0,True,1,,https://react-dropzone.js.org/#section-basic-example,,,,,,,,
13,Electron,electron/electron,electron,desktop-apps,https://github.com/electron/electron,https://github.com/electron/electron,MIT,2013-04-12 01:47:36.000,2021-06-10 15:49:21.122,,12416,1244.0,,93814,,2021-06-09 18:41:52.367,13.1.2,542.0,"Build cross-platform desktop apps with JavaScript, HTML, and CSS.",46992.0,,647.0,35,https://www.npmjs.com/package/electron,2021-06-10 15:49:21.122,46992.0,1928251.0,1928251.0,True,1,,,,,,,,,,
14,lerna,lerna/lerna,lerna,dev-tools,https://github.com/lerna/lerna,https://github.com/lerna/lerna,MIT,2015-12-04 09:36:55.000,2021-06-08 09:37:49.000,2021-06-02 22:46:25.000,1824,631.0,1460.0,28569,,2021-02-10 22:42:55.000,4.0.0,184.0,A tool for managing JavaScript projects with multiple packages.,111514.0,83352.0,271.0,35,https://www.npmjs.com/package/lerna,2021-02-10 22:42:31.218,28162.0,4788468.0,4788468.0,True,2,,,,,,,,,,
15,React Admin,marmelab/react-admin,react-admin,admin-dashboards,https://github.com/marmelab/react-admin,https://github.com/marmelab/react-admin,MIT,2016-07-13 07:58:54.000,2021-06-10 16:08:35.000,2021-06-08 19:19:17.000,3709,142.0,3007.0,17010,10388.0,2021-06-07 14:12:16.000,3.16.0,169.0,"A frontend Framework for building B2B applications running in the browser on top of REST/GraphQL APIs, using ES6,..",6723.0,6227.0,467.0,35,https://www.npmjs.com/package/react-admin,2021-06-07 14:10:21.651,496.0,176291.0,176291.0,True,1,['material-ui'],https://marmelab.com/react-admin-demo/,,,,,,,,
16,SheetJS,SheetJS/sheetjs,xlsx,file-handling,https://github.com/SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,Apache-2.0,2012-12-03 19:25:52.000,2021-06-08 08:34:40.000,2021-05-13 19:07:05.000,6716,494.0,1527.0,25805,500.0,2021-05-13 19:13:41.651,0.17.0,160.0,SheetJS Community Edition -- Spreadsheet Data Toolkit.,10662.0,1904.0,131.0,34,https://www.npmjs.com/package/xlsx,2021-05-13 19:13:41.651,8758.0,4649070.0,4649070.0,True,2,,,,,,,,,,
17,ag-Grid,ag-grid/ag-grid,ag-grid-community,data-tables,https://github.com/ag-grid/ag-grid,https://github.com/ag-grid/ag-grid,MIT,2014-12-23 16:20:14.000,2021-06-10 16:42:24.000,2021-06-10 16:42:15.000,1278,19.0,4005.0,7261,21404.0,2021-05-04 14:40:21.814,25.2.1,100.0,The best JavaScript Data Table for building Enterprise Applications. Supports React / Angular / Vue / Plain JavaScript.,1471.0,825.0,116.0,33,https://www.npmjs.com/package/ag-grid-community,2021-05-27 07:29:42.415,646.0,950871.0,950871.0,True,1,,,,,,,,,,
18,React-Toastify,fkhadra/react-toastify,react-toastify,notifications,https://github.com/fkhadra/react-toastify,https://github.com/fkhadra/react-toastify,MIT,2016-11-08 12:32:52.000,2021-05-26 09:37:31.000,2021-04-23 12:34:23.000,368,23.0,420.0,6856,1039.0,2021-04-23 12:38:06.000,7.0.4,116.0,React notification made easy !.,98924.0,92988.0,68.0,33,https://www.npmjs.com/package/react-toastify,2021-04-23 12:37:40.399,5936.0,2659712.0,2659712.0,True,1,,https://fkhadra.github.io/react-toastify/introduction/,,,,,,,,
19,React Chartjs 2,reactchartjs/react-chartjs-2,react-chartjs-2,data-viz,https://github.com/reactchartjs/react-chartjs-2,https://github.com/reactchartjs/react-chartjs-2,MIT,2016-05-06 22:01:08.000,2021-06-07 15:28:55.000,2021-05-03 16:33:04.000,727,153.0,387.0,4081,279.0,2021-04-27 14:58:12.459,3.0.3,68.0,"React wrapper for Chart.js 2.0 and 3.0, the most popular charting library.",86621.0,79897.0,60.0,33,https://www.npmjs.com/package/react-chartjs-2,2021-04-27 14:58:12.459,6724.0,1541639.0,1541639.0,True,1,,https://reactchartjs.github.io/react-chartjs-2/,,,,,,,,
