,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,trending,demo_url,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
10,Draft JS,facebook/draft-js,draft-js,editors,https://github.com/facebook/draft-js,https://github.com/facebook/draft-js,MIT,2016-02-19 20:18:26.000,2021-05-17 23:41:11.000,2021-04-28 17:41:07.000,2334,839.0,945.0,20297,1109.0,2020-08-17 16:40:16.000,0.11.7,32.0,A React framework for building text editors.,106517.0,88099.0,305.0,36,https://www.npmjs.com/package/draft-js,2020-08-17 16:36:23.849,18418.0,2922920.0,2922920.0,True,1,,,,,,,,,,
11,Recharts,recharts/recharts,recharts,data-viz,https://github.com/recharts/recharts,https://github.com/recharts/recharts,MIT,2015-08-07 06:50:27.000,2021-04-20 02:31:57.000,2021-04-20 02:31:57.000,1230,169.0,1958.0,16356,1850.0,2021-03-24 03:50:34.413,2.0.9,178.0,Redefined chart library built with React and D3.,54531.0,47527.0,212.0,36,https://www.npmjs.com/package/recharts,2021-03-24 03:50:34.413,7004.0,2722017.0,2722017.0,True,1,,,http://recharts.org/en-US/examples,,,,,,,
12,React Dropzone,react-dropzone/react-dropzone,react-dropzone,file-handling,https://github.com/react-dropzone/react-dropzone,https://github.com/react-dropzone/react-dropzone,MIT,2014-09-27 11:57:09.000,2021-05-14 16:58:40.000,2021-03-26 07:58:15.000,687,16.0,635.0,8154,547.0,2021-03-26 08:00:38.000,11.3.2,145.0,Simple HTML5 drag-drop zone with React.js.,77104.0,66788.0,159.0,36,https://www.npmjs.com/package/react-dropzone,2021-03-26 08:00:32.355,10316.0,6004578.0,6004578.0,True,1,,1.0,https://react-dropzone.js.org/#section-basic-example,,,,,,,
13,Electron,electron/electron,electron,desktop-apps,https://github.com/electron/electron,https://github.com/electron/electron,MIT,2013-04-12 01:47:36.000,2021-05-20 16:02:33.768,,12305,1154.0,,91657,,2021-05-19 22:48:24.330,12.0.9,528.0,"Build cross-platform desktop apps with JavaScript, HTML, and CSS.",46992.0,,647.0,35,https://www.npmjs.com/package/electron,2021-05-20 16:02:33.768,46992.0,2055524.0,2055524.0,True,1,,,,,,,,,,
14,lerna,lerna/lerna,lerna,dev-tools,https://github.com/lerna/lerna,https://github.com/lerna/lerna,MIT,2015-12-04 09:36:55.000,2021-05-06 23:48:24.000,2021-02-10 23:24:50.000,1824,631.0,1456.0,28260,,2021-02-10 22:42:55.000,4.0.0,184.0,A tool for managing JavaScript projects with multiple packages.,109046.0,80884.0,271.0,35,https://www.npmjs.com/package/lerna,2021-02-10 22:42:31.218,28162.0,5130516.0,5130516.0,True,2,,,,,,,,,,
15,React Admin,marmelab/react-admin,react-admin,admin-dashboards,https://github.com/marmelab/react-admin,https://github.com/marmelab/react-admin,MIT,2016-07-13 07:58:54.000,2021-05-20 13:25:13.000,2021-05-18 08:30:20.000,3654,135.0,2980.0,16860,10266.0,2021-05-10 08:17:43.000,3.15.1,167.0,"A frontend Framework for building B2B applications running in the browser on top of REST/GraphQL APIs, using ES6,..",6524.0,6028.0,463.0,35,https://www.npmjs.com/package/react-admin,2021-05-10 08:16:47.631,496.0,207178.0,207178.0,True,1,['material-ui'],,https://marmelab.com/react-admin-demo/,,,,,,,
16,SheetJS,SheetJS/sheetjs,xlsx,file-handling,https://github.com/SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,Apache-2.0,2012-12-03 19:25:52.000,2021-05-14 08:20:37.000,2021-05-13 19:07:05.000,6673,484.0,1525.0,25581,500.0,2021-05-13 19:13:41.651,0.17.0,160.0,SheetJS Community Edition -- Spreadsheet Data Toolkit.,10620.0,1862.0,131.0,34,https://www.npmjs.com/package/xlsx,2021-05-13 19:13:41.651,8758.0,4692273.0,4692273.0,True,2,,1.0,,,,,,,,
17,ag-Grid,ag-grid/ag-grid,ag-grid-community,data-tables,https://github.com/ag-grid/ag-grid,https://github.com/ag-grid/ag-grid,MIT,2014-12-23 16:20:14.000,2021-05-20 18:31:35.000,2021-05-20 18:31:30.000,1273,17.0,3984.0,7205,21403.0,2021-05-04 14:40:21.814,25.2.1,100.0,The best JavaScript Data Table for building Enterprise Applications. Supports React / Angular / Vue / Plain JavaScript.,1457.0,811.0,115.0,33,https://www.npmjs.com/package/ag-grid-community,2021-05-04 14:40:21.814,646.0,958275.0,958275.0,True,1,,,,,,,,,,
18,React-Toastify,fkhadra/react-toastify,react-toastify,notifications,https://github.com/fkhadra/react-toastify,https://github.com/fkhadra/react-toastify,MIT,2016-11-08 12:32:52.000,2021-05-12 00:36:44.000,2021-04-23 12:34:23.000,362,17.0,415.0,6774,1039.0,2021-04-23 12:38:06.000,7.0.4,116.0,React notification made easy !.,95031.0,89095.0,68.0,33,https://www.npmjs.com/package/react-toastify,2021-04-23 12:37:40.399,5936.0,2730361.0,2730361.0,True,1,,,https://fkhadra.github.io/react-toastify/introduction/,,,,,,,
19,React Chartjs 2,reactchartjs/react-chartjs-2,react-chartjs-2,data-viz,https://github.com/reactchartjs/react-chartjs-2,https://github.com/reactchartjs/react-chartjs-2,MIT,2016-05-06 22:01:08.000,2021-05-03 16:33:04.000,2021-05-03 16:33:04.000,714,143.0,385.0,4020,279.0,2021-04-27 14:58:12.459,3.0.3,68.0,"React wrapper for Chart.js 2.0 and 3.0, the most popular charting library.",83837.0,77113.0,60.0,33,https://www.npmjs.com/package/react-chartjs-2,2021-04-27 14:58:12.459,6724.0,1564882.0,1564882.0,True,1,,,https://reactchartjs.github.io/react-chartjs-2/,,,,,,,
