,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,trending,demo_url,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,jest,facebook/jest,testing,jest,https://github.com/facebook/jest,https://github.com/facebook/jest,MIT,2013-12-10 00:18:04.000,2021-08-05 06:06:39.000,2021-07-13 07:29:32.000,5174,1513.0,4957.0,36026,5521.0,2021-06-28 17:08:31.000,27.0.6,281.0,Delightful JavaScript Testing.,4068737.0,3528079.0,1322,42,https://www.npmjs.com/package/jest,2021-06-28 17:06:18.626,540658.0,48332379.0,48332379.0,True,1,,,,,,,,,,
1,axios,axios/axios,utils,axios,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27.000,2021-08-05 13:18:23.000,2021-05-27 05:44:43.000,8321,231.0,2903.0,86597,1005.0,2021-01-04 15:04:38.000,0.21.1,46.0,Promise based HTTP client for the browser and node.js.,5248416.0,4699528.0,279,41,https://www.npmjs.com/package/axios,2020-12-22 04:20:06.101,548888.0,69361569.0,69361569.0,True,1,,,,,,,,,,
2,Ant Design,ant-design/ant-design,ui-frameworks,antd,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-08-05 10:36:55.000,2021-08-05 07:30:03.000,29484,687.0,21069.0,73575,20954.0,2021-08-02 14:05:09.000,4.16.10,603.0,An enterprise-class UI design language and React UI library.,262912.0,235710.0,1657,41,https://www.npmjs.com/package/antd,2021-08-02 14:04:39.610,27202.0,2899904.0,2899904.0,True,1,['ant-design'],,,,,,,,,
3,Material-UI,mui-org/material-ui,ui-frameworks,@material-ui/core,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-08-05 18:02:49.000,2021-08-05 14:30:32.000,23130,547.0,12993.0,70118,12114.0,2021-07-30 10:07:38.000,4.12.3,158.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30141.0,629.0,2479,41,https://www.npmjs.com/package/@material-ui/core,2021-07-26 15:01:33.713,29512.0,8359577.0,8359577.0,True,1,['material-ui'],,,,,,,,,
4,lodash,lodash/lodash,utils,lodash,https://github.com/lodash/lodash,https://github.com/lodash/lodash,MIT,2012-04-07 04:11:46.000,2021-07-20 05:34:32.000,2021-04-23 17:25:37.000,5837,255.0,3809.0,50274,8005.0,2021-02-20 15:42:16.891,4.17.21,114.0,"A modern JavaScript utility library delivering modularity, performance, & extras.",13534918.0,11552452.0,327,41,https://www.npmjs.com/package/lodash,2021-02-20 15:42:16.891,1982466.0,157987549.0,157987549.0,True,1,,-1.0,,,,,,,,
5,Next.js,vercel/next.js,cms-frameworks,next,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-08-05 18:05:09.000,2021-08-05 18:04:38.000,13731,1144.0,9072.0,71274,8577.0,2021-06-22 20:05:28.000,11.0.1,1213.0,The React Framework.,15680.0,248.0,1792,40,https://www.npmjs.com/package/next,2021-08-05 03:23:44.403,15432.0,6248112.0,6248112.0,True,1,,,https://nextjs.org/showcase,,,,,,,
6,Storybook,storybookjs/storybook,dev-tools,@storybook/react,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-08-05 18:02:59.000,2021-08-04 14:30:48.000,6374,1311.0,6632.0,63800,33498.0,2021-07-26 06:57:46.000,6.3.6,888.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",27225.0,12647.0,1559,40,https://www.npmjs.com/package/@storybook/react,2021-08-04 14:26:10.517,14578.0,8275855.0,8275855.0,True,1,,,,,,,,,,
7,Gatsby,gatsbyjs/gatsby,cms-frameworks,gatsby,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-08-05 17:59:13.000,2021-08-05 17:58:51.000,9720,442.0,12649.0,50990,18848.0,2021-08-04 18:14:09.000,gatsby@3.11.0,2256.0,"Build blazing fast, modern apps and websites with React.",384370.0,360010.0,4054,40,https://www.npmjs.com/package/gatsby,2021-08-05 11:56:42.660,24360.0,1508470.0,1508470.0,True,1,,-1.0,https://www.gatsbyjs.com/showcase/,,,,,,,
8,Webpack,webpack/webpack,dev-tools,webpack,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-08-05 18:11:40.000,2021-08-05 11:23:01.000,7677,285.0,8210.0,58961,,2021-08-02 12:37:50.000,5.48.0,763.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,8575588.0,7287924.0,769,39,https://www.npmjs.com/package/webpack,2021-08-02 12:36:44.209,1287664.0,63514501.0,63514501.0,True,1,,,,,,,,,,
9,cypress,cypress-io/cypress,testing,cypress,https://github.com/cypress-io/cypress,https://github.com/cypress-io/cypress,MIT,2015-03-04 00:46:28.000,2021-08-05 17:38:27.000,2021-08-05 16:57:21.000,1904,1579.0,6869.0,32493,15772.0,2021-08-04 19:24:07.000,8.2.0,141.0,"Fast, easy and reliable testing for anything that runs in a browser.",254781.0,246775.0,291,39,https://www.npmjs.com/package/cypress,2021-08-04 18:59:32.493,8006.0,9647139.0,9647139.0,True,2,,,,,,,,,,
