,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,github_release_downloads,trending,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
10,Draft JS,facebook/draft-js,draft-js,editors,https://github.com/facebook/draft-js,https://github.com/facebook/draft-js,MIT,2016-02-19 20:18:26.000,2021-05-12 17:02:23.000,2021-04-28 17:41:07.000,2334,839.0,945.0,20269,1109.0,2020-08-17 16:40:16.000,0.11.7,32.0,A React framework for building text editors.,106132.0,87714.0,305.0,36,https://www.npmjs.com/package/draft-js,2020-08-17 16:36:23.849,18418.0,2971408.0,2971408.0,True,1,,,,,,,,,,
11,Recharts,recharts/recharts,recharts,data-viz,https://github.com/recharts/recharts,https://github.com/recharts/recharts,MIT,2015-08-07 06:50:27.000,2021-04-20 02:31:57.000,2021-04-20 02:31:57.000,1230,164.0,1958.0,16314,1850.0,2021-03-24 03:50:34.413,2.0.9,178.0,Redefined chart library built with React and D3.,54117.0,47113.0,212.0,36,https://www.npmjs.com/package/recharts,2021-03-24 03:50:34.413,7004.0,2718756.0,2718756.0,True,1,,http://recharts.org/en-US/examples,,,,,,,,
12,Electron,electron/electron,electron,desktop-apps,https://github.com/electron/electron,https://github.com/electron/electron,MIT,2013-04-12 01:47:36.000,2021-05-13 15:54:03.237,,12305,1154.0,,91657,,2021-05-07 15:04:53.204,12.0.7,522.0,"Build cross-platform desktop apps with JavaScript, HTML, and CSS.",46992.0,,647.0,35,https://www.npmjs.com/package/electron,2021-05-13 15:54:03.237,46992.0,2035566.0,2035566.0,True,1,,,,,,,,,,
13,lerna,lerna/lerna,lerna,dev-tools,https://github.com/lerna/lerna,https://github.com/lerna/lerna,MIT,2015-12-04 09:36:55.000,2021-05-06 23:48:24.000,2021-02-10 23:24:50.000,1769,596.0,1455.0,28132,,2021-02-10 22:42:55.000,4.0.0,184.0,A tool for managing JavaScript projects with multiple packages.,108152.0,79990.0,271.0,35,https://www.npmjs.com/package/lerna,2021-02-10 22:42:31.218,28162.0,5143374.0,5143374.0,True,2,,,,,,,,,,
14,React Admin,marmelab/react-admin,react-admin,admin-dashboards,https://github.com/marmelab/react-admin,https://github.com/marmelab/react-admin,MIT,2016-07-13 07:58:54.000,2021-05-13 10:46:23.000,2021-05-12 11:39:11.000,3654,135.0,2973.0,16798,10243.0,2021-05-10 08:17:43.000,3.15.1,167.0,"A frontend Framework for building B2B applications running in the browser on top of REST/GraphQL APIs, using ES6,..",6446.0,5950.0,463.0,35,https://www.npmjs.com/package/react-admin,2021-05-10 08:16:47.631,496.0,216698.0,216698.0,True,1,['material-ui'],https://marmelab.com/react-admin-demo/,,,,,,,,
15,React Dropzone,react-dropzone/react-dropzone,react-dropzone,file-handling,https://github.com/react-dropzone/react-dropzone,https://github.com/react-dropzone/react-dropzone,MIT,2014-09-27 11:57:09.000,2021-05-11 09:55:09.000,2021-03-26 07:58:15.000,687,13.0,635.0,8127,547.0,2021-03-26 08:00:38.000,11.3.2,145.0,Simple HTML5 drag-drop zone with React.js.,76681.0,66365.0,159.0,35,https://www.npmjs.com/package/react-dropzone,2021-03-26 08:00:32.355,10316.0,6057826.0,6057826.0,True,1,,https://react-dropzone.js.org/#section-basic-example,,1.0,,,,,,
16,SheetJS,SheetJS/sheetjs,xlsx,file-handling,https://github.com/SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,Apache-2.0,2012-12-03 19:25:52.000,2021-05-13 09:19:03.000,2021-05-04 03:10:16.000,6577,477.0,1522.0,25507,499.0,2020-11-20 07:22:22.859,0.16.9,159.0,SheetJS Community Edition -- Spreadsheet Data Toolkit.,10608.0,1850.0,130.0,33,https://www.npmjs.com/package/xlsx,2020-11-20 07:22:22.859,8758.0,4667874.0,4667874.0,True,2,,,,-1.0,,,,,,
17,ag-Grid,ag-grid/ag-grid,ag-grid-community,data-tables,https://github.com/ag-grid/ag-grid,https://github.com/ag-grid/ag-grid,MIT,2014-12-23 16:20:14.000,2021-05-13 14:57:34.000,2021-05-13 14:57:24.000,1273,17.0,3978.0,7194,21403.0,2021-05-04 14:40:21.814,25.2.1,100.0,The best JavaScript Data Table for building Enterprise Applications. Supports React / Angular / Vue / Plain JavaScript.,1450.0,804.0,115.0,33,https://www.npmjs.com/package/ag-grid-community,2021-05-04 14:40:21.814,646.0,947594.0,947594.0,True,1,,,,,,,,,,
18,React-Toastify,fkhadra/react-toastify,react-toastify,notifications,https://github.com/fkhadra/react-toastify,https://github.com/fkhadra/react-toastify,MIT,2016-11-08 12:32:52.000,2021-05-12 00:36:44.000,2021-04-23 12:34:23.000,362,16.0,415.0,6737,1039.0,2021-04-23 12:38:06.000,7.0.4,116.0,React notification made easy !.,93716.0,87780.0,68.0,33,https://www.npmjs.com/package/react-toastify,2021-04-23 12:37:40.399,5936.0,2722658.0,2722658.0,True,1,,https://fkhadra.github.io/react-toastify/introduction/,,,,,,,,
19,React Chartjs 2,reactchartjs/react-chartjs-2,react-chartjs-2,data-viz,https://github.com/reactchartjs/react-chartjs-2,https://github.com/reactchartjs/react-chartjs-2,MIT,2016-05-06 22:01:08.000,2021-05-03 16:33:04.000,2021-05-03 16:33:04.000,714,141.0,384.0,3992,279.0,2021-04-27 14:58:12.459,3.0.3,68.0,"React wrapper for Chart.js 2.0 and 3.0, the most popular charting library.",82918.0,76194.0,60.0,33,https://www.npmjs.com/package/react-chartjs-2,2021-04-27 14:58:12.459,6724.0,1556861.0,1556861.0,True,1,,https://reactchartjs.github.io/react-chartjs-2/,,,,,,,,
