,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,license,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,new_addition,labels,demo_url,trending,github_release_downloads,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
86,ncc,vercel/ncc,dev-tools,@vercel/ncc,https://github.com/vercel/ncc,https://github.com/vercel/ncc,2018-11-13 04:00:21.000,2021-07-07 17:40:01.000,2021-07-07 16:03:09.000,178,131.0,267.0,5429,,2021-05-25 19:10:35.000,0.28.6,65.0,"Compile a Node.js project into a single file. Supports TypeScript, binary addons, dynamic requires.",5576.0,5576.0,40,28,https://www.npmjs.com/package/@vercel/ncc,MIT,2021-05-25 19:10:30.841,0.0,429240.0,429240.0,True,3,True,,,,,,,,,
87,React-Datasheet,nadbm/react-datasheet,data-tables,react-datasheet,https://github.com/nadbm/react-datasheet,https://github.com/nadbm/react-datasheet,2016-09-25 19:18:17.000,2021-06-08 03:52:29.000,2021-02-14 05:17:25.000,456,116.0,96.0,4706,271.0,2021-02-14 04:56:00.552,1.4.9,46.0,Excel-like data grid (table) component for React.,605.0,545.0,43,28,https://www.npmjs.com/package/react-datasheet,MIT,2021-02-14 04:56:00.552,60.0,144078.0,144078.0,True,3,,,,,,,,,,
88,react-data-grid,adazzle/react-data-grid,data-tables,react-data-grid,https://github.com/adazzle/react-data-grid,https://github.com/adazzle/react-data-grid,2015-03-06 10:15:04.000,2021-07-08 11:38:36.000,2021-07-08 11:36:40.000,1848,121.0,1122.0,4663,,2019-04-03 17:25:26.810,6.1.0,1000.0,"Excel-like grid component built with React, with editors, keyboard navigation, copy & paste, and the like.",5310.0,4428.0,123,28,https://www.npmjs.com/package/react-data-grid,MIT,2021-05-26 14:56:53.386,882.0,277230.0,277230.0,True,3,,,,,,,,,,
89,Reactive Search,appbaseio/reactivesearch,other-components,@appbaseio/reactivesearch,https://github.com/appbaseio/reactivesearch,https://github.com/appbaseio/reactivesearch,2017-02-15 15:21:24.000,2021-07-08 22:33:41.000,2021-07-08 22:16:18.000,446,163.0,872.0,4455,2378.0,2021-07-01 11:56:33.000,1.17.0-ue,277.0,Search UI components for React and Vue: powered by appbase.io / Elasticsearch.,299.0,115.0,61,28,https://www.npmjs.com/package/@appbaseio/reactivesearch,Apache-2.0,2021-06-25 18:31:53.673,184.0,25235.0,25235.0,True,2,,,https://opensource.appbase.io/reactivesearch/#examples,,,,,,,
90,twin.macro,ben-rogerson/twin.macro,styling,twin.macro,https://github.com/ben-rogerson/twin.macro,https://github.com/ben-rogerson/twin.macro,2020-02-19 04:45:25.000,2021-07-08 08:05:15.809,2021-07-08 08:04:13.000,91,8.0,208.0,4342,703.0,2021-07-08 08:06:58.000,2.6.2,58.0,"Twin blends the magic of Tailwind with the flexibility of css-in-js (emotion, styled-components, stitches and goober)..",3451.0,3451.0,33,28,https://www.npmjs.com/package/twin.macro,MIT,2021-07-08 08:05:15.809,0.0,148796.0,148796.0,True,3,True,,,,,,,,,
91,react-sortable-tree,frontend-collective/react-sortable-tree,other-components,react-sortable-tree,https://github.com/frontend-collective/react-sortable-tree,https://github.com/frontend-collective/react-sortable-tree,2016-07-22 08:36:25.000,2021-06-29 06:19:36.000,2021-06-11 13:41:37.000,738,307.0,295.0,4163,553.0,2020-08-10 08:00:07.000,2.8.0,65.0,Drag-and-drop sortable component for nested data and hierarchies.,2763.0,2415.0,38,28,https://www.npmjs.com/package/react-sortable-tree,MIT,2020-08-10 07:56:50.631,348.0,359901.0,359901.0,True,2,,,https://frontend-collective.github.io/react-sortable-tree/?path=/story/basics--minimal-implementation,,,,,,,
92,polaris-react,Shopify/polaris-react,ui-frameworks,@shopify/polaris,https://github.com/Shopify/polaris-react,https://github.com/Shopify/polaris-react,2017-04-20 18:26:34.000,2021-07-09 17:38:15.000,2021-07-07 18:03:10.000,785,271.0,1632.0,4140,,2021-06-08 14:23:57.000,6.5.0,392.0,Shopifys admin product component library.,3104.0,2846.0,263,28,https://www.npmjs.com/package/@shopify/polaris,MIT,2021-07-08 18:26:23.581,258.0,380584.0,381329.0,True,3,True,,,,23860.0,,,,,
93,Perspective,finos/perspective,data-tables,@finos/perspective,https://github.com/finos/perspective,https://github.com/finos/perspective,2017-11-02 16:27:54.000,2021-07-09 20:32:35.000,2021-07-09 16:11:14.000,377,65.0,359.0,3434,4591.0,2021-07-08 04:55:02.466,0.10.0,48.0,Streaming pivot visualization via WebAssembly.,210.0,196.0,64,28,https://www.npmjs.com/package/@finos/perspective,Apache-2.0,2021-07-08 04:55:02.466,6.0,6602.0,8900.0,True,3,,,https://perspective.finos.org/,,,perspective-python,https://pypi.org/project/perspective-python,2021-07-08 06:14:18.000,8.0,2298.0
94,eui,elastic/eui,ui-frameworks,@elastic/eui,https://github.com/elastic/eui,https://github.com/elastic/eui,2017-10-18 14:49:20.000,2021-07-09 18:23:33.000,2021-07-09 18:23:32.000,526,395.0,1797.0,2905,3679.0,2021-07-08 19:34:30.000,35.0.0,342.0,Elastic UI Framework.,130.0,62.0,194,28,https://www.npmjs.com/package/@elastic/eui,ICU,2021-07-08 19:15:28.478,68.0,60832.0,60915.0,False,3,True,,,,3335.0,,,,,
95,react-rte,sstur/react-rte,editors,react-rte,https://github.com/sstur/react-rte,https://github.com/sstur/react-rte,2016-02-25 02:36:56.000,2021-07-01 10:52:58.000,2021-05-02 21:12:55.000,404,173.0,145.0,2566,314.0,2016-02-24 23:30:39.985,1.0.0,38.0,Pure React rich text WYSIWYG editor based on draft-js.,2753.0,2279.0,46,28,https://www.npmjs.com/package/react-rte,ISC,2016-02-24 23:30:39.985,474.0,129669.0,129669.0,True,2,True,,,,,,,,,
