,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,trending,github_release_downloads,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
72,React Hot Toast,timolins/react-hot-toast,react-hot-toast,notifications,https://github.com/timolins/react-hot-toast,https://github.com/timolins/react-hot-toast,MIT,2020-12-07 22:05:40.000,2021-03-22 16:28:44.000,2021-03-21 16:07:10.000,65,21.0,17.0,2563,,2021-01-21 18:22:18.000,1.0.2,8.0,Smoking hot React Notifications.,552.0,552.0,10.0,23,https://www.npmjs.com/package/react-hot-toast,2021-01-21 18:20:30.704,0.0,72834.0,72834.0,True,3,,https://react-hot-toast.com/,,,,,,,
73,react-file-viewer,plangrid/react-file-viewer,react-file-viewer,file-handling,https://github.com/plangrid/react-file-viewer,https://github.com/plangrid/react-file-viewer,MIT,2017-05-16 04:05:21.000,2021-03-09 00:01:40.000,2019-11-13 20:16:39.000,170,99.0,11.0,268,118.0,2019-11-13 20:16:45.447,1.2.1,74.0,Extendable file viewer for web.,727.0,693.0,12.0,23,https://www.npmjs.com/package/react-file-viewer,2019-11-13 20:16:45.447,34.0,45206.0,45206.0,False,3,,,,,,,,,
74,RevoGrid,revolist/revogrid,@revolist/revogrid,data-tables,https://github.com/revolist/revogrid,https://github.com/revolist/revogrid,MIT,2020-05-04 21:23:09.000,2021-03-19 14:05:13.000,2021-03-07 14:32:57.000,57,31.0,81.0,1451,553.0,2021-03-07 14:35:03.334,2.9.81,145.0,Powerful virtual data grid smartsheet with advanced customization. Best features from excel plus incredible performance.,32.0,32.0,8.0,22,https://www.npmjs.com/package/@revolist/revogrid,2021-03-15 13:19:00.215,0.0,5363.0,5363.0,True,3,,,,,,,,,
75,Monaco Yaml,pengx17/monaco-yaml,monaco-yaml,editors,https://github.com/pengx17/monaco-yaml,https://github.com/pengx17/monaco-yaml,MIT,2018-02-26 06:08:04.000,2021-03-25 17:04:17.000,2020-12-15 13:12:45.000,27,15.0,12.0,67,113.0,2020-10-05 10:36:15.031,2.5.1,12.0,YAML plugin for the Monaco Editor.,53.0,53.0,16.0,22,https://www.npmjs.com/package/monaco-yaml,2020-10-05 10:36:15.031,0.0,212292.0,212292.0,False,3,,,1.0,,,,,,
76,Tauri,tauri-apps/tauri,tauri,desktop-apps,https://github.com/tauri-apps/tauri,https://github.com/tauri-apps/tauri,MIT,2019-07-13 09:09:37.000,2021-03-25 18:10:11.000,2021-03-25 04:56:00.000,272,57.0,250.0,13846,,2021-01-24 12:42:49.000,tauri-v0.11.1,95.0,"Build smaller, faster, and more secure desktop applications with a web frontend.",4.0,,54.0,21,https://www.npmjs.com/package/tauri,2021-01-06 12:29:04.131,4.0,3694.0,4173.0,True,3,,,,7187.0,,,,,
77,ReactPivot,davidguttman/react-pivot,react-pivot,data-tables,https://github.com/davidguttman/react-pivot,https://github.com/davidguttman/react-pivot,MIT,2015-02-28 00:29:35.000,2021-03-08 23:20:19.000,2020-06-17 22:37:49.000,141,36.0,23.0,981,171.0,2020-06-17 22:38:08.272,4.4.0,49.0,"React-Pivot is a data-grid component with pivot-table-like functionality for data display, filtering, and exploration.",184.0,136.0,20.0,21,https://www.npmjs.com/package/react-pivot,2020-06-17 22:38:08.272,48.0,2444.0,2444.0,True,3,,http://davidguttman.github.io/react-pivot/,,,,,,,
78,React Dashboard,flatlogic/react-dashboard,,admin-dashboards,https://github.com/flatlogic/react-dashboard,https://github.com/flatlogic/react-dashboard,MIT,2016-02-02 14:08:02.000,2021-03-12 01:42:02.000,2021-02-18 16:53:02.000,285,9.0,9.0,1268,1028.0,2020-10-07 10:43:47.000,1.4.0,5.0,"React Dashboard - isomorphic admin dashboard template (React.js, Bootstrap, Node.js, GraphQL, React Router, Babel,..",,,152.0,20,,,,,,True,2,['bootstrap'],https://flatlogic.com/templates/react-dashboard/demo,,,,,,,
79,React-Data-Export,securedeveloper/react-data-export,react-data-export,file-handling,https://github.com/securedeveloper/react-data-export,https://github.com/securedeveloper/react-data-export,MIT,2017-10-13 20:35:38.000,2020-12-11 11:17:58.000,2020-01-23 21:39:15.000,101,50.0,46.0,145,137.0,2020-01-20 11:33:32.229,0.6.0,13.0,Export dataset in react.,740.0,700.0,13.0,20,https://www.npmjs.com/package/react-data-export,2020-01-20 11:33:32.229,40.0,37475.0,37475.0,False,3,,,,,,,,,
80,Remotion,JonnyBurger/remotion,,others,https://github.com/JonnyBurger/remotion,https://github.com/JonnyBurger/remotion,,2020-06-23 19:49:10.000,2021-03-25 17:45:46.000,2021-03-25 14:50:28.000,204,32.0,66.0,6520,,2021-03-09 15:41:22.000,1.5.3,14.0,Create videos programmatically in React.,61.0,61.0,32.0,18,,,,,,False,1,,,,,,,,,
81,Radix Primitives,radix-ui/primitives,@radix-ui/utils,ui-frameworks,https://github.com/radix-ui/primitives,https://github.com/radix-ui/primitives,MIT,2020-06-19 13:23:22.000,2021-03-24 21:13:42.000,2021-03-24 21:13:14.000,13,30.0,85.0,665,,2021-01-27 10:06:42.425,0.0.3,3.0,"An open-source UI component library for building high-quality, accessible design systems and web apps. Maintained by..",2.0,2.0,7.0,17,https://www.npmjs.com/package/@radix-ui/utils,2021-01-27 10:06:42.425,0.0,18316.0,18316.0,True,3,,,,,,,,,
82,React Material Admin,flatlogic/react-material-admin,,admin-dashboards,https://github.com/flatlogic/react-material-admin,https://github.com/flatlogic/react-material-admin,MIT,2019-04-24 12:47:06.000,2021-03-12 01:30:22.000,2021-02-18 17:16:36.000,358,7.0,16.0,1015,74.0,2021-02-02 10:54:17.000,1.3.2,8.0,React Material Admin is a React template built with Material-UI.,,,9.0,16,,,,,,True,3,['material-ui'],https://flatlogic.com/templates/react-material-admin/demo,,,,,,,
83,Luna,rvpanoz/luna,,dev-tools,https://github.com/rvpanoz/luna,https://github.com/rvpanoz/luna,GPL-3.0,2017-09-18 22:22:06.000,2020-11-01 09:43:41.000,2020-10-31 22:27:04.000,41,9.0,84.0,949,1491.0,2020-10-29 23:06:39.000,.3.4.6,26.0,Manage npm dependencies through a modern UI.,,,10.0,16,,,,,174.0,True,3,,,,6988.0,,,,,
84,orb,nnajm/orb,orb,data-tables,https://github.com/nnajm/orb,https://github.com/nnajm/orb,MIT,2014-11-11 13:09:07.000,2020-12-30 22:32:47.000,2020-12-30 22:32:47.000,158,72.0,23.0,516,78.0,2015-06-29 00:03:49.124,1.0.9,9.0,Pivot table javascript library.,21.0,17.0,2.0,16,https://www.npmjs.com/package/orb,2015-06-29 00:03:49.124,4.0,109.0,109.0,True,3,,https://nnajm.github.io/orb/,,,,,,,
85,React SaaS Template,dunky11/react-saas-template,,admin-dashboards,https://github.com/dunky11/react-saas-template,https://github.com/dunky11/react-saas-template,MIT,2020-01-30 23:38:23.000,2021-03-25 08:55:08.000,2021-03-19 14:22:20.000,228,,8.0,949,1116.0,,,,Template for building an SaaS / admin website using React + Material-UI.,,,6.0,15,,,,,,True,3,,https://reactsaastemplate.com/,,,,,,,
86,React Ansi,RaoHai/react-ansi,react-ansi,other-components,https://github.com/RaoHai/react-ansi,https://github.com/RaoHai/react-ansi,MIT,2019-05-29 15:39:22.000,2021-03-24 21:37:41.000,2020-12-17 09:06:28.000,3,4.0,2.0,16,115.0,2020-12-17 09:09:03.463,2.1.4,23.0,A foldable and searchable ansi log viewer for React.,7.0,7.0,4.0,15,https://www.npmjs.com/package/react-ansi,2020-12-17 09:09:03.463,,662.0,662.0,False,3,,,,,,,,,
87,Material Kit React,devias-io/material-kit-react,,admin-dashboards,https://github.com/devias-io/material-kit-react,https://github.com/devias-io/material-kit-react,MIT,2019-05-02 15:25:39.000,2021-03-25 15:23:46.000,2021-03-25 15:23:46.000,1032,4.0,14.0,2883,,2019-07-29 07:50:25.000,1.0.0,1.0,"React Dashboard made with Material UIs components. Our pro template contains features like TypeScript version,..",,,8.0,14,,,,,,True,3,['material-ui'],https://react-material-dashboard.devias.io/app/dashboard,,,,,,,
88,reactdatagrid,inovua/reactdatagrid,@inovua/reactdatagrid-community,data-tables,https://github.com/inovua/reactdatagrid,https://github.com/inovua/reactdatagrid,MIT,2020-10-07 13:47:44.000,2021-03-25 17:06:08.000,2021-03-25 17:05:57.000,8,16.0,33.0,143,129.0,2021-03-23 08:16:20.000,4.0.32,43.0,Empower Your Data with the best React Data Grid there is.,0.0,,1.0,14,https://www.npmjs.com/package/@inovua/reactdatagrid-community,2021-03-23 08:13:18.601,0.0,3927.0,3927.0,True,3,,https://reactdatagrid.io/demo,,,,,,,
89,Volt React Dashboard,themesberg/volt-react-dashboard,,admin-dashboards,https://github.com/themesberg/volt-react-dashboard,https://github.com/themesberg/volt-react-dashboard,MIT,2021-01-20 16:17:34.000,2021-02-13 10:39:35.000,2021-02-13 10:39:35.000,36,1.0,1.0,240,44.0,2021-01-22 09:58:07.000,1.0.0,1.0,A React.js admin dashboard template and UI library based on Bootstrap 5.,,,3.0,13,,,,,,True,3,['bootstrap'],https://demo.themesberg.com/volt-react-dashboard/,,,,,,,
90,Notus React,creativetimofficial/notus-react,,admin-dashboards,https://github.com/creativetimofficial/notus-react,https://github.com/creativetimofficial/notus-react,MIT,2020-09-01 07:23:16.000,2021-03-19 12:58:05.000,2021-03-19 12:57:49.000,38,,2.0,187,,2021-03-19 12:58:05.000,1.1.0,2.0,Notus React: Free Tailwind CSS UI Kit and Admin.,,,2.0,13,,,,,,True,3,,https://demos.creative-tim.com/notus-react/,2.0,,,,,,
91,Material-UI Theme Creator,bareynol/mui-theme-creator,,dev-tools,https://github.com/bareynol/mui-theme-creator,https://github.com/bareynol/mui-theme-creator,0BSD,2020-08-25 14:51:49.000,2020-08-27 18:19:42.000,2020-08-27 18:08:37.000,11,5.0,2.0,64,102.0,,,,A tool to help design and customize themes for the Material-UI component library. Includes basic site templates to..,,,1.0,7,,,,,,False,3,['material-ui'],https://bareynol.github.io/mui-theme-creator/,,,,,,,
