,name,github_id,npm_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,trending,demo_url,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Material-UI,mui-org/material-ui,@material-ui/core,['material-ui'],ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-09-01 16:14:54.000,2021-09-01 13:16:38.000,23707,585.0,13141.0,70707,12120.0,2021-07-30 10:07:38.000,4.12.3,161.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",714127.0,684615.0,2510,43,https://www.npmjs.com/package/@material-ui/core,2021-08-25 07:29:18.576,29512.0,9363671.0,9363671.0,True,1,2.0,,,,,,,,
1,Ant Design,ant-design/ant-design,antd,['ant-design'],ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-09-01 12:34:24.000,2021-08-31 11:05:40.000,29937,708.0,21254.0,74105,21008.0,2021-08-23 08:12:48.000,4.16.13,607.0,An enterprise-class UI design language and React UI library.,269571.0,242369.0,1669,42,https://www.npmjs.com/package/antd,2021-09-01 08:48:17.580,27202.0,3276554.0,3276554.0,True,1,,,,,,,,,
2,jest,facebook/jest,jest,,testing,https://github.com/facebook/jest,https://github.com/facebook/jest,MIT,2013-12-10 00:18:04.000,2021-09-01 14:24:46.000,2021-08-27 13:13:45.000,5280,1604.0,4984.0,36263,5551.0,2021-08-27 10:00:59.000,27.1.0,282.0,Delightful JavaScript Testing.,4150992.0,3610334.0,1335,42,https://www.npmjs.com/package/jest,2021-08-27 10:00:15.661,540658.0,53442183.0,53442183.0,True,1,,,,,,,,,
3,axios,axios/axios,axios,,utils,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27.000,2021-09-01 08:55:59.000,2021-08-30 12:33:43.000,8615,294.0,2930.0,87505,1013.0,2021-01-04 15:04:38.000,0.21.1,46.0,Promise based HTTP client for the browser and node.js.,5376870.0,4827982.0,285,41,https://www.npmjs.com/package/axios,2020-12-22 04:20:06.101,548888.0,77238116.0,77238116.0,True,1,,,,,,,,,
4,lodash,lodash/lodash,lodash,,utils,https://github.com/lodash/lodash,https://github.com/lodash/lodash,MIT,2012-04-07 04:11:46.000,2021-08-27 07:43:09.000,2021-04-23 17:25:37.000,5837,255.0,3811.0,50580,8005.0,2021-02-20 15:42:16.891,4.17.21,114.0,"A modern JavaScript utility library delivering modularity, performance, & extras.",13774823.0,11792357.0,327,41,https://www.npmjs.com/package/lodash,2021-02-20 15:42:16.891,1982466.0,172066812.0,172066812.0,True,1,,,,,,,,,
5,Next.js,vercel/next.js,next,,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-09-01 15:57:15.000,2021-09-01 15:56:04.000,14090,1211.0,9253.0,72705,8577.0,2021-08-31 05:25:54.351,11.1.2,1238.0,The React Framework.,15699.0,267.0,1822,40,https://www.npmjs.com/package/next,2021-08-31 21:21:37.270,15432.0,7404697.0,7404697.0,True,1,,https://nextjs.org/showcase,,,,,,,
6,Storybook,storybookjs/storybook,@storybook/react,,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-09-01 14:20:28.000,2021-09-01 14:13:06.000,6374,1311.0,6679.0,64413,33498.0,2021-08-09 17:42:22.000,6.3.7,896.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",27778.0,13200.0,1576,40,https://www.npmjs.com/package/@storybook/react,2021-08-31 17:08:28.406,14578.0,9272810.0,9272810.0,True,1,,,,,,,,,
7,Gatsby,gatsbyjs/gatsby,gatsby,,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-09-01 15:47:21.000,2021-09-01 15:47:20.000,9720,442.0,12726.0,51200,19000.0,2021-08-31 19:18:13.000,gatsby@3.13.0,2282.0,"Build blazing fast, modern apps and websites with React.",391133.0,366773.0,4081,40,https://www.npmjs.com/package/gatsby,2021-08-18 12:46:45.226,24360.0,1604406.0,1604406.0,True,1,,https://www.gatsbyjs.com/showcase/,,,,,,,
8,Webpack,webpack/webpack,webpack,,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-09-01 02:03:22.000,2021-08-30 14:33:12.000,7954,300.0,8275.0,59167,,2021-08-19 14:16:41.000,5.51.1,767.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,8703090.0,7415426.0,773,39,https://www.npmjs.com/package/webpack,2021-08-19 14:16:21.534,1287664.0,71041317.0,71041317.0,True,1,,,,,,,,,
9,cypress,cypress-io/cypress,cypress,,testing,https://github.com/cypress-io/cypress,https://github.com/cypress-io/cypress,MIT,2015-03-04 00:46:28.000,2021-09-01 16:29:07.000,2021-09-01 16:29:07.000,1934,1653.0,6960.0,32947,15822.0,2021-08-27 15:41:04.000,8.3.1,142.0,"Fast, easy and reliable testing for anything that runs in a browser.",270345.0,262339.0,295,39,https://www.npmjs.com/package/cypress,2021-08-16 18:28:44.564,8006.0,10944546.0,10944546.0,True,2,,,,,,,,,
