,name,github_id,npm_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,trending,demo_url,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Material-UI,mui-org/material-ui,@material-ui/core,['material-ui'],ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-12-16 13:00:13.000,2021-12-16 11:14:08.000,25234,858.0,13812.0,73676,18693.0,2021-12-14 13:57:46.000,5.2.4,161.0,"MUI (formerly Material-UI) is the React UI library you always wanted. Follow your own design system, or start with..",800064.0,770552.0,2631,43,https://www.npmjs.com/package/@material-ui/core,2021-08-25 07:29:18.576,29512.0,9299377.0,9299377.0,True,1,,,,,,,,,
1,axios,axios/axios,axios,,utils,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27.000,2021-12-14 11:23:30.000,2021-11-16 15:06:21.000,8999,309.0,3166.0,89824,1051.0,2021-10-25 17:51:25.987,0.24.0,52.0,Promise based HTTP client for the browser and node.js.,5953332.0,5404444.0,303,42,https://www.npmjs.com/package/axios,2021-10-25 17:51:25.987,548888.0,95720999.0,95720999.0,True,1,,,,,,,,,
2,lodash,lodash/lodash,lodash,,utils,https://github.com/lodash/lodash,https://github.com/lodash/lodash,MIT,2012-04-07 04:11:46.000,2021-12-16 11:21:34.000,2021-04-23 17:25:37.000,6112,314.0,3733.0,51630,8005.0,2021-02-20 15:42:16.891,4.17.21,114.0,"A modern JavaScript utility library delivering modularity, performance, & extras.",15048550.0,13066084.0,327,42,https://www.npmjs.com/package/lodash,2021-02-20 15:42:16.891,1982466.0,181170587.0,181170587.0,True,1,1.0,,,,,,,,
3,Next.js,vercel/next.js,next,,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-12-16 15:06:24.000,2021-12-16 13:50:34.000,15650,1338.0,10300.0,78300,8577.0,2021-12-05 01:08:57.000,12.0.7,1406.0,The React Framework.,31555.0,16123.0,1976,41,https://www.npmjs.com/package/next,2021-12-16 14:32:58.464,15432.0,9135160.0,9135160.0,True,1,1.0,https://nextjs.org/showcase,,,,,,,
4,Ant Design,ant-design/ant-design,antd,['ant-design'],ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-12-16 03:41:29.000,2021-12-15 16:57:03.000,31656,769.0,21941.0,76464,21332.0,2021-12-08 11:37:57.000,4.17.3,623.0,An enterprise-class UI design language and React UI library.,298624.0,271422.0,1730,41,https://www.npmjs.com/package/antd,2021-12-08 11:36:49.877,27202.0,3188067.0,3188067.0,True,1,,,,,,,,,
5,Storybook,storybookjs/storybook,@storybook/react,,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-12-16 14:47:49.000,2021-12-16 13:12:42.000,6863,1589.0,6966.0,67274,33500.0,2021-12-09 02:24:30.000,6.4.9,960.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",30056.0,15478.0,1651,40,https://www.npmjs.com/package/@storybook/react,2021-12-09 06:34:58.613,14578.0,10946406.0,10946406.0,True,1,,,,,,,,,
6,Webpack,webpack/webpack,webpack,,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-12-16 14:53:25.000,2021-12-06 17:43:53.000,8085,276.0,8548.0,59997,,2021-12-06 13:57:50.000,5.65.0,792.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,9530426.0,8242762.0,788,40,https://www.npmjs.com/package/webpack,2021-12-06 13:57:39.615,1287664.0,82633821.0,82633821.0,True,1,,,,,,,,,
7,Gatsby,gatsbyjs/gatsby,gatsby,,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-12-16 14:39:26.000,2021-12-16 08:17:40.000,9981,382.0,12970.0,51915,19596.0,2021-12-15 07:19:23.000,gatsby@4.4.0,2390.0,"Build blazing fast, modern apps and websites with React.",415760.0,391400.0,4138,40,https://www.npmjs.com/package/gatsby,2021-12-15 15:17:31.213,24360.0,1577172.0,1577172.0,True,2,,https://www.gatsbyjs.com/showcase/,,,,,,,
8,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2021-12-16 12:43:58.000,2021-12-16 12:43:57.000,2364,64.0,1879.0,50676,4372.0,2021-12-15 12:10:12.779,3.0.5,416.0,A utility-first CSS framework for rapid UI development.,403063.0,397675.0,206,39,https://www.npmjs.com/package/tailwindcss,2021-12-15 12:10:12.779,5388.0,5481485.0,5481501.0,True,1,,,317.0,,,,,,
9,jest,facebook/jest,jest,,testing,https://github.com/facebook/jest,https://github.com/facebook/jest,MIT,2013-12-10 00:18:04.000,2021-12-16 08:50:56.000,2021-12-16 08:49:01.000,5502,1670.0,5090.0,37375,,2021-12-13 19:38:44.000,27.4.5,289.0,Delightful JavaScript Testing.,4709413.0,4168755.0,1380,39,https://www.npmjs.com/package/jest,2021-12-01 14:00:38.290,540658.0,63216673.0,63216673.0,True,1,,,,,,,,,
