,name,github_id,npm_id,category,maven_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,labels,demo_url,trending,nuget_id,pypi_id,github_release_downloads,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,brew_id,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,new_addition
51,Victory,FormidableLabs/victory,victory,data-viz,org.webjars.npm:victory,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,MIT,2015-07-02 22:36:50.000,2022-01-13 14:53:07.000,2021-11-03 21:53:26.000,7534.0,48.0,456,117.0,569.0,195.0,1284.0,9301,2021-11-03 21:53:38.283,36.2.0,213.0,A collection of composable React components for building interactive data visualizations.,12446.0,11588.0,289.0,39,https://www.npmjs.com/package/victory,2021-11-03 21:53:38.283,858.0,557574.0,557574.0,https://search.maven.org/artifact/org.webjars.npm/victory,2016-02-23 00:00:00.000,,True,2,,https://formidable.com/open-source/victory/gallery/,,,,,,,,,,,,,,,,,,,,,,,,
52,log4js-node,log4js-node/log4js-node,log4js,utils,org.webjars.npm:log4js,https://github.com/log4js-node/log4js-node,https://github.com/log4js-node/log4js-node,Apache-2.0,2010-01-17 00:57:58.000,2022-01-13 06:03:56.000,2022-01-13 06:03:52.000,1594.0,40.0,751,119.0,392.0,128.0,643.0,5233,2020-12-08 06:43:05.000,6.2.1,134.0,A port of log4js to node.js.,1381770.0,1289446.0,166.0,39,https://www.npmjs.com/package/log4js,2020-05-24 23:01:08.195,92321.0,9637033.0,9637033.0,https://search.maven.org/artifact/org.webjars.npm/log4js,2020-12-08 06:43:05.000,3.0,True,3,,,,,,,,,,,,,,,,,,,,,,,,,,
53,react-virtualized,bvaughn/react-virtualized,react-virtualized,data-tables,org.webjars.npm:react-virtualized,https://github.com/bvaughn/react-virtualized,https://github.com/bvaughn/react-virtualized,MIT,2015-11-03 00:48:07.000,2021-12-14 08:31:50.000,2021-05-17 21:35:30.000,1984.0,,2845,253.0,613.0,435.0,708.0,23082,2020-12-18 22:18:53.000,9.22.3,294.0,React components for efficiently rendering large lists and tabular data.,47748.0,43603.0,214.0,38,https://www.npmjs.com/package/react-virtualized,2018-06-01 16:00:52.806,4141.0,3073660.0,3073660.0,https://search.maven.org/artifact/org.webjars.npm/react-virtualized,2019-05-24 00:00:00.000,4.0,True,1,,https://bvaughn.github.io/react-virtualized/#/components/List,,,,,,,,,,,,,,,,,,,,,,,,
54,swr,vercel/swr,swr,data-fetching,org.webjars.npm:swr,https://github.com/vercel/swr,https://github.com/vercel/swr,MIT,2019-10-28 18:16:01.000,2022-01-13 12:54:38.000,2022-01-12 17:09:36.000,571.0,65.0,772,158.0,595.0,59.0,500.0,20667,2021-12-26 20:32:43.977,1.1.2,111.0,React Hooks for Data Fetching.,41819.0,41609.0,129.0,38,https://www.npmjs.com/package/swr,2022-01-12 17:13:39.383,210.0,1769026.0,1769026.0,https://search.maven.org/artifact/org.webjars.npm/swr,2020-09-06 12:44:57.000,,True,2,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Handsontable,handsontable/handsontable,handsontable,data-tables,org.webjars.npm:handsontable,https://github.com/handsontable/handsontable,https://github.com/handsontable/handsontable,ICU,2011-05-23 22:38:58.000,2022-01-13 14:40:12.000,2022-01-13 11:37:15.000,7362.0,111.0,2695,466.0,1584.0,827.0,6357.0,16135,2022-01-13 11:49:20.000,11.1.0,100.0,"JavaScript data grid with a spreadsheet look & feel. Works with React, Angular, and Vue. Supported by the Handsontable..",4623.0,4119.0,122.0,38,https://www.npmjs.com/package/handsontable,2022-01-13 11:44:21.462,504.0,283148.0,283148.0,https://search.maven.org/artifact/org.webjars.npm/handsontable,2018-11-25 00:00:00.000,,False,1,,https://handsontable.com/examples,,Handsontable,,,,,,,,,,,,,,,,,,,,,,
56,react-table,tannerlinsley/react-table,react-table,data-tables,org.webjars.npm:react-table,https://github.com/tannerlinsley/react-table,https://github.com/tannerlinsley/react-table,MIT,2016-10-20 17:25:08.000,2022-01-12 20:02:53.000,2021-11-28 16:20:53.000,1392.0,2.0,2165,150.0,651.0,224.0,1776.0,16008,2021-04-25 22:58:23.000,7.7.0,216.0,Hooks for building fast and extendable tables and datagrids for React.,46464.0,43916.0,267.0,38,https://www.npmjs.com/package/react-table,2021-04-25 22:58:20.146,2548.0,3125908.0,3125908.0,https://search.maven.org/artifact/org.webjars.npm/react-table,2020-10-29 16:35:58.000,,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
57,react-testing-library,testing-library/react-testing-library,react-testing-library,testing,,https://github.com/testing-library/react-testing-library,https://github.com/testing-library/react-testing-library,MIT,2018-03-19 13:39:49.000,2021-12-06 13:40:37.000,2021-10-07 12:12:08.000,465.0,,892,144.0,410.0,26.0,535.0,15748,2021-10-03 13:19:49.000,12.1.2,100.0,Simple and complete React DOM testing utilities that encourage good testing practices.,3599383.0,3595124.0,166.0,38,https://www.npmjs.com/package/react-testing-library,2019-05-30 18:10:43.138,4259.0,293469.0,293469.0,,,,True,3,,,,,,,,,,,,,,,,,,,,,,,,,,
58,nivo,plouc/nivo,@nivo/core,data-viz,,https://github.com/plouc/nivo,https://github.com/plouc/nivo,MIT,2016-04-16 03:27:56.000,2022-01-12 23:42:51.000,2022-01-12 23:42:49.000,1742.0,173.0,778,82.0,630.0,83.0,1118.0,9644,2022-01-12 21:53:26.000,0.79.1,63.0,"nivo provides a rich set of dataviz components, built on top of the awesome d3 and React libraries.",1524.0,1274.0,165.0,38,https://www.npmjs.com/package/@nivo/core,2022-01-12 21:05:48.699,250.0,799278.0,799278.0,,,,True,2,,https://nivo.rocks/components/,,,,,,,,,,,,,,,,,,,,,,,,
59,React Dropzone,react-dropzone/react-dropzone,react-dropzone,file-handling,org.webjars.npm:react-dropzone,https://github.com/react-dropzone/react-dropzone,https://github.com/react-dropzone/react-dropzone,MIT,2014-09-27 11:57:09.000,2022-01-10 09:11:55.000,2022-01-10 02:55:35.000,565.0,5.0,730,71.0,434.0,20.0,665.0,8684,2022-01-10 02:57:10.000,11.5.1,152.0,Simple HTML5 drag-drop zone with React.js.,89485.0,82869.0,175.0,38,https://www.npmjs.com/package/react-dropzone,2022-01-10 02:57:06.324,6611.0,5857253.0,5857253.0,https://search.maven.org/artifact/org.webjars.npm/react-dropzone,2020-08-24 00:00:00.000,5.0,True,2,,https://react-dropzone.js.org/#section-basic-example,,,,,,,,,,,,,,,,,,,,,,,,
60,redux-toolkit,reduxjs/redux-toolkit,redux-toolkit,state-management,org.webjars.npm:reduxjs__toolkit,https://github.com/reduxjs/redux-toolkit,https://github.com/reduxjs/redux-toolkit,MIT,2018-03-03 21:21:53.000,2022-01-13 00:07:59.000,2022-01-13 00:07:59.000,1439.0,259.0,570,64.0,682.0,101.0,951.0,7001,2021-12-16 03:52:22.000,1.7.1,65.0,"The official, opinionated, batteries-included toolset for efficient Redux development.",158587.0,158581.0,202.0,38,https://www.npmjs.com/package/redux-toolkit,2015-10-21 03:50:29.233,6.0,21711.0,21711.0,https://search.maven.org/artifact/org.webjars.npm/reduxjs__toolkit,2020-02-13 00:00:00.000,,True,3,,,,,,,,,,,,,,,,,,,,,,,,,,
